Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,格拉斯哥大学University of Glasgow,200.0,3.85,3.2,84.0,100.0,免费评估
2,阿伯丁大学University of Aberdeen,185.0,4.24,3.11,,99.2,免费评估
3,巴斯大学University of Bath,162.0,4.24,3.37,82.0,98.4,免费评估
4,爱丁堡大学The University of Edinburgh,179.0,4.21,2.88,81.0,98.3,免费评估
5,埃克塞特大学University of Exeter,155.0,4.2,3.23,85.0,98.2,免费评估
6,拉夫堡大学Loughborough University,154.0,4.23,3.24,84.0,98.1,免费评估
7,杜伦大学Durham University,166.0,4.37,2.9,81.0,97.9,免费评估
8,伯明翰大学University of Birmingham,153.0,4.16,3.44,81.0,97.7,免费评估
9,利物浦约翰摩尔斯大学Liverpool John Moores University,157.0,4.09,3.57,73.0,96.0,免费评估
10,诺丁汉大学University of Nottingham,147.0,4.24,3.22,,95.5,免费评估
11,利兹大学University of Leeds,143.0,4.18,3.52,72.0,95.1,免费评估
12,埃塞克斯大学University of Essex,122.0,4.12,2.64,87.0,95.1,免费评估
13,斯特林大学University of Stirling,158.0,3.94,2.81,72.0,94.8,免费评估
14,University of East Anglia UEA,150.0,4.3,2.83,71.0,94.8,免费评估
15,萨里大学University of Surrey,141.0,4.15,3.18,,94.8,免费评估
16,诺丁汉特伦特大学Nottingham Trent University,137.0,4.41,2.3,78.0,94.3,免费评估
17,考文垂大学Coventry University,149.0,4.04,3.14,76.0,94.3,免费评估
18,斯旺西大学Swansea University,129.0,4.02,2.91,78.0,94.1,免费评估
19,朴茨茅斯大学University of Portsmouth,128.0,4.25,2.54,83.0,94.1,免费评估
20,罗伯特高登大学The Robert Gordon University,171.0,4.24,,76.0,93.5,免费评估
21,亚伯大学Aberystwyth University,125.0,4.44,2.66,72.0,93.5,免费评估
22,曼彻斯特城市大学Manchester Metropolitan University,140.0,4.29,2.88,71.0,93.4,免费评估
23,阿伯泰邓迪大学University of Abertay Dundee,149.0,4.23,2.53,71.0,93.4,免费评估
24,肯特大学University of Kent,138.0,3.86,2.6,76.0,93.3,免费评估
25,罗汉普顿大学Roehampton University,104.0,3.98,2.85,85.0,92.9,免费评估
26,斯塔福德郡大学Staffordshire University,124.0,4.07,2.74,76.0,92.8,免费评估
27,University of Lincoln,128.0,4.19,2.49,76.0,92.8,免费评估
28,切斯特大学University of Chester,127.0,4.33,2.26,75.0,92.6,免费评估
29,卡迪夫都市大学Cardiff Metropolitan University,142.0,4.08,3.25,67.0,92.6,免费评估
30,班戈大学Bangor University,130.0,4.15,3.25,67.0,92.6,免费评估
31,艾芝西尔大学Edge Hill University,144.0,4.47,2.48,65.0,92.5,免费评估
32,阿尔斯特大学University of Ulster,142.0,4.09,2.71,63.0,92.5,免费评估
33,布鲁内尔大学Brunel University,132.0,3.87,3.16,67.0,92.4,免费评估
34,米德塞斯大学Middlesex University,117.0,3.86,2.75,82.0,92.4,免费评估
35,"Northumbria University, Newcastle",150.0,4.24,2.28,67.0,92.3,免费评估
36,利物浦霍普大学Liverpool Hope University,113.0,4.42,1.94,77.0,92.2,免费评估
37,格罗斯特大学University of Gloucestershire,126.0,4.11,2.61,74.0,91.9,免费评估
38,思克莱德大学University of Strathclyde,184.0,3.88,2.8,47.0,91.9,免费评估
39,Writtle University College,159.0,4.27,,71.0,91.9,免费评估
40,伦敦南岸大学London South Bank University,97.0,3.7,2.87,82.0,91.8,免费评估
41,赫特福德大学University of Hertfordshire,117.0,4.24,2.99,73.0,91.8,免费评估
42,奇切斯特大学University of Chichester,129.0,4.27,2.67,66.0,91.7,免费评估
43,谢菲尔德哈莱姆大学Sheffield Hallam University,127.0,4.07,2.75,71.0,91.6,免费评估
44,龙比亚大学Napier University,159.0,3.85,2.65,62.0,91.5,免费评估
45,布莱顿大学University of Brighton,128.0,4.1,3.0,66.0,91.3,免费评估
46,索尔福德大学University of Salford,137.0,4.19,2.63,65.0,91.2,免费评估
47,伍斯特大学University of Worcester,122.0,4.21,2.24,72.0,91.0,免费评估
48,牛津布鲁克斯大学Oxford Brookes University,125.0,4.22,2.96,66.0,91.0,免费评估
49,东伦敦大学University of East London,113.0,3.98,3.05,71.0,90.7,免费评估
50,"特威克南圣玛丽大学St Mary's, Twickenham",115.0,4.1,2.23,75.0,90.6,免费评估
51,赫尔大学The University of Hull,136.0,4.11,2.36,60.0,90.5,免费评估
52,中央兰开夏大学University of Central Lancashire,121.0,4.22,2.34,68.0,90.4,免费评估
53,圣大卫三一学院University of Wales Trinity Saint David,138.0,4.3,,71.0,90.4,免费评估
54,"Glyndwr University, Wrexham",127.0,3.78,1.78,74.0,90.4,免费评估
55,伯恩茅斯大学Bournemouth University,120.0,3.87,3.13,67.0,90.4,免费评估
56,金斯顿大学Kingston University,117.0,4.55,2.82,61.0,90.2,免费评估
57,德比大学University of Derby,123.0,3.94,2.09,67.0,90.0,免费评估
58,温切斯特大学University of Winchester,110.0,3.91,1.85,75.0,89.9,免费评估
59,"Teesside University, Middlesbrough",116.0,4.06,2.77,67.0,89.8,免费评估
60,利兹贝克特大学Leeds Beckett University,114.0,4.13,2.72,64.0,89.8,免费评估
61,贝德福德大学University of Bedfordshire,104.0,4.04,2.41,73.0,89.8,免费评估
62,伍尔弗汉普顿大学University of Wolverhampton,109.0,4.1,2.37,69.0,89.5,免费评估
63,Solent University (Southampton),133.0,4.06,1.38,70.0,89.4,免费评估
64,南威尔士大学The University of South Wales,122.0,4.12,2.83,59.0,89.4,免费评估
65,哈德斯菲尔德大学University of Huddersfield,135.0,3.89,,72.0,89.4,免费评估
66,新白金汉大学Buckinghamshire New University,104.0,4.37,1.72,72.0,89.1,免费评估
67,西苏格兰大学University of the West of Scotland,127.0,3.88,2.24,63.0,89.1,免费评估
68,格林威治大学The University of Greenwich,129.0,3.56,2.28,66.0,89.0,免费评估
69,约克圣约翰大学York St John University,110.0,4.24,2.24,63.0,88.8,免费评估
70,剑桥安鲁大学Anglia Ruskin University,112.0,4.42,,70.0,88.7,免费评估
71,伦敦都市大学London Metropolitan University,108.0,4.18,,75.0,88.7,免费评估
72,萨福克学院University Campus Suffolk,108.0,4.38,,72.0,88.7,免费评估
73,坎特伯雷大学Canterbury Christ Church University,107.0,4.19,2.75,53.0,87.9,免费评估
74,纽曼大学Newman University,113.0,4.01,1.98,60.0,87.7,免费评估
75,哥比亚大学University of Cumbria,124.0,3.68,2.14,60.0,87.4,免费评估
76,波尔顿大学University of Bolton,112.0,4.04,,67.0,87.2,免费评估
77,利兹圣三一大学Leeds Trinity University,107.0,3.83,1.8,67.0,87.2,免费评估
78,Hartpury University,122.0,3.97,,,87.2,免费评估
79,University of the Highlands and Islands (UHI),122.0,3.95,,63.0,87.0,免费评估
80,Plymouth Marjon University,116.0,4.19,,60.0,86.7,免费评估
81,桑德兰大学University of Sunderland,106.0,4.05,1.96,58.0,86.5,免费评估
82,北安普顿大学The University of Northampton,101.0,4.06,2.14,50.0,86.3,免费评估
83,普利茅斯大学University of Plymouth,,4.34,2.58,40.0,85.5,免费评估
84,格罗斯泰斯特主教大学Bishop Grosseteste University,111.0,3.8,,,85.5,免费评估
