Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,拉夫堡大学Loughborough University,152.0,4.27,3.35,79.0,100.0,免费评估
2,利兹大学University of Leeds,156.0,4.15,3.26,80.0,99.8,免费评估
3,纽卡斯尔大学Newcastle University,159.0,4.07,3.22,80.0,99.2,免费评估
4,谢菲尔德大学The University of Sheffield,144.0,4.18,3.02,84.0,98.6,免费评估
5,卡迪夫大学Cardiff University,148.0,4.02,3.49,75.0,98.1,免费评估
6,兰卡斯特大学Lancaster University,147.0,4.1,3.21,,97.8,免费评估
7,思克莱德大学University of Strathclyde,195.0,3.97,2.93,53.0,97.6,免费评估
8,斯旺西大学Swansea University,131.0,4.04,2.87,92.0,97.4,免费评估
9,圣安德鲁斯大学University of St Andrews,202.0,4.18,,,97.4,免费评估
10,伦敦城市大学City University London,149.0,3.94,3.06,76.0,96.9,免费评估
11,诺丁汉大学University of Nottingham,129.0,3.78,3.23,83.0,96.6,免费评估
12,斯特林大学University of Stirling,167.0,4.12,2.9,58.0,96.1,免费评估
13,南安普顿大学University of Southampton,138.0,4.23,3.23,67.0,96.1,免费评估
14,萨塞克斯大学University of Sussex,142.0,3.81,3.17,73.0,95.9,免费评估
15,莱斯特大学University of Leicester,128.0,3.95,3.17,78.0,95.9,免费评估
16,利物浦霍普大学Liverpool Hope University,114.0,4.12,2.5,85.0,95.1,免费评估
17,华威大学The University of Warwick,145.0,3.99,3.41,55.0,94.8,免费评估
18,萨里大学University of Surrey,135.0,4.05,2.91,69.0,94.8,免费评估
19,"Northumbria University, Newcastle",135.0,4.09,2.93,66.0,94.8,免费评估
20,University of East Anglia UEA,136.0,3.97,3.14,64.0,94.5,免费评估
21,基尔大学Keele University,123.0,4.06,2.83,74.0,94.5,免费评估
22,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,168.0,4.03,2.64,56.0,94.4,免费评估
23,玛格丽特女王大学Queen Margaret University,159.0,3.9,2.59,63.0,94.1,免费评估
24,罗伯特高登大学The Robert Gordon University,158.0,4.24,2.65,57.0,93.7,免费评估
