Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,杜伦大学Durham University,217.0,4.14,3.41,92.0,100.0,免费评估
2,剑桥大学University of Cambridge,195.0,,3.06,86.0,99.6,免费评估
3,曼彻斯特大学The University of Manchester,199.0,,3.25,80.0,99.1,免费评估
4,牛津大学University of Oxford,198.0,,3.43,74.0,98.2,免费评估
5,南安普顿大学University of Southampton,173.0,4.22,3.55,84.0,96.1,免费评估
6,伯明翰大学University of Birmingham,179.0,4.0,3.26,86.0,95.6,免费评估
7,格拉斯哥大学University of Glasgow,205.0,3.83,2.98,78.0,95.2,免费评估
8,利兹大学University of Leeds,187.0,4.01,3.25,80.0,94.8,免费评估
9,伦敦大学皇家霍洛威学院Royal Holloway University of London,182.0,4.08,3.26,70.0,93.6,免费评估
10,卡迪夫大学Cardiff University,162.0,4.44,3.28,74.0,93.5,免费评估
11,布里斯托大学University of Bristol,172.0,4.34,3.09,70.0,93.3,免费评估
12,萨里大学University of Surrey,180.0,4.29,2.84,74.0,93.3,免费评估
13,爱丁堡大学The University of Edinburgh,198.0,3.68,3.09,70.0,93.1,免费评估
14,约克大学The University of York,164.0,4.19,3.04,74.0,92.5,免费评估
15,谢菲尔德大学The University of Sheffield,157.0,4.16,3.3,70.0,92.2,免费评估
16,阿伯丁大学University of Aberdeen,168.0,4.16,2.67,72.0,92.0,免费评估
17,"Royal Academy of Music, University of London",132.0,3.96,2.75,94.0,91.9,免费评估
18,"King's College London, University of London",166.0,3.88,3.1,74.0,91.9,免费评估
19,纽卡斯尔大学Newcastle University,165.0,3.79,3.06,76.0,91.8,免费评估
20,市政厅音乐及戏剧学院Guildhall School of Music and Drama,147.0,3.99,2.44,92.0,91.5,免费评估
21,诺丁汉大学University of Nottingham,145.0,3.91,3.29,74.0,91.2,免费评估
22,苏格兰皇家音乐学院Royal Conservatoire of Scotland,157.0,3.73,2.85,86.0,91.1,免费评估
23,英国皇家北方音乐学院Royal Northern College of Music,131.0,4.09,3.08,88.0,91.0,免费评估
24,萨塞克斯大学University of Sussex,153.0,3.89,2.93,76.0,91.0,免费评估
25,考文垂大学Coventry University,,4.06,2.98,78.0,90.8,免费评估
26,皇家音乐学院Royal College of Music,122.0,3.97,3.01,92.0,90.5,免费评估
27,伦敦大学亚非学院SOAS University of London,135.0,3.81,3.36,,90.2,免费评估
28,利物浦霍普大学Liverpool Hope University,122.0,3.8,2.5,86.0,89.7,免费评估
29,龙比亚大学Napier University,183.0,4.27,,76.0,89.7,免费评估
30,三一拉邦艺术学院Trinity Laban Conservatoire of Music and Dance,115.0,4.1,2.78,82.0,89.6,免费评估
31,哈德斯菲尔德大学University of Huddersfield,130.0,4.21,3.25,72.0,89.5,免费评估
32,布鲁内尔大学Brunel University,,4.11,2.75,68.0,89.4,免费评估
33,班戈大学Bangor University,129.0,4.38,3.09,70.0,89.4,免费评估
34,伦敦大学金史密斯学院Goldsmiths University of London,123.0,4.06,3.17,68.0,89.0,免费评估
35,肯特大学University of Kent,123.0,3.85,3.2,72.0,88.7,免费评估
36,英国女王大学Queen's University Belfast,161.0,3.75,2.83,60.0,88.7,免费评估
37,切斯特大学University of Chester,129.0,4.41,1.81,82.0,88.6,免费评估
38,伯明翰城市大学Birmingham City University,125.0,4.16,2.85,76.0,88.6,免费评估
39,普利茅斯大学University of Plymouth,136.0,4.24,2.76,64.0,87.9,免费评估
40,利物浦大学The University of Liverpool,152.0,4.1,3.0,54.0,87.9,免费评估
41,阿尔斯特大学University of Ulster,130.0,4.65,2.91,50.0,87.7,免费评估
42,伦敦城市大学City University London,137.0,3.95,3.19,60.0,87.7,免费评估
43,基尔大学Keele University,127.0,3.99,2.92,62.0,87.6,免费评估
44,牛津布鲁克斯大学Oxford Brookes University,111.0,3.97,2.81,72.0,87.4,免费评估
45,巴斯斯巴大学Bath Spa University,122.0,4.1,2.69,72.0,87.2,免费评估
46,温切斯特大学University of Winchester,128.0,4.15,2.4,,86.8,免费评估
47,法尔茅斯大学Falmouth University,109.0,4.05,2.14,80.0,86.4,免费评估
48,格林威治大学The University of Greenwich,156.0,3.96,,72.0,86.3,免费评估
49,德蒙福特大学De Montfort University,110.0,4.23,2.84,,86.2,免费评估
50,索尔福德大学University of Salford,136.0,4.25,2.28,60.0,85.9,免费评估
51,伦敦南岸大学London South Bank University,96.0,4.58,2.42,,85.8,免费评估
52,斯塔福德郡大学Staffordshire University,116.0,3.94,,86.0,85.7,免费评估
53,西苏格兰大学University of the West of Scotland,139.0,3.6,2.47,64.0,85.7,免费评估
54,赫尔大学The University of Hull,113.0,4.24,2.47,64.0,85.7,免费评估
55,伦敦都市大学London Metropolitan University,,4.53,,68.0,85.4,免费评估
56,西伦敦大学University of West London,130.0,4.03,1.88,70.0,85.3,免费评估
57,伯恩茅斯大学Bournemouth University,,3.78,3.0,58.0,85.2,免费评估
58,米德塞斯大学Middlesex University,115.0,4.17,2.5,60.0,85.1,免费评估
59,赫特福德大学University of Hertfordshire,111.0,3.98,2.09,70.0,85.0,免费评估
60,南威尔士大学The University of South Wales,120.0,3.95,2.7,62.0,84.9,免费评估
61,艾芝西尔大学Edge Hill University,141.0,3.37,2.24,,84.6,免费评估
62,University of Lincoln,127.0,4.49,,,84.3,免费评估
63,剑桥安鲁大学Anglia Ruskin University,112.0,4.24,2.33,52.0,83.9,免费评估
64,桑德兰大学University of Sunderland,,3.83,1.88,62.0,83.4,免费评估
65,中央兰开夏大学University of Central Lancashire,108.0,3.57,2.27,70.0,83.4,免费评估
66,布莱顿大学University of Brighton,107.0,4.37,2.95,46.0,83.3,免费评估
67,奇切斯特大学University of Chichester,127.0,3.97,2.41,50.0,83.2,免费评估
68,创意艺术大学University for the Creative Arts,124.0,4.18,,,82.9,免费评估
69,"Glyndwr University, Wrexham",,4.49,,56.0,82.7,免费评估
70,约克圣约翰大学York St John University,93.0,3.98,2.29,60.0,82.6,免费评估
71,东伦敦大学University of East London,118.0,4.08,2.47,46.0,82.5,免费评估
72,诺丁汉特伦特大学Nottingham Trent University,127.0,3.88,,,82.1,免费评估
73,University of the Highlands and Islands (UHI),,4.29,,56.0,81.9,免费评估
74,贝德福德大学University of Bedfordshire,108.0,3.81,1.8,,81.8,免费评估
75,Solent University (Southampton),123.0,4.3,,52.0,81.8,免费评估
76,格罗斯特大学University of Gloucestershire,116.0,4.13,,58.0,81.8,免费评估
77,德比大学University of Derby,106.0,4.02,2.29,50.0,81.5,免费评估
78,伍尔弗汉普顿大学University of Wolverhampton,106.0,4.29,,54.0,80.9,免费评估
79,利兹贝克特大学Leeds Beckett University,112.0,4.21,1.41,48.0,80.4,免费评估
80,坎特伯雷大学Canterbury Christ Church University,104.0,3.56,2.39,46.0,80.3,免费评估
81,圣大卫三一学院University of Wales Trinity Saint David,106.0,3.91,,,80.2,免费评估
82,北安普顿大学The University of Northampton,116.0,3.91,,52.0,80.2,免费评估
83,金斯顿大学Kingston University,108.0,3.98,,52.0,79.8,免费评估
84,"University of Westminster, London",109.0,3.55,,54.0,79.0,免费评估
85,Plymouth Marjon University,110.0,3.97,,46.0,79.0,免费评估
