Ranking,University Name,Entry Standards,Student Satisfaction,Research Assessment,Graduate Prospects,Overall Score,Free
1,利兹大学University of Leeds,162.0,4.17,3.06,95.0,100.0,免费评估
2,萨里大学University of Surrey,154.0,4.33,3.37,95.0,99.9,免费评估
3,英国女王大学Queen's University Belfast,151.0,3.82,3.26,90.0,98.0,免费评估
4,罗伯特高登大学The Robert Gordon University,148.0,4.42,2.85,95.0,97.3,免费评估
5,格拉斯哥大学University of Glasgow,211.0,3.95,,,97.3,免费评估
6,考文垂大学Coventry University,143.0,4.13,3.14,95.0,96.7,免费评估
7,"King's College London, University of London",158.0,3.69,3.33,80.0,96.0,免费评估
8,纽卡斯尔大学Newcastle University,141.0,4.17,2.84,85.0,95.9,免费评估
9,雷丁大学University of Reading,134.0,3.89,3.24,85.0,95.5,免费评估
10,诺丁汉大学University of Nottingham,132.0,4.1,3.12,85.0,95.2,免费评估
11,阿尔斯特大学University of Ulster,134.0,4.43,3.24,75.0,95.1,免费评估
12,普利茅斯大学University of Plymouth,143.0,4.36,2.6,75.0,94.1,免费评估
13,诺丁汉特伦特大学Nottingham Trent University,93.0,4.31,3.16,100.0,94.1,免费评估
14,赫特福德大学University of Hertfordshire,113.0,4.14,2.41,95.0,93.5,免费评估
15,中央兰开夏大学University of Central Lancashire,,4.36,2.63,80.0,93.4,免费评估
16,利兹贝克特大学Leeds Beckett University,113.0,4.26,2.72,85.0,92.2,免费评估
17,切斯特大学University of Chester,121.0,3.63,2.29,90.0,92.1,免费评估
18,伦敦都市大学London Metropolitan University,114.0,4.22,2.57,85.0,91.5,免费评估
19,阿伯泰邓迪大学University of Abertay Dundee,147.0,4.4,,80.0,91.5,免费评估
20,曼彻斯特城市大学Manchester Metropolitan University,128.0,4.26,2.88,70.0,91.5,免费评估
21,"Northumbria University, Newcastle",129.0,4.14,3.12,65.0,90.8,免费评估
22,罗汉普顿大学Roehampton University,118.0,4.01,2.85,70.0,90.4,免费评估
23,伯恩茅斯大学Bournemouth University,130.0,4.49,2.56,65.0,90.4,免费评估
24,谢菲尔德哈莱姆大学Sheffield Hallam University,119.0,4.1,2.81,75.0,90.4,免费评估
25,哈珀亚当斯大学Harper Adams University,97.0,4.18,2.66,85.0,90.0,免费评估
26,利物浦约翰摩尔斯大学Liverpool John Moores University,134.0,4.32,2.75,60.0,90.0,免费评估
27,玛格丽特女王大学Queen Margaret University,155.0,3.83,2.41,60.0,89.6,免费评估
28,金斯顿大学Kingston University,,4.54,2.82,60.0,89.6,免费评估
29,卡迪夫都市大学Cardiff Metropolitan University,132.0,4.21,,80.0,89.6,免费评估
30,"Teesside University, Middlesbrough",,4.1,,85.0,89.3,免费评估
31,伦敦南岸大学London South Bank University,108.0,3.96,2.87,60.0,88.6,免费评估
32,利物浦霍普大学Liverpool Hope University,117.0,3.69,1.94,,88.3,免费评估
33,牛津布鲁克斯大学Oxford Brookes University,117.0,4.07,2.96,55.0,87.1,免费评估
34,"University of Westminster, London",101.0,4.14,2.75,55.0,86.5,免费评估
35,"特威克南圣玛丽大学St Mary's, Twickenham",127.0,3.43,,75.0,86.1,免费评估
36,艾芝西尔大学Edge Hill University,130.0,3.87,,60.0,85.2,免费评估
37,巴斯斯巴大学Bath Spa University,96.0,4.05,,70.0,84.0,免费评估
38,萨福克学院University Campus Suffolk,110.0,3.78,,55.0,82.2,免费评估
39,利兹圣三一大学Leeds Trinity University,,3.46,,60.0,81.6,免费评估
