Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,诺丁汉大学University of Nottingham,100.0,82.0,62.0,10,8.1,68.0,5.0,335.0,,免费评估
2,雷丁大学University of Reading,83.3,83.0,65.0,5,12.6,79.0,8.0,330.0,,免费评估
3,班戈大学Bangor University,70.6,,,5,15.2,,9.0,306.0,,免费评估
4,哈伯亚当斯大学学院Harper Adams UC,60.8,92.0,74.0,3,21.8,80.0,5.0,298.0,,免费评估
5,纽卡斯尔大学Newcastle University,53.3,85.0,61.0,3,11.7,77.0,2.0,306.0,,免费评估
6,谢菲尔德哈莱姆大学Sheffield Hallam University,52.1,89.0,67.0,3,19.6,,8.0,282.0,,免费评估
7,亚伯大学Aberystwyth University,49.9,92.0,75.0,5,16.3,37.0,3.0,318.0,,免费评估
8,中央兰开夏大学University of Central Lancashire,47.9,81.0,60.0,9,19.2,52.0,4.0,,,免费评估
8,诺丁汉特伦特大学Nottingham Trent University,47.9,82.0,68.0,3,15.8,57.0,6.0,297.0,,免费评估
10,瑞特尔学院Writtle College,35.7,72.0,57.0,9,4.9,36.0,3.0,250.0,,免费评估
11,曼彻斯特城市大学Manchester Metropolitan University,34.2,,,2,23.0,,6.0,302.0,,免费评估
12,林肯大学University of Lincoln,33.3,89.0,65.0,3,20.7,50.0,6.0,268.0,,免费评估
13,皇家农学院Royal Agricultural University,31.8,86.0,62.0,4,17.5,54.0,2.0,294.0,,免费评估
14,格林威治大学The University of Greenwich,29.8,84.0,59.0,2,19.2,,9.0,235.0,,免费评估
15,索尔福德大学University of Salford,25.5,82.0,56.0,4,17.0,,,247.0,,免费评估
