Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
1,萨塞克斯大学University of Sussex,100.0,91.0,61.0,7.0,7.4,,10.0,403.0,,免费评估
2,牛津大学University of Oxford,94.5,86.0,67.0,10.0,17.8,89.0,7.0,542.0,,免费评估
3,圣安德鲁斯大学University of St Andrews,87.2,94.0,66.0,9.0,9.9,82.0,3.0,438.0,,免费评估
4,华威大学The University of Warwick,86.9,89.0,67.0,9.0,13.4,84.0,6.0,426.0,,免费评估
5,赫尔大学The University of Hull,85.5,92.0,68.0,7.0,13.8,91.0,10.0,243.0,,免费评估
6,帝国理工学院Imperial College London,85.0,78.0,51.0,10.0,12.7,86.0,3.0,462.0,,免费评估
7,杜伦大学Durham University,84.9,90.0,70.0,5.0,13.1,83.0,5.0,507.0,,免费评估
8,约克大学The University of York,82.6,95.0,76.0,9.0,11.4,82.0,2.0,407.0,,免费评估
9,南安普顿大学University of Southampton,82.5,96.0,70.0,4.0,12.5,84.0,6.0,398.0,,免费评估
9,伦敦大学学院University College London,82.5,87.0,57.0,9.0,10.7,76.0,7.0,423.0,,免费评估
11,利物浦大学The University of Liverpool,81.8,80.0,66.0,,10.3,89.0,7.0,356.0,,免费评估
12,利兹大学University of Leeds,80.5,90.0,63.0,9.0,12.1,86.0,3.0,389.0,,免费评估
13,英国女王大学Queen's University Belfast,78.1,91.0,60.0,6.0,12.1,87.0,6.0,341.0,,免费评估
14,赫瑞瓦特大学Heriot Watt University,77.1,93.0,67.0,4.0,12.8,85.0,5.0,337.0,,免费评估
15,谢菲尔德大学The University of Sheffield,77.0,92.0,71.0,7.0,14.8,79.0,5.0,404.0,,免费评估
16,罗伯特高登大学The Robert Gordon University,76.5,,,3.0,16.5,78.0,10.0,323.0,,免费评估
17,莱斯特大学University of Leicester,75.9,90.0,78.0,6.0,13.7,78.0,5.0,345.0,,免费评估
18,萨里大学University of Surrey,74.1,83.0,48.0,8.0,14.2,92.0,4.0,301.0,,免费评估
19,布里斯托大学University of Bristol,73.8,93.0,51.0,6.0,13.3,76.0,4.0,434.0,,免费评估
19,爱丁堡大学The University of Edinburgh,73.8,81.0,46.0,9.0,16.3,78.0,4.0,446.0,,免费评估
21,诺丁汉大学University of Nottingham,73.6,90.0,59.0,7.0,12.6,75.0,4.0,369.0,,免费评估
22,曼彻斯特大学The University of Manchester,73.5,83.0,50.0,8.0,11.8,75.0,4.0,409.0,,免费评估
23,阿伯丁大学University of Aberdeen,72.3,91.0,66.0,4.0,13.4,,,348.0,,免费评估
24,卡迪夫大学Cardiff University,72.0,88.0,42.0,6.0,11.1,82.0,5.0,356.0,,免费评估
25,巴斯大学University of Bath,71.4,91.0,56.0,4.0,12.6,83.0,3.0,398.0,,免费评估
26,格拉斯哥大学University of Glasgow,69.0,86.0,58.0,4.0,17.6,86.0,4.0,392.0,,免费评估
27,拉夫堡大学Loughborough University,68.5,90.0,77.0,4.0,14.4,80.0,2.0,313.0,,免费评估
28,思克莱德大学University of Strathclyde,67.7,89.0,63.0,4.0,17.7,68.0,8.0,396.0,,免费评估
29,普利茅斯大学University of Plymouth,67.3,90.0,60.0,5.0,14.2,,7.0,235.0,,免费评估
