Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,剑桥大学University of Cambridge,100.0,85,73,8,12.3,97.0,7.0,532,,免费评估
2,纽卡斯尔大学Newcastle University,93.2,87,70,9,10.4,91.0,7.0,399,,免费评估
3,帝国理工学院Imperial College London,83.1,84,67,9,16.8,79.0,7.0,479,,免费评估
4,曼彻斯特大学The University of Manchester,79.1,81,47,8,13.9,82.0,7.0,457,,免费评估
5,爱丁堡大学The University of Edinburgh,77.1,79,47,6,9.9,,7.0,420,,免费评估
6,伯明翰大学University of Birmingham,76.9,80,61,8,14.6,,5.0,409,,免费评估
7,拉夫堡大学Loughborough University,72.6,87,66,5,15.7,77.0,7.0,392,,免费评估
8,谢菲尔德大学The University of Sheffield,71.7,90,68,6,13.0,,2.0,399,,免费评估
9,诺丁汉大学University of Nottingham,67.9,73,52,7,14.3,81.0,6.0,358,,免费评估
10,伦敦大学学院University College London,67.3,80,56,7,14.6,69.0,8.0,375,,免费评估
11,萨里大学University of Surrey,66.9,88,68,3,18.3,,8.0,315,,免费评估
12,阿斯顿大学Aston University,64.6,84,81,2,9.5,,3.0,295,,免费评估
13,思克莱德大学University of Strathclyde,63.5,75,61,3,23.7,90.0,8.0,391,,免费评估
14,斯旺西大学Swansea University,63.3,74,57,4,11.6,,,263,,免费评估
15,利兹大学University of Leeds,58.4,73,52,5,17.6,84.0,4.0,326,,免费评估
16,巴斯大学University of Bath,57.0,72,44,3,17.5,78.0,4.0,428,,免费评估
17,赫瑞瓦特大学Heriot Watt University,52.8,75,47,4,13.4,83.0,1.0,379,,免费评估
18,伦敦南岸大学London South Bank University,34.8,64,49,1,23.4,,7.0,163,,免费评估
