Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,爱丁堡大学The University of Edinburgh,100.0,98.0,77.0,10.0,7.1,97.0,8.0,395.0,,免费评估
2,泰晤士河谷大学Thames Valley University,72.2,86.0,72.0,9.0,9.7,97.0,6.0,,,免费评估
3,利兹大学University of Leeds,70.6,78.0,63.0,10.0,13.4,98.0,4.0,322.0,,免费评估
4,利物浦大学The University of Liverpool,67.2,88.0,59.0,8.0,9.7,97.0,3.0,325.0,,免费评估
5,罗伯特高登大学The Robert Gordon University,65.8,,,5.0,15.2,93.0,9.0,321.0,,免费评估
6,诺丁汉大学University of Nottingham,65.2,88.0,59.0,7.0,15.2,93.0,8.0,351.0,,免费评估
6,东英吉利大学University of East Anglia,65.2,88.0,54.0,9.0,16.7,89.0,8.0,339.0,,免费评估
8,布拉德福德大学University of Bradford,63.0,84.0,70.0,5.0,11.9,88.0,6.0,357.0,,免费评估
9,伦敦国王学院King's College London,62.9,83.0,47.0,8.0,14.2,96.0,6.0,336.0,,免费评估
10,格拉斯哥大学University of Glasgow,62.6,91.0,61.0,3.0,14.4,,8.0,346.0,,免费评估
11,英国女王大学Queen's University Belfast,62.0,89.0,74.0,4.0,17.4,98.0,10.0,279.0,,免费评估
12,埃塞克斯大学University of Essex,61.1,,,5.0,11.7,,10.0,242.0,,免费评估
13,基尔大学Keele University,60.5,92.0,59.0,5.0,14.7,93.0,7.0,318.0,,免费评估
14,谢菲尔德哈莱姆大学Sheffield Hallam University,59.7,93.0,71.0,5.0,12.2,89.0,7.0,260.0,,免费评估
14,圣乔治医学院St George's Medical School,59.7,90.0,49.0,,,91.0,5.0,302.0,,免费评估
16,肯特大学University of Kent,59.1,92.0,63.0,9.0,9.3,73.0,3.0,293.0,,免费评估
17,南安普顿大学University of Southampton,58.4,90.0,67.0,7.0,14.5,89.0,2.0,378.0,,免费评估
18,斯特林大学University of Stirling,58.1,83.0,56.0,7.0,14.4,99.0,,,,免费评估
19,龙比亚大学Napier University,58.0,,,4.0,16.3,95.0,9.0,,,免费评估
20,伯明翰大学University of Birmingham,57.8,91.0,53.0,7.0,13.5,78.0,5.0,372.0,,免费评估
21,北安普顿大学The University of Northampton,56.7,93.0,54.0,4.0,10.7,85.0,8.0,241.0,,免费评估
22,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,56.0,88.0,73.0,4.0,16.5,92.0,6.0,332.0,,免费评估
23,萨里大学University of Surrey,55.6,88.0,72.0,7.0,20.5,98.0,5.0,326.0,,免费评估
24,哥比亚大学University of Cumbria,55.4,,,5.0,14.9,88.0,5.0,323.0,,免费评估
25,阿尔斯特大学University of Ulster,55.1,72.0,56.0,6.0,13.4,92.0,7.0,307.0,,免费评估
26,布莱顿大学University of Brighton,54.8,84.0,55.0,4.0,14.1,87.0,8.0,299.0,,免费评估
26,约克大学The University of York,54.8,,,8.0,11.6,,1.0,313.0,,免费评估
28,格拉摩根大学University of Glamorgan,54.1,86.0,74.0,5.0,11.3,95.0,3.0,,,免费评估
29,班戈大学Bangor University,53.4,86.0,66.0,5.0,12.5,98.0,2.0,276.0,,免费评估
30,切斯特大学University of Chester,53.3,88.0,65.0,2.0,13.5,92.0,8.0,274.0,,免费评估
31,卡迪夫大学Cardiff University,53.2,90.0,54.0,6.0,13.2,92.0,2.0,297.0,,免费评估
32,西英格兰大学University of the West of England,52.6,84.0,69.0,4.0,14.3,91.0,7.0,261.0,,免费评估
33,伦敦城市大学City University London,51.8,76.0,58.0,8.0,13.7,85.0,6.0,253.0,,免费评估
34,曼彻斯特大学The University of Manchester,51.7,86.0,47.0,7.0,18.7,90.0,4.0,325.0,,免费评估
35,邓迪大学University of Dundee,51.4,90.0,66.0,5.0,18.1,96.0,,250.0,,免费评估
36,玛格丽特女王大学Queen Margaret University,51.2,,,3.0,18.5,84.0,9.0,325.0,,免费评估
37,普利茅斯大学University of Plymouth,51.1,81.0,58.0,8.0,19.9,85.0,9.0,250.0,,免费评估
38,贝德福德大学University of Bedfordshire,51.0,90.0,67.0,3.0,18.0,91.0,10.0,194.0,,免费评估
39,考文垂大学Coventry University,50.6,,,4.0,15.9,83.0,8.0,277.0,,免费评估
