Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
1,剑桥大学University of Cambridge,100.0,89.0,73.0,10.0,11.7,89.0,7.0,474.0,,免费评估
2,金斯顿大学Kingston University,86.5,91.0,67.0,10.0,9.9,76.0,10.0,259.0,,免费评估
3,阿伯丁大学University of Aberdeen,81.5,85.0,50.0,10.0,15.7,97.0,8.0,343.0,,免费评估
4,爱丁堡大学The University of Edinburgh,79.0,80.0,52.0,10.0,16.7,94.0,7.0,363.0,,免费评估
5,斯特林大学University of Stirling,77.6,89.0,73.0,5.0,11.0,93.0,7.0,,,免费评估
6,雷丁大学University of Reading,77.1,93.0,70.0,5.0,19.2,92.0,10.0,301.0,,免费评估
7,哈德斯菲尔德大学University of Huddersfield,74.8,92.0,80.0,10.0,11.8,,6.0,225.0,,免费评估
8,英国圣玛丽大学学院St Mary's University College,74.5,80.0,60.0,3.0,14.9,97.0,9.0,342.0,,免费评估
9,赫特福德大学University of Hertfordshire,73.9,90.0,76.0,8.0,12.2,75.0,8.0,274.0,,免费评估
10,邓迪大学University of Dundee,71.5,91.0,74.0,4.0,18.2,93.0,8.0,335.0,,免费评估
11,利兹大学University of Leeds,71.0,86.0,75.0,8.0,12.8,69.0,6.0,341.0,,免费评估
12,桑德兰大学University of Sunderland,70.1,85.0,82.0,9.0,12.7,85.0,4.0,238.0,,免费评估
13,杜伦大学Durham University,68.4,85.0,63.0,6.0,17.7,89.0,3.0,389.0,,免费评估
14,中央兰开夏大学University of Central Lancashire,68.3,95.0,74.0,,8.3,77.0,3.0,246.0,,免费评估
15,华威大学The University of Warwick,66.3,83.0,60.0,10.0,16.1,60.0,7.0,311.0,,免费评估
16,诺桑比亚大学Northumbria University,65.4,93.0,79.0,7.0,16.5,79.0,3.0,313.0,,免费评估
17,埃克塞特大学University of Exeter,64.1,92.0,72.0,8.0,21.2,55.0,8.0,338.0,,免费评估
18,威尔士大学卡迪夫学院UWIC,63.4,89.0,79.0,7.0,21.1,85.0,6.0,258.0,,免费评估
19,约克圣约翰大学York St John University,62.5,89.0,77.0,5.0,18.6,80.0,7.0,299.0,,免费评估
20,普利茅斯大学University of Plymouth,62.2,88.0,65.0,9.0,18.4,68.0,8.0,254.0,,免费评估
21,伦敦大学金史密斯学院Goldsmiths University of London,59.9,85.0,52.0,4.0,18.7,80.0,9.0,244.0,,免费评估
22,诺丁汉特伦特大学Nottingham Trent University,59.8,92.0,68.0,5.0,16.9,74.0,6.0,285.0,,免费评估
23,牛津布鲁克斯大学Oxford Brookes University,59.2,89.0,64.0,6.0,17.8,74.0,5.0,300.0,,免费评估
24,亚伯大学Aberystwyth University,59.1,92.0,74.0,6.0,16.6,,3.0,264.0,,免费评估
24,蒂赛德大学Teesside University,59.1,,,10.0,31.5,,10.0,208.0,,免费评估
26,伯明翰城市大学Birmingham City University,58.9,87.0,69.0,4.0,21.2,85.0,7.0,256.0,,免费评估
