Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
0,利物浦霍普大学Liverpool Hope University,,,,,,,,,,免费评估
1,格拉斯哥大学University of Glasgow,100.0,87.0,64.0,10.0,7.3,73.0,7.0,402.0,,免费评估
2,爱丁堡大学The University of Edinburgh,97.0,91.0,48.0,,8.3,91.0,8.0,421.0,,免费评估
3,南安普顿大学University of Southampton,95.5,84.0,63.0,8.0,11.5,93.0,7.0,467.0,,免费评估
4,伦敦大学学院University College London,94.9,72.0,56.0,10.0,7.5,79.0,8.0,426.0,,免费评估
5,帝国理工学院Imperial College London,93.3,87.0,52.0,10.0,14.3,82.0,6.0,474.0,,免费评估
6,萨里大学University of Surrey,90.8,84.0,66.0,9.0,13.3,81.0,8.0,374.0,,免费评估
7,英国女王大学Queen's University Belfast,88.2,78.0,65.0,9.0,8.3,82.0,6.0,344.0,,免费评估
8,约克大学The University of York,87.8,93.0,81.0,7.0,9.9,72.0,4.0,398.0,,免费评估
9,思克莱德大学University of Strathclyde,87.6,67.0,55.0,8.0,7.8,85.0,7.0,416.0,,免费评估
10,布里斯托大学University of Bristol,86.2,78.0,47.0,7.0,11.1,97.0,7.0,406.0,,免费评估
11,谢菲尔德大学The University of Sheffield,84.5,85.0,62.0,7.0,10.5,84.0,7.0,353.0,,免费评估
12,卡迪夫大学Cardiff University,81.0,77.0,64.0,7.0,10.6,87.0,6.0,342.0,,免费评估
13,利兹大学University of Leeds,77.6,72.0,52.0,9.0,10.7,76.0,5.0,367.0,,免费评估
14,诺丁汉大学University of Nottingham,77.0,76.0,54.0,8.0,12.0,85.0,4.0,362.0,,免费评估
15,拉夫堡大学Loughborough University,76.5,88.0,66.0,7.0,16.2,95.0,3.0,335.0,,免费评估
16,伯明翰大学University of Birmingham,75.8,77.0,61.0,9.0,13.4,86.0,3.0,331.0,,免费评估
16,伦敦国王学院King's College London,75.8,76.0,68.0,6.0,19.4,80.0,10.0,338.0,,免费评估
18,巴斯大学University of Bath,74.4,76.0,51.0,7.0,10.1,82.0,4.0,374.0,,免费评估
18,曼彻斯特大学The University of Manchester,74.4,75.0,47.0,9.0,10.7,80.0,3.0,358.0,,免费评估
20,朴茨茅斯大学University of Portsmouth,72.0,94.0,81.0,4.0,15.6,76.0,9.0,202.0,,免费评估
21,兰卡斯特大学Lancaster University,71.5,73.0,62.0,8.0,10.3,75.0,4.0,307.0,,免费评估
22,埃塞克斯大学University of Essex,71.2,82.0,70.0,3.0,7.1,,5.0,,,免费评估
23,纽卡斯尔大学Newcastle University,69.7,80.0,59.0,7.0,12.2,87.0,2.0,347.0,,免费评估
24,雷丁大学University of Reading,67.0,80.0,54.0,4.0,18.1,77.0,7.0,360.0,,免费评估
