Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,布里斯托大学University of Bristol,100.0,88,73,10,11.7,68.0,6.0,347.0,,免费评估
2,伦敦政治经济学院The London School of Economics and Political Science,91.5,76,55,8,13.0,77.0,6.0,420.0,,免费评估
3,卡迪夫大学Cardiff University,87.3,89,53,9,17.4,,8.0,348.0,,免费评估
4,巴斯大学University of Bath,83.0,87,56,6,16.9,,8.0,377.0,,免费评估
4,利兹大学University of Leeds,83.0,91,60,5,20.8,63.0,10.0,290.0,,免费评估
6,伯明翰大学University of Birmingham,82.9,82,63,10,17.8,52.0,8.0,292.0,,免费评估
7,约克大学The University of York,80.8,89,57,8,14.0,58.0,6.0,321.0,,免费评估
8,诺丁汉大学University of Nottingham,75.8,84,53,6,16.7,,6.0,329.0,,免费评估
9,格拉斯哥大学University of Glasgow,75.1,89,65,5,15.6,60.0,5.0,,,免费评估
10,拉夫堡大学Loughborough University,74.6,94,86,5,22.9,51.0,4.0,356.0,,免费评估
11,基尔大学Keele University,71.8,86,60,4,16.3,52.0,6.0,316.0,,免费评估
12,赫尔大学The University of Hull,71.0,87,77,3,16.6,61.0,3.0,285.0,,免费评估
13,诺丁汉特伦特大学Nottingham Trent University,70.4,76,71,7,15.9,52.0,7.0,,,免费评估
14,伯明翰城市大学Birmingham City University,68.5,76,65,5,18.5,,8.0,240.0,,免费评估
15,肯特大学University of Kent,68.4,89,68,5,16.7,63.0,3.0,244.0,,免费评估
16,谢菲尔德哈莱姆大学Sheffield Hallam University,64.3,78,63,5,19.9,40.0,8.0,265.0,,免费评估
17,曼彻斯特大学The University of Manchester,64.0,76,27,7,19.7,44.0,5.0,362.0,,免费评估
18,谢菲尔德大学The University of Sheffield,63.9,80,56,4,22.5,,6.0,338.0,,免费评估
19,索尔福德大学University of Salford,59.7,88,72,3,23.7,,6.0,211.0,,免费评估
20,中央兰开夏大学University of Central Lancashire,57.9,85,65,4,28.5,,5.0,216.0,,免费评估
21,斯旺西大学Swansea University,51.1,84,66,3,22.7,41.0,2.0,268.0,,免费评估
22,阿尔斯特大学University of Ulster,49.1,76,61,3,19.0,,1.0,243.0,,免费评估
23,剑桥安鲁大学Anglia Ruskin University,48.9,88,69,6,30.5,32.0,2.0,251.0,,免费评估
24,曼彻斯特城市大学Manchester Metropolitan University,48.5,74,60,3,19.4,,,169.0,,免费评估
25,北安普顿大学The University of Northampton,45.1,81,64,3,27.4,,,186.0,,免费评估
26,伦敦南岸大学London South Bank University,34.5,82,60,2,39.8,,3.0,,,免费评估
