Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,伦敦大学学院University College London,100.0,,,10.0,11.8,64.0,10.0,399.0,,免费评估
2,牛津大学University of Oxford,87.5,98.0,84.0,10.0,15.9,,7.0,420.0,,免费评估
3,布鲁内尔大学Brunel University,81.9,,,9.0,14.6,73.0,9.0,371.0,,免费评估
4,爱丁堡大学The University of Edinburgh,74.5,,,9.0,14.8,,7.0,436.0,,免费评估
5,纽卡斯尔大学Newcastle University,70.6,71.0,59.0,7.0,12.0,56.0,8.0,387.0,,免费评估
6,拉夫堡大学Loughborough University,70.0,84.0,71.0,5.0,15.4,58.0,9.0,371.0,,免费评估
7,龙比亚大学Napier University,68.3,,,6.0,14.8,74.0,6.0,319.0,,免费评估
8,格拉斯哥大学University of Glasgow,67.1,83.0,60.0,4.0,15.7,57.0,,448.0,,免费评估
9,伦敦大学金史密斯学院Goldsmiths University of London,66.0,87.0,60.0,5.0,12.8,66.0,7.0,311.0,,免费评估
10,兰卡斯特大学Lancaster University,65.3,81.0,69.0,8.0,12.2,54.0,3.0,381.0,,免费评估
10,瑞特尔学院Writtle College,65.3,,,5.0,15.2,64.0,8.0,,,免费评估
12,邓迪大学University of Dundee,64.5,80.0,70.0,8.0,12.5,45.0,7.0,344.0,,免费评估
13,赫瑞瓦特大学Heriot Watt University,63.0,74.0,59.0,6.0,23.3,82.0,7.0,331.0,,免费评估
14,肯特大学University of Kent,62.5,85.0,62.0,5.0,24.1,71.0,10.0,296.0,,免费评估
15,诺桑比亚大学Northumbria University,60.5,83.0,69.0,7.0,18.9,67.0,5.0,288.0,,免费评估
16,格拉摩根大学University of Glamorgan,60.1,83.0,68.0,6.0,10.8,53.0,5.0,275.0,,免费评估
16,格拉斯哥艺术学院Glasgow School of Art,60.1,,,7.0,15.1,47.0,6.0,360.0,,免费评估
18,普利茅斯大学University of Plymouth,59.4,72.0,55.0,10.0,22.9,48.0,9.0,257.0,,免费评估
19,布莱顿大学University of Brighton,59.3,81.0,69.0,8.0,15.3,50.0,6.0,272.0,,免费评估
20,罗伯特高登大学The Robert Gordon University,58.0,,,4.0,17.7,64.0,7.0,310.0,,免费评估
21,金斯顿大学Kingston University,57.2,81.0,63.0,4.0,16.8,64.0,7.0,247.0,,免费评估
22,诺丁汉特伦特大学Nottingham Trent University,56.9,81.0,62.0,5.0,19.9,70.0,3.0,324.0,,免费评估
23,伯明翰城市大学Birmingham City University,56.7,75.0,66.0,8.0,14.2,47.0,7.0,280.0,,免费评估
24,利兹大学University of Leeds,56.6,71.0,67.0,5.0,20.2,54.0,6.0,379.0,,免费评估
24,斯塔福德郡大学Staffordshire University,56.6,82.0,73.0,10.0,18.7,55.0,2.0,262.0,,免费评估
26,南安普顿大学University of Southampton,56.5,65.0,51.0,7.0,19.4,54.0,7.0,374.0,,免费评估
27,爱丁堡艺术学院Edinburgh College of Art,56.1,,,5.0,15.0,44.0,5.0,358.0,,免费评估
28,伦敦艺术大学University of the Arts London,55.6,70.0,56.0,9.0,22.6,61.0,5.0,321.0,,免费评估
29,西英格兰大学University of the West of England,54.8,79.0,73.0,4.0,19.4,52.0,8.0,286.0,,免费评估
30,雷丁大学University of Reading,54.1,70.0,43.0,4.0,14.8,55.0,7.0,315.0,,免费评估
31,伯恩茅斯艺术大学Arts University Bournemouth,53.8,88.0,77.0,3.0,19.4,62.0,3.0,306.0,,免费评估
32,法尔茅斯大学学院UC Falmouth,53.7,80.0,72.0,5.0,19.3,57.0,5.0,274.0,,免费评估
33,格林威治大学The University of Greenwich,53.2,73.0,68.0,5.0,24.5,67.0,9.0,206.0,,免费评估
34,德蒙福特大学De Montfort University,53.1,76.0,66.0,4.0,15.1,58.0,4.0,272.0,,免费评估
35,罗汉普顿大学Roehampton University,52.6,78.0,57.0,5.0,16.0,56.0,5.0,279.0,,免费评估
