Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,皇家音乐学院Royal College of Music,100.0,92.0,72.0,7,9.2,89.0,9.0,,,免费评估
2,牛津大学University of Oxford,99.3,98.0,83.0,10,15.9,67.0,4.0,465.0,,免费评估
3,市政厅音乐及戏剧学院Guildhall School of Music and Drama,96.2,,,8,7.5,83.0,7.0,,,免费评估
4,苏格兰皇家音乐学院Royal Conservatoire of Scotland,94.0,,,7,7.7,89.0,6.0,,,免费评估
5,东英吉利大学University of East Anglia,91.9,88.0,60.0,10,8.6,67.0,6.0,262.0,,免费评估
6,皇家音乐学院Royal College of Music,90.5,75.0,55.0,8,10.1,95.0,8.0,311.0,,免费评估
7,诺丁汉大学University of Nottingham,89.8,97.0,68.0,7,12.6,74.0,5.0,446.0,,免费评估
8,布里斯托大学University of Bristol,88.9,91.0,66.0,8,14.3,77.0,7.0,368.0,,免费评估
9,剑桥大学University of Cambridge,87.6,90.0,70.0,9,19.9,80.0,4.0,462.0,,免费评估
10,伦敦国王学院King's College London,84.1,95.0,58.0,5,13.6,73.0,5.0,455.0,,免费评估
11,爱丁堡大学The University of Edinburgh,83.7,92.0,65.0,8,14.8,60.0,7.0,435.0,,免费评估
12,英国皇家北方音乐学院Royal Northern College of Music,83.3,85.0,72.0,3,11.1,82.0,7.0,,,免费评估
13,三一拉班音乐学院Trinity Laban,81.2,89.0,66.0,6,7.8,82.0,4.0,292.0,,免费评估
14,约克大学The University of York,80.6,92.0,61.0,8,13.1,51.0,6.0,417.0,,免费评估
15,纽卡斯尔大学Newcastle University,78.2,89.0,61.0,6,12.0,69.0,5.0,363.0,,免费评估
16,曼彻斯特大学The University of Manchester,77.2,95.0,71.0,3,17.2,76.0,4.0,421.0,,免费评估
17,伦敦大学金史密斯学院Goldsmiths University of London,76.7,82.0,50.0,4,12.8,77.0,7.0,333.0,,免费评估
18,伦敦城市大学City University London,76.0,,,9,10.1,62.0,2.0,298.0,,免费评估
19,利物浦表演艺术学院The Liverpool Institute for Performing Arts,75.8,,,3,12.1,62.0,10.0,300.0,,免费评估
20,杜伦大学Durham University,74.8,88.0,45.0,4,14.0,78.0,4.0,410.0,,免费评估
21,南安普顿大学University of Southampton,74.1,93.0,70.0,6,19.4,59.0,7.0,369.0,,免费评估
22,伯明翰城市大学Birmingham City University,73.9,81.0,76.0,7,14.2,85.0,3.0,296.0,,免费评估
23,谢菲尔德大学The University of Sheffield,73.7,95.0,79.0,4,13.9,68.0,3.0,353.0,,免费评估
24,思克莱德大学University of Strathclyde,73.4,78.0,57.0,7,18.1,69.0,7.0,396.0,,免费评估
25,班戈大学Bangor University,73.3,83.0,77.0,3,16.5,69.0,8.0,303.0,,免费评估
26,英国女王大学Queen's University Belfast,72.9,89.0,64.0,3,19.4,79.0,8.0,337.0,,免费评估
27,伯明翰大学University of Birmingham,72.8,92.0,72.0,6,15.7,56.0,3.0,436.0,,免费评估
27,布鲁内尔大学Brunel University,72.8,81.0,60.0,3,9.7,69.0,5.0,332.0,,免费评估
29,龙比亚大学Napier University,72.7,,,5,14.8,61.0,7.0,351.0,,免费评估
30,普利茅斯大学University of Plymouth,72.3,85.0,68.0,10,22.9,50.0,10.0,156.0,,免费评估
31,格拉摩根大学University of Glamorgan,71.6,84.0,49.0,5,10.8,76.0,4.0,289.0,,免费评估
32,兰卡斯特大学Lancaster University,70.4,70.0,62.0,7,12.2,55.0,7.0,323.0,,免费评估
32,利兹音乐学院Leeds College of Music,70.4,77.0,46.0,4,11.9,86.0,5.0,299.0,,免费评估
34,卡迪夫大学Cardiff University,70.2,93.0,64.0,5,13.7,61.0,4.0,350.0,,免费评估
35,阿尔斯特大学University of Ulster,69.7,80.0,46.0,3,16.2,85.0,8.0,294.0,,免费评估
36,考文垂大学Coventry University,68.2,86.0,61.0,3,23.4,59.0,10.0,303.0,,免费评估
36,伦敦大学皇家霍洛威学院Royal Holloway University of London,68.2,94.0,66.0,4,14.0,62.0,4.0,342.0,,免费评估
38,萨塞克斯大学University of Sussex,67.9,85.0,58.0,3,16.3,,6.0,355.0,,免费评估
39,巴斯斯巴大学Bath Spa University,66.8,91.0,75.0,3,20.0,60.0,8.0,309.0,,免费评估
40,利兹大学University of Leeds,64.2,91.0,72.0,4,20.2,61.0,4.0,355.0,,免费评估
41,德蒙福特大学De Montfort University,64.0,96.0,64.0,8,11.0,60.0,2.0,183.0,,免费评估
42,赫尔大学The University of Hull,63.6,79.0,77.0,4,21.0,60.0,8.0,261.0,,免费评估
43,哈德斯菲尔德大学University of Huddersfield,63.2,86.0,68.0,4,12.1,58.0,3.0,279.0,,免费评估
44,埃塞克斯大学University of Essex,63.1,92.0,62.0,7,18.3,,4.0,219.0,,免费评估
45,格罗斯特大学University of Gloucestershire,62.1,80.0,71.0,5,17.0,,,251.0,,免费评估
46,罗汉普顿大学Roehampton University,62.0,78.0,53.0,4,16.0,69.0,7.0,240.0,,免费评估
47,格拉斯哥大学University of Glasgow,61.9,74.0,45.0,3,15.7,67.0,3.0,421.0,,免费评估
48,泰晤士河谷大学Thames Valley University,61.5,80.0,54.0,8,20.9,55.0,8.0,231.0,,免费评估
49,利物浦大学The University of Liverpool,61.1,84.0,62.0,4,16.5,54.0,5.0,346.0,,免费评估
50,米德塞斯大学Middlesex University,60.7,79.0,59.0,10,30.0,67.0,6.0,244.0,,免费评估
51,罗斯布鲁弗学院Rose Bruford College,60.5,83.0,53.0,4,17.4,,7.0,,,免费评估
52,威斯敏斯特大学University of Westminster,59.6,81.0,38.0,4,18.4,62.0,8.0,273.0,,免费评估
53,索尔福德大学University of Salford,57.8,88.0,73.0,3,27.4,56.0,9.0,265.0,,免费评估
54,约克圣约翰大学York St John University,57.6,83.0,56.0,7,18.0,52.0,5.0,236.0,,免费评估
55,萨里大学University of Surrey,55.6,87.0,47.0,3,18.8,56.0,2.0,372.0,,免费评估
56,金斯顿大学Kingston University,54.9,67.0,66.0,4,16.8,45.0,9.0,228.0,,免费评估
57,法尔茅斯大学学院UC Falmouth,54.2,76.0,58.0,4,19.3,,4.0,270.0,,免费评估
58,赫特福德大学University of Hertfordshire,53.6,86.0,60.0,4,14.0,39.0,4.0,260.0,,免费评估
59,中央兰开夏大学University of Central Lancashire,53.2,75.0,48.0,4,24.0,67.0,7.0,226.0,,免费评估
60,德比大学University of Derby,52.4,78.0,52.0,6,17.4,,5.0,222.0,,免费评估
60,基尔大学Keele University,52.4,81.0,68.0,2,22.8,,,296.0,,免费评估
62,新白金汉大学Buckinghamshire New University,51.7,78.0,56.0,6,15.6,54.0,2.0,263.0,,免费评估
63,布莱顿大学University of Brighton,50.7,67.0,50.0,7,15.3,31.0,7.0,224.0,,免费评估
64,奇切斯特大学University of Chichester,47.0,87.0,61.0,3,18.5,51.0,2.0,237.0,,免费评估
