Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,考陶尔德艺术学院Courtauld Institute of Art,100.0,92.0,96.0,89.0,13.4,10,442,9.0,,免费评估
2,剑桥大学University of Cambridge,95.8,93.0,96.0,81.0,13.6,10,519,8.0,68.0,免费评估
3,牛津大学University of Oxford,94.3,,,,13.2,10,511,7.0,69.0,免费评估
4,杜伦大学Durham University,90.0,100.0,99.0,87.0,15.5,4,510,8.0,78.0,免费评估
5,圣安德鲁斯大学University of St Andrews,87.7,97.0,97.0,85.0,12.6,7,455,8.0,61.0,免费评估
6,伦敦大学学院University College London,87.4,94.0,92.0,73.0,10.9,9,440,8.0,74.0,免费评估
7,伦敦国王学院King's College London,82.0,81.0,89.0,71.0,11.6,8,465,8.0,64.0,免费评估
8,华威大学The University of Warwick,78.9,91.0,91.0,72.0,13.3,8,464,7.0,61.0,免费评估
9,伦敦政治经济学院The London School of Economics and Political Science,78.7,70.0,84.0,69.0,13.1,9,470,7.0,85.0,免费评估
10,奇切斯特大学University of Chichester,77.5,97.0,97.0,93.0,13.5,4,248,7.0,,免费评估
11,东英吉利大学University of East Anglia,77.2,95.0,97.0,85.0,19.2,7,370,8.0,50.0,免费评估
12,伦敦大学玛丽女王学院Queen Mary University of London,76.1,98.0,95.0,81.0,19.9,7,364,7.0,71.0,免费评估
13,赫特福德大学University of Hertfordshire,74.7,90.0,96.0,72.0,14.3,5,262,10.0,,免费评估
14,埃克塞特大学University of Exeter,74.3,87.0,91.0,84.0,16.3,4,436,8.0,58.0,免费评估
15,约克大学The University of York,73.8,89.0,94.0,78.0,18.8,6,445,7.0,65.0,免费评估
16,格拉斯哥大学University of Glasgow,73.6,96.0,97.0,83.0,16.5,7,396,7.0,47.0,免费评估
17,埃塞克斯大学University of Essex,72.3,92.0,90.0,78.0,9.8,9,322,5.0,46.0,免费评估
18,萨塞克斯大学University of Sussex,72.2,92.0,96.0,73.0,18.0,5,373,8.0,70.0,免费评估
19,利物浦大学The University of Liverpool,70.1,89.0,93.0,77.0,17.6,8,388,7.0,48.0,免费评估
20,伦敦大学皇家霍洛威学院Royal Holloway University of London,69.7,94.0,95.0,78.0,15.0,5,382,8.0,44.0,免费评估
21,兰卡斯特大学Lancaster University,69.2,96.0,95.0,75.0,16.6,4,399,4.0,68.0,免费评估
22,利兹大学University of Leeds,68.8,91.0,94.0,71.0,18.5,6,428,7.0,58.0,免费评估
23,伦敦大学亚非学院SOAS University of London,68.5,93.0,94.0,70.0,11.8,7,355,5.0,52.0,免费评估
24,布里斯托大学University of Bristol,67.6,67.0,90.0,61.0,17.5,8,439,8.0,61.0,免费评估
25,肯特大学University of Kent,67.4,92.0,91.0,74.0,14.5,5,339,7.0,60.0,免费评估
25,诺丁汉大学University of Nottingham,67.4,90.0,92.0,70.0,19.3,5,417,8.0,64.0,免费评估
27,爱丁堡大学The University of Edinburgh,67.3,82.0,88.0,49.0,16.5,10,443,7.0,56.0,免费评估
28,蒂赛德大学Teesside University,67.1,100.0,99.0,96.0,19.1,3,249,4.0,,免费评估
29,格罗斯特大学University of Gloucestershire,66.6,80.0,88.0,82.0,13.2,7,255,6.0,,免费评估
30,布鲁内尔大学Brunel University,66.5,77.0,82.0,63.0,16.5,10,313,8.0,,免费评估
31,莱斯特大学University of Leicester,66.0,94.0,95.0,78.0,19.2,4,360,7.0,53.0,免费评估
31,南安普顿大学University of Southampton,66.0,90.0,92.0,71.0,20.7,4,390,8.0,60.0,免费评估
33,赫尔大学The University of Hull,65.7,93.0,95.0,81.0,16.6,3,325,6.0,56.0,免费评估
34,阿伯丁大学University of Aberdeen,65.6,88.0,92.0,71.0,,5,343,5.0,68.0,免费评估
35,斯塔福德郡大学Staffordshire University,65.4,86.0,92.0,80.0,14.8,7,210,,,免费评估
36,哈德斯菲尔德大学University of Huddersfield,65.0,99.0,98.0,81.0,16.6,5,280,4.0,49.0,免费评估
37,伯明翰大学University of Birmingham,64.7,85.0,87.0,75.0,20.0,7,398,6.0,51.0,免费评估
38,威斯敏斯特大学University of Westminster,64.6,83.0,84.0,75.0,15.2,5,250,9.0,,免费评估
