Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,剑桥大学University of Cambridge,100.0,93.0,88.0,69.0,11.7,9,565.0,4.0,86.0,免费评估
2,牛津大学University of Oxford,99.2,89.0,84.0,66.0,9.8,10,543.0,4.0,90.0,免费评估
3,伯恩茅斯大学Bournemouth University,94.6,,,,11.7,8,274.0,10.0,83.0,免费评估
4,帝国理工学院Imperial College London,90.9,81.0,85.0,51.0,9.8,10,485.0,4.0,,免费评估
5,莱斯特大学University of Leicester,83.7,89.0,85.0,79.0,11.0,6,349.0,4.0,74.0,免费评估
6,布鲁内尔大学Brunel University,80.4,90.0,87.0,69.0,12.6,3,364.0,8.0,69.0,免费评估
7,华威大学The University of Warwick,79.0,83.0,79.0,58.0,10.8,9,402.0,4.0,82.0,免费评估
8,埃克塞特大学University of Exeter,74.5,95.0,89.0,59.0,14.6,4,353.0,7.0,73.0,免费评估
9,杜伦大学Durham University,72.7,89.0,81.0,44.0,14.0,4,499.0,,,免费评估
10,兰卡斯特大学Lancaster University,69.3,85.0,84.0,57.0,10.5,6,330.0,,,免费评估
11,龙比亚大学Napier University,66.5,86.0,84.0,68.0,13.6,3,249.0,9.0,73.0,免费评估
12,布莱顿大学University of Brighton,62.9,84.0,76.0,71.0,16.1,3,254.0,4.0,,免费评估
13,布拉德福德大学University of Bradford,61.7,85.0,76.0,58.0,13.7,7,235.0,,,免费评估
14,赫尔大学The University of Hull,60.4,80.0,80.0,64.0,15.4,6,230.0,5.0,,免费评估
15,阿伯丁大学University of Aberdeen,54.3,85.0,79.0,53.0,,4,326.0,4.0,83.0,免费评估
16,斯旺西大学Swansea University,53.6,91.0,81.0,51.0,12.5,4,224.0,,,免费评估
17,中央兰开夏大学University of Central Lancashire,49.3,84.0,89.0,65.0,19.2,4,,2.0,,免费评估
17,利物浦约翰摩尔斯大学Liverpool John Moores University,49.3,80.0,72.0,51.0,14.1,5,208.0,,,免费评估
19,谢菲尔德哈莱姆大学Sheffield Hallam University,48.3,82.0,75.0,61.0,22.7,3,199.0,10.0,60.0,免费评估
20,伯明翰城市大学Birmingham City University,47.1,72.0,72.0,63.0,12.7,4,158.0,3.0,,免费评估
21,伯明翰大学University of Birmingham,46.7,81.0,73.0,56.0,20.5,6,,5.0,,免费评估
22,格林威治大学The University of Greenwich,42.3,85.0,83.0,73.0,30.9,3,172.0,7.0,,免费评估
23,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,33.0,84.0,77.0,62.0,19.8,3,293.0,4.0,42.0,免费评估
