Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,南安普顿大学University of Southampton,100.0,90,89,59,7.2,7,436.0,5.0,83.0,免费评估
2,诺丁汉大学University of Nottingham,97.9,93,89,60,13.3,10,379.0,5.0,78.0,免费评估
3,帝国理工学院Imperial College London,97.3,83,72,52,16.7,10,509.0,4.0,85.0,免费评估
4,伯明翰大学University of Birmingham,95.7,90,81,75,20.0,7,392.0,7.0,81.0,免费评估
5,拉夫堡大学Loughborough University,95.4,91,89,72,14.4,7,382.0,4.0,83.0,免费评估
6,格拉斯哥大学University of Glasgow,93.1,84,86,79,15.7,7,374.0,5.0,73.0,免费评估
7,纽卡斯尔大学Newcastle University,91.8,98,88,56,17.8,6,384.0,4.0,91.0,免费评估
8,谢菲尔德大学The University of Sheffield,91.7,91,86,55,18.4,7,390.0,6.0,87.0,免费评估
9,兰卡斯特大学Lancaster University,90.9,85,87,60,10.5,8,363.0,2.0,,免费评估
10,巴斯大学University of Bath,89.4,92,90,54,18.0,5,465.0,4.0,75.0,免费评估
11,卡迪夫大学Cardiff University,89.3,91,84,61,15.6,7,385.0,3.0,80.0,免费评估
11,西英格兰大学University of the West of England,89.3,83,86,58,15.1,2,297.0,10.0,82.0,免费评估
13,邓迪大学University of Dundee,88.7,78,79,54,10.6,6,332.0,,,免费评估
14,思克莱德大学University of Strathclyde,88.1,79,77,50,15.4,6,405.0,7.0,79.0,免费评估
15,布里斯托大学University of Bristol,87.9,88,85,44,14.3,4,467.0,4.0,83.0,免费评估
16,伦敦大学学院University College London,87.8,88,79,59,15.0,8,410.0,4.0,69.0,免费评估
17,伦敦大学玛丽女王学院Queen Mary University of London,86.4,93,87,73,16.0,5,319.0,3.0,75.0,免费评估
17,英国女王大学Queen's University Belfast,86.4,81,79,58,14.3,6,361.0,7.0,73.0,免费评估
17,萨塞克斯大学University of Sussex,86.4,82,75,69,13.4,5,333.0,7.0,,免费评估
20,普利茅斯大学University of Plymouth,86.2,90,86,59,13.7,8,244.0,9.0,55.0,免费评估
21,利兹大学University of Leeds,86.0,83,83,49,17.5,9,375.0,5.0,69.0,免费评估
22,罗伯特高登大学The Robert Gordon University,84.9,89,84,75,15.4,8,303.0,2.0,,免费评估
23,德蒙福特大学De Montfort University,84.6,79,79,66,10.6,6,215.0,,,免费评估
24,伯明翰城市大学Birmingham City University,84.2,76,79,71,12.7,4,244.0,5.0,,免费评估
25,曼彻斯特大学The University of Manchester,83.9,68,70,43,16.2,10,424.0,3.0,74.0,免费评估
26,斯旺西大学Swansea University,82.8,86,82,56,12.5,5,290.0,4.0,79.0,免费评估
27,布鲁内尔大学Brunel University,82.0,77,67,54,12.1,5,341.0,5.0,74.0,免费评估
28,桑德兰大学University of Sunderland,81.9,68,51,72,18.8,7,197.0,10.0,,免费评估
29,金斯顿大学Kingston University,81.1,73,71,59,19.0,8,211.0,9.0,71.0,免费评估
30,伦敦城市大学City University London,80.1,78,85,56,17.2,7,294.0,4.0,,免费评估
31,爱丁堡大学The University of Edinburgh,79.6,87,78,36,23.7,7,412.0,5.0,72.0,免费评估
32,蒂赛德大学Teesside University,79.4,78,77,66,21.0,7,253.0,,,免费评估
33,利物浦大学The University of Liverpool,78.4,73,68,42,20.3,8,380.0,3.0,81.0,免费评估
34,朴茨茅斯大学University of Portsmouth,76.5,85,83,64,24.5,4,240.0,9.0,61.0,免费评估
35,布拉德福德大学University of Bradford,76.4,87,78,58,16.4,3,246.0,4.0,,免费评估
35,赫瑞瓦特大学Heriot Watt University,76.4,77,73,40,14.1,6,355.0,2.0,78.0,免费评估
37,赫特福德大学University of Hertfordshire,76.0,69,78,48,21.3,4,240.0,10.0,69.0,免费评估
38,格林威治大学The University of Greenwich,74.0,94,86,75,30.9,3,209.0,9.0,,免费评估
39,曼彻斯特城市大学Manchester Metropolitan University,73.8,65,73,61,18.6,3,212.0,8.0,73.0,免费评估
40,诺桑比亚大学Northumbria University,73.5,59,78,52,18.2,4,241.0,8.0,,免费评估
41,阿斯顿大学Aston University,73.0,65,74,42,16.5,7,323.0,5.0,58.0,免费评估
42,谢菲尔德哈莱姆大学Sheffield Hallam University,70.7,66,68,56,20.7,3,219.0,8.0,66.0,免费评估
43,斯塔福德郡大学Staffordshire University,70.5,63,79,56,20.9,3,229.0,5.0,69.0,免费评估
44,考文垂大学Coventry University,69.8,60,67,54,17.1,3,274.0,9.0,55.0,免费评估
45,阿尔斯特大学University of Ulster,69.3,78,69,52,16.7,4,231.0,2.0,78.0,免费评估
46,牛津布鲁克斯大学Oxford Brookes University,68.3,72,76,46,36.6,4,284.0,8.0,76.0,免费评估
47,利物浦约翰摩尔斯大学Liverpool John Moores University,67.5,79,73,55,16.8,2,238.0,6.0,53.0,免费评估
48,索尔福德大学University of Salford,67.1,84,84,46,19.2,3,248.0,4.0,53.0,免费评估
49,哈德斯菲尔德大学University of Huddersfield,67.0,45,68,38,24.4,2,236.0,7.0,85.0,免费评估
50,格拉摩根大学University of Glamorgan,65.0,62,67,65,23.9,3,,2.0,,免费评估
51,波尔顿大学University of Bolton,64.9,74,77,68,22.9,2,159.0,7.0,,免费评估
52,南安普顿索伦特大学Southampton Solent University,56.3,66,70,43,36.2,4,268.0,5.0,,免费评估
53,伦敦南岸大学London South Bank University,40.2,37,59,46,22.8,1,215.0,2.0,38.0,免费评估
