Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,牛津大学University of Oxford,100.0,95.0,96.0,71.0,13.2,10.0,514.0,7.0,68.0,免费评估
2,伦敦大学学院University College London,98.4,86.0,96.0,81.0,10.9,9.0,481.0,8.0,85.0,免费评估
3,剑桥大学University of Cambridge,91.1,93.0,94.0,73.0,13.6,10.0,512.0,7.0,67.0,免费评估
4,圣安德鲁斯大学University of St Andrews,85.1,96.0,97.0,87.0,12.6,7.0,467.0,7.0,65.0,免费评估
5,华威大学The University of Warwick,81.4,90.0,95.0,71.0,13.3,8.0,460.0,6.0,67.0,免费评估
6,白金汉大学The University of Buckingham,80.1,93.0,93.0,87.0,5.7,6.0,,2.0,,免费评估
7,杜伦大学Durham University,79.7,89.0,95.0,79.0,15.5,4.0,506.0,7.0,68.0,免费评估
8,埃克塞特大学University of Exeter,74.8,90.0,97.0,78.0,16.3,5.0,427.0,8.0,62.0,免费评估
9,爱丁堡大学The University of Edinburgh,73.9,93.0,94.0,54.0,16.5,10.0,446.0,7.0,64.0,免费评估
10,伦敦国王学院King's College London,72.1,83.0,93.0,58.0,11.6,8.0,442.0,8.0,57.0,免费评估
11,约克大学The University of York,71.5,84.0,93.0,63.0,18.8,6.0,470.0,7.0,73.0,免费评估
12,阿伯丁大学University of Aberdeen,71.3,91.0,93.0,79.0,,5.0,339.0,9.0,66.0,免费评估
13,伦敦大学玛丽女王学院Queen Mary University of London,71.1,95.0,94.0,75.0,19.9,8.0,373.0,8.0,52.0,免费评估
14,利兹大学University of Leeds,69.6,90.0,94.0,71.0,18.5,6.0,438.0,7.0,58.0,免费评估
15,利物浦大学The University of Liverpool,69.5,87.0,93.0,64.0,17.6,8.0,431.0,8.0,58.0,免费评估
16,格拉斯哥大学University of Glasgow,69.4,90.0,94.0,74.0,16.5,7.0,395.0,7.0,56.0,免费评估
17,埃塞克斯大学University of Essex,69.1,87.0,95.0,77.0,9.8,9.0,313.0,4.0,50.0,免费评估
18,东英吉利大学University of East Anglia,68.8,90.0,93.0,68.0,19.2,8.0,403.0,7.0,55.0,免费评估
19,布里斯托大学University of Bristol,68.2,79.0,89.0,62.0,17.5,8.0,462.0,8.0,64.0,免费评估
20,布鲁内尔大学Brunel University,68.1,81.0,83.0,73.0,16.5,10.0,303.0,7.0,68.0,免费评估
21,肯特大学University of Kent,68.0,89.0,90.0,75.0,14.5,5.0,336.0,8.0,60.0,免费评估
22,萨塞克斯大学University of Sussex,67.8,88.0,90.0,62.0,18.0,5.0,402.0,8.0,68.0,免费评估
23,莱斯特大学University of Leicester,67.4,96.0,95.0,79.0,19.2,4.0,381.0,5.0,60.0,免费评估
24,兰卡斯特大学Lancaster University,66.9,94.0,91.0,71.0,16.6,4.0,405.0,5.0,69.0,免费评估
25,桑德兰大学University of Sunderland,66.2,97.0,96.0,83.0,15.6,3.0,231.0,9.0,52.0,免费评估
26,拉夫堡大学Loughborough University,65.9,96.0,94.0,79.0,20.0,4.0,369.0,6.0,62.0,免费评估
27,邓迪大学University of Dundee,65.7,91.0,92.0,73.0,18.6,6.0,352.0,9.0,42.0,免费评估
28,奇切斯特大学University of Chichester,65.6,94.0,93.0,84.0,13.5,5.0,284.0,6.0,42.0,免费评估
29,斯特林大学University of Stirling,65.1,90.0,94.0,82.0,17.4,4.0,313.0,8.0,51.0,免费评估
30,南安普顿大学University of Southampton,64.7,94.0,94.0,75.0,20.7,5.0,418.0,7.0,52.0,免费评估
31,哈德斯菲尔德大学University of Huddersfield,64.1,86.0,89.0,73.0,16.6,6.0,297.0,7.0,63.0,免费评估
32,诺丁汉大学University of Nottingham,63.0,87.0,93.0,62.0,19.3,5.0,446.0,6.0,63.0,免费评估
33,剑桥安鲁大学Anglia Ruskin University,62.5,78.0,85.0,71.0,18.2,10.0,273.0,5.0,48.0,免费评估
34,谢菲尔德大学The University of Sheffield,62.4,91.0,94.0,66.0,19.1,5.0,436.0,6.0,57.0,免费评估
35,伦敦大学皇家霍洛威学院Royal Holloway University of London,62.2,89.0,93.0,61.0,15.0,6.0,414.0,5.0,51.0,免费评估
36,赫尔大学The University of Hull,61.8,92.0,95.0,71.0,16.6,3.0,319.0,7.0,61.0,免费评估
37,赫特福德大学University of Hertfordshire,60.4,86.0,93.0,66.0,14.3,6.0,265.0,9.0,48.0,免费评估
38,北安普顿大学The University of Northampton,60.1,77.0,85.0,78.0,14.4,4.0,263.0,9.0,,免费评估
39,林肯大学University of Lincoln,59.7,94.0,90.0,81.0,24.6,3.0,288.0,9.0,60.0,免费评估
40,诺丁汉特伦特大学Nottingham Trent University,59.1,86.0,89.0,74.0,15.5,6.0,278.0,3.0,63.0,免费评估
41,切斯特大学University of Chester,58.7,96.0,96.0,86.0,20.7,3.0,295.0,4.0,48.0,免费评估
42,亚伯大学Aberystwyth University,58.4,88.0,91.0,75.0,13.5,3.0,311.0,7.0,49.0,免费评估
43,卡迪夫大学Cardiff University,58.0,87.0,93.0,61.0,21.2,7.0,423.0,5.0,51.0,免费评估
44,蒂赛德大学Teesside University,57.5,86.0,90.0,85.0,19.1,3.0,235.0,3.0,,免费评估
45,格罗斯特大学University of Gloucestershire,57.4,87.0,88.0,70.0,13.2,7.0,258.0,8.0,34.0,免费评估
46,基尔大学Keele University,57.2,85.0,87.0,69.0,17.3,4.0,314.0,7.0,52.0,免费评估
47,诺桑比亚大学Northumbria University,57.0,88.0,90.0,78.0,23.0,7.0,318.0,7.0,52.0,免费评估
48,思克莱德大学University of Strathclyde,56.7,89.0,90.0,72.0,26.5,6.0,362.0,8.0,57.0,免费评估
49,罗汉普顿大学Roehampton University,56.6,86.0,91.0,72.0,16.0,4.0,284.0,7.0,48.0,免费评估
50,纽卡斯尔大学Newcastle University,56.5,79.0,90.0,65.0,24.2,5.0,444.0,4.0,59.0,免费评估
51,牛津布鲁克斯大学Oxford Brookes University,56.4,96.0,93.0,68.0,14.1,5.0,325.0,6.0,41.0,免费评估
51,雷丁大学University of Reading,56.4,93.0,94.0,66.0,17.9,4.0,362.0,5.0,48.0,免费评估
