Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,牛津大学University of Oxford,100.0,70,91,52,13.7,10.0,513.0,6.0,,免费评估
2,普利茅斯大学University of Plymouth,93.5,95,99,90,12.5,7.0,311.0,9.0,77.0,免费评估
3,萨塞克斯大学University of Sussex,92.4,98,95,64,11.0,8.0,365.0,8.0,72.0,免费评估
4,布里斯托大学University of Bristol,90.5,86,89,68,8.6,8.0,416.0,4.0,82.0,免费评估
5,布鲁内尔大学Brunel University,85.8,96,96,76,13.0,3.0,349.0,8.0,76.0,免费评估
5,卡迪夫大学Cardiff University,85.8,97,95,52,12.3,9.0,400.0,3.0,89.0,免费评估
7,利物浦大学The University of Liverpool,82.5,88,89,64,9.6,9.0,376.0,3.0,76.0,免费评估
8,阿斯顿大学Aston University,81.4,86,87,76,15.5,6.0,402.0,2.0,96.0,免费评估
9,德蒙福特大学De Montfort University,80.4,93,95,61,13.4,5.0,299.0,8.0,94.0,免费评估
10,曼彻斯特大学The University of Manchester,79.7,86,90,49,8.0,8.0,418.0,1.0,83.0,免费评估
11,纽卡斯尔大学Newcastle University,79.4,98,96,76,19.1,5.0,409.0,7.0,80.0,免费评估
12,伦敦大学学院University College London,79.3,85,82,54,,,417.0,5.0,84.0,免费评估
13,剑桥安鲁大学Anglia Ruskin University,78.7,91,91,76,,6.0,310.0,8.0,80.0,免费评估
14,贝德福德大学University of Bedfordshire,77.0,87,94,69,14.7,3.0,,,95.0,免费评估
15,伯明翰大学University of Birmingham,76.0,91,93,55,12.4,5.0,417.0,5.0,79.0,免费评估
16,格拉摩根大学University of Glamorgan,75.6,90,90,83,,4.0,348.0,,97.0,免费评估
17,布拉德福德大学University of Bradford,74.9,95,90,68,13.8,5.0,375.0,2.0,92.0,免费评估
18,东英吉利大学University of East Anglia,73.5,96,97,55,,,364.0,7.0,94.0,免费评估
19,赫特福德大学University of Hertfordshire,70.9,89,92,64,14.0,5.0,258.0,9.0,90.0,免费评估
20,罗伯特高登大学The Robert Gordon University,69.2,94,92,77,17.6,3.0,400.0,9.0,,免费评估
21,诺丁汉大学University of Nottingham,68.1,86,95,62,15.0,8.0,380.0,4.0,68.0,免费评估
22,"St Mary's UC, Twickenham",67.0,97,95,70,16.9,3.0,291.0,9.0,74.0,免费评估
23,阿伯丁大学University of Aberdeen,63.9,91,87,63,,3.0,341.0,8.0,78.0,免费评估
24,利兹大学University of Leeds,63.6,92,90,62,14.2,8.0,391.0,4.0,57.0,免费评估
25,哥比亚大学University of Cumbria,61.1,91,91,62,18.6,4.0,296.0,5.0,96.0,免费评估
26,曼彻斯特城市大学Manchester Metropolitan University,59.2,82,84,61,14.5,3.0,359.0,7.0,,免费评估
27,伦敦国王学院King's College London,58.8,92,89,53,17.7,8.0,387.0,3.0,67.0,免费评估
28,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,58.7,90,83,50,16.6,5.0,389.0,3.0,87.0,免费评估
29,伦敦城市大学City University London,56.3,76,84,42,16.1,4.0,370.0,2.0,98.0,免费评估
30,谢菲尔德哈莱姆大学Sheffield Hallam University,55.9,83,94,44,13.0,4.0,339.0,6.0,74.0,免费评估
31,阿尔斯特大学University of Ulster,55.4,90,90,61,13.3,3.0,352.0,3.0,69.0,免费评估
32,英国女王大学Queen's University Belfast,50.0,91,90,47,16.0,2.0,352.0,7.0,76.0,免费评估
33,伯明翰城市大学Birmingham City University,49.5,86,95,58,18.7,3.0,349.0,2.0,80.0,免费评估
34,北安普顿大学The University of Northampton,36.0,70,80,64,18.7,2.0,234.0,,,免费评估
