Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
0,,64.3,73.0,84.0,74.0,23.9,5,272.0,3,,免费评估
0,,71.5,96.0,88.0,62.0,26.5,4,332.0,6,70.0,免费评估
1,帝国理工学院Imperial College London,100.0,95.0,86.0,57.0,14.8,10,520.0,2,88.0,免费评估
2,邓迪大学University of Dundee,99.4,83.0,85.0,60.0,15.4,10,358.0,9,,免费评估
3,谢菲尔德大学The University of Sheffield,93.8,91.0,81.0,65.0,13.9,7,445.0,7,88.0,免费评估
4,拉夫堡大学Loughborough University,90.1,94.0,89.0,73.0,21.0,5,413.0,6,87.0,免费评估
5,诺丁汉大学University of Nottingham,86.7,91.0,88.0,60.0,15.3,9,392.0,4,72.0,免费评估
6,萨里大学University of Surrey,86.0,91.0,80.0,63.0,18.1,8,398.0,5,,免费评估
7,爱丁堡大学The University of Edinburgh,85.5,80.0,78.0,49.0,21.5,9,444.0,9,73.0,免费评估
8,伦敦大学学院University College London,85.0,80.0,67.0,45.0,10.2,9,454.0,6,,免费评估
9,布里斯托大学University of Bristol,83.3,81.0,83.0,46.0,15.8,6,493.0,4,85.0,免费评估
10,南安普顿大学University of Southampton,82.6,80.0,77.0,48.0,20.7,8,482.0,7,81.0,免费评估
11,巴斯大学University of Bath,80.0,97.0,96.0,62.0,23.9,4,471.0,4,69.0,免费评估
12,伯明翰大学University of Birmingham,76.6,79.0,68.0,49.0,19.7,9,398.0,5,71.0,免费评估
13,格林威治大学The University of Greenwich,76.4,96.0,88.0,81.0,16.5,4,214.0,5,,免费评估
14,斯旺西大学Swansea University,76.0,92.0,86.0,53.0,15.9,6,332.0,4,79.0,免费评估
15,卡迪夫大学Cardiff University,75.1,89.0,83.0,55.0,25.9,5,414.0,7,78.0,免费评估
16,利兹大学University of Leeds,74.9,87.0,79.0,50.0,27.3,6,404.0,9,73.0,免费评估
17,纽卡斯尔大学Newcastle University,74.1,75.0,84.0,48.0,13.4,6,399.0,3,75.0,免费评估
18,赫瑞瓦特大学Heriot Watt University,71.5,,,,9.1,2,224.0,8,,免费评估
20,东伦敦大学University of East London,70.9,87.0,85.0,63.0,,6,240.0,10,52.0,免费评估
21,考文垂大学Coventry University,67.8,78.0,71.0,54.0,13.1,3,303.0,10,55.0,免费评估
22,索尔福德大学University of Salford,67.2,88.0,83.0,76.0,,2,279.0,6,,免费评估
23,格拉斯哥大学University of Glasgow,66.4,80.0,79.0,54.0,24.9,7,358.0,4,73.0,免费评估
24,蒂赛德大学Teesside University,64.3,86.0,84.0,52.0,23.9,3,293.0,5,76.0,免费评估
26,诺丁汉特伦特大学Nottingham Trent University,64.0,88.0,82.0,70.0,22.5,3,285.0,3,74.0,免费评估
27,英国女王大学Queen's University Belfast,63.7,65.0,60.0,44.0,22.5,7,364.0,7,76.0,免费评估
28,伦敦城市大学City University London,63.5,87.0,82.0,65.0,32.0,6,321.0,3,72.0,免费评估
29,龙比亚大学Napier University,62.6,76.0,76.0,60.0,21.1,3,278.0,6,,免费评估
30,朴茨茅斯大学University of Portsmouth,62.4,89.0,89.0,67.0,24.6,4,267.0,2,77.0,免费评估
31,利物浦大学The University of Liverpool,61.7,69.0,50.0,52.0,25.2,8,381.0,7,65.0,免费评估
32,布拉德福德大学University of Bradford,59.9,90.0,81.0,57.0,18.3,3,277.0,2,,免费评估
33,思克莱德大学University of Strathclyde,57.6,79.0,63.0,52.0,21.2,5,389.0,3,64.0,免费评估
34,布莱顿大学University of Brighton,56.8,79.0,75.0,50.0,23.6,3,277.0,5,,免费评估
35,阿尔斯特大学University of Ulster,53.1,85.0,80.0,47.0,14.5,3,233.0,4,,免费评估
36,利物浦约翰摩尔斯大学Liverpool John Moores University,49.2,79.0,73.0,43.0,33.4,4,249.0,9,,免费评估
37,格拉摩根大学University of Glamorgan,45.2,54.0,62.0,52.0,33.0,3,,7,,免费评估
38,金斯顿大学Kingston University,45.0,73.0,71.0,52.0,27.3,3,204.0,8,44.0,免费评估
39,伦敦南岸大学London South Bank University,41.4,54.0,64.0,51.0,,2,179.0,5,,免费评估
40,曼彻斯特大学The University of Manchester,35.7,57.0,62.0,42.0,36.7,4,418.0,1,66.0,免费评估
41,Leeds Met,34.7,58.0,66.0,31.0,28.9,3,264.0,3,,免费评估
