Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,萨里大学University of Surrey,100.0,85,86,59,21.0,10,334,7.0,60.0,免费评估
2,阿尔斯特大学University of Ulster,88.3,96,90,84,16.9,6,226,10.0,33.0,免费评估
3,哈德斯菲尔德大学University of Huddersfield,79.8,84,88,79,22.9,7,227,7.0,56.0,免费评估
4,桑德兰大学University of Sunderland,78.2,80,77,67,20.0,10,192,,,免费评估
5,伯恩茅斯大学Bournemouth University,75.8,70,73,67,26.1,9,298,7.0,54.0,免费评估
6,中央兰开夏大学University of Central Lancashire,75.6,84,80,82,20.7,9,241,3.0,55.0,免费评估
7,普利茅斯大学University of Plymouth,74.7,74,69,54,18.7,9,265,6.0,50.0,免费评估
8,威斯敏斯特大学University of Westminster,74.6,88,87,76,19.8,4,240,5.0,,免费评估
9,罗伯特高登大学The Robert Gordon University,72.8,79,78,62,23.7,4,249,9.0,58.0,免费评估
10,牛津布鲁克斯大学Oxford Brookes University,70.5,86,86,68,26.7,4,300,5.0,42.0,免费评估
11,"Arts UC, Bournemouth",69.1,84,89,63,31.0,4,279,9.0,,免费评估
12,波尔顿大学University of Bolton,68.2,89,93,89,33.4,3,258,,,免费评估
13,格罗斯特大学University of Gloucestershire,67.4,78,76,60,25.7,4,229,8.0,63.0,免费评估
14,格林威治大学The University of Greenwich,65.5,89,87,74,28.7,4,214,7.0,47.0,免费评估
15,龙比亚大学Napier University,65.4,69,70,59,27.5,5,281,9.0,,免费评估
16,巴斯斯巴大学Bath Spa University,64.0,86,82,68,27.0,4,274,,,免费评估
17,德比大学University of Derby,61.4,77,70,66,21.4,7,211,5.0,,免费评估
18,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,61.1,77,79,61,22.1,5,281,4.0,36.0,免费评估
19,谢菲尔德哈莱姆大学Sheffield Hallam University,60.9,80,80,64,27.4,4,278,7.0,38.0,免费评估
20,布莱顿大学University of Brighton,58.7,74,74,63,21.1,6,253,5.0,30.0,免费评估
21,林肯大学University of Lincoln,58.6,94,89,83,25.2,3,224,3.0,,免费评估
22,Leeds Met,57.0,76,75,58,28.0,4,273,5.0,48.0,免费评估
23,曼彻斯特城市大学Manchester Metropolitan University,56.9,58,67,53,18.4,6,252,4.0,48.0,免费评估
24,赫特福德大学University of Hertfordshire,55.7,83,83,77,27.3,4,248,7.0,25.0,免费评估
25,伯明翰大学学院University College Birmingham,55.5,81,76,69,19.9,2,216,3.0,52.0,免费评估
26,朴茨茅斯大学University of Portsmouth,52.2,85,81,65,25.2,5,232,4.0,,免费评估
27,西伦敦大学University of West London,51.9,75,78,62,17.6,7,184,3.0,32.0,免费评估
28,北安普顿大学The University of Northampton,49.3,85,86,73,39.1,4,255,,,免费评估
29,坎特伯雷大学Canterbury Christ Church University,43.5,76,78,63,27.3,4,206,3.0,,免费评估
30,贝德福德大学University of Bedfordshire,41.2,72,78,68,24.1,4,147,3.0,,免费评估
31,"St Mary's UC, Twickenham",37.1,85,77,82,37.1,3,160,,,免费评估
32,索尔福德大学University of Salford,36.7,72,71,66,27.4,4,204,3.0,29.0,免费评估
33,伦敦都市大学London Metropolitan University,31.1,72,57,49,27.2,5,238,6.0,42.0,免费评估
