Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,剑桥大学University of Cambridge,100.0,90.0,90.0,74.0,10.7,10.0,593,6.0,81.0,免费评估
2,牛津大学University of Oxford,91.2,95.0,93.0,68.0,10.4,,522,7.0,77.0,免费评估
3,约克大学The University of York,89.5,93.0,94.0,80.0,11.0,10.0,430,4.0,65.0,免费评估
4,莱斯特大学University of Leicester,89.2,92.0,93.0,70.0,7.8,10.0,434,7.0,68.0,免费评估
5,圣安德鲁斯大学University of St Andrews,87.3,87.0,96.0,57.0,10.1,9.0,452,8.0,72.0,免费评估
6,谢菲尔德大学The University of Sheffield,81.6,96.0,95.0,67.0,14.4,7.0,464,7.0,69.0,免费评估
7,伦敦大学学院University College London,80.3,88.0,88.0,52.0,13.4,9.0,466,7.0,70.0,免费评估
8,萨塞克斯大学University of Sussex,80.2,91.0,98.0,65.0,12.5,6.0,384,7.0,67.0,免费评估
9,阿尔斯特大学University of Ulster,79.9,93.0,84.0,63.0,7.5,8.0,318,9.0,57.0,免费评估
10,布里斯托大学University of Bristol,79.7,92.0,92.0,67.0,11.1,7.0,472,6.0,60.0,免费评估
11,格罗斯特大学University of Gloucestershire,78.4,85.0,96.0,88.0,8.4,3.0,273,,,免费评估
12,曼彻斯特大学The University of Manchester,78.1,91.0,92.0,56.0,14.0,10.0,437,6.0,63.0,免费评估
13,卡迪夫大学Cardiff University,77.8,92.0,93.0,53.0,11.1,9.0,416,6.0,63.0,免费评估
14,东英吉利大学University of East Anglia,77.2,96.0,96.0,75.0,14.0,6.0,375,6.0,63.0,免费评估
15,巴斯大学University of Bath,77.0,92.0,91.0,57.0,13.8,6.0,462,8.0,66.0,免费评估
16,利物浦大学The University of Liverpool,76.6,94.0,88.0,64.0,12.9,8.0,405,5.0,64.0,免费评估
17,拉夫堡大学Loughborough University,76.2,96.0,96.0,79.0,24.2,5.0,394,5.0,71.0,免费评估
18,纽卡斯尔大学Newcastle University,75.5,89.0,89.0,68.0,17.5,7.0,401,7.0,70.0,免费评估
18,萨里大学University of Surrey,75.5,88.0,89.0,51.0,14.7,9.0,396,5.0,83.0,免费评估
20,帝国理工学院Imperial College London,75.2,80.0,82.0,48.0,12.5,7.0,492,5.0,77.0,免费评估
21,华威大学The University of Warwick,74.1,87.0,87.0,48.0,10.1,10.0,435,4.0,58.0,免费评估
22,爱丁堡大学The University of Edinburgh,73.9,93.0,92.0,44.0,17.6,10.0,437,7.0,62.0,免费评估
23,林肯大学University of Lincoln,73.0,94.0,89.0,75.0,10.9,5.0,265,,,免费评估
24,桑德兰大学University of Sunderland,72.9,87.0,89.0,77.0,14.3,7.0,161,10.0,,免费评估
25,埃克塞特大学University of Exeter,72.5,89.0,91.0,68.0,16.8,6.0,408,7.0,59.0,免费评估
26,肯特大学University of Kent,72.0,94.0,91.0,48.0,12.2,6.0,346,5.0,73.0,免费评估
27,格拉斯哥大学University of Glasgow,71.5,97.0,96.0,67.0,16.4,8.0,393,3.0,55.0,免费评估
28,邓迪大学University of Dundee,71.2,97.0,95.0,65.0,16.1,8.0,385,3.0,57.0,免费评估
29,杜伦大学Durham University,71.1,85.0,87.0,58.0,14.6,5.0,451,3.0,76.0,免费评估
30,兰卡斯特大学Lancaster University,70.9,90.0,90.0,62.0,13.6,7.0,398,2.0,74.0,免费评估
31,皇家兽医学院Royal Veterinary College,70.6,97.0,95.0,60.0,,8.0,372,5.0,58.0,免费评估
32,阿伯丁大学University of Aberdeen,70.2,92.0,91.0,60.0,10.2,6.0,317,8.0,51.0,免费评估
33,雷丁大学University of Reading,69.5,91.0,89.0,57.0,22.0,8.0,359,7.0,71.0,免费评估
34,利兹大学University of Leeds,69.2,87.0,87.0,52.0,14.9,8.0,384,4.0,67.0,免费评估
35,朴茨茅斯大学University of Portsmouth,69.1,93.0,93.0,76.0,17.1,8.0,290,4.0,55.0,免费评估
35,玛格丽特女王大学Queen Margaret University,69.1,,,,16.6,2.0,331,10.0,56.0,免费评估
37,诺丁汉大学University of Nottingham,68.7,85.0,88.0,61.0,15.6,7.0,398,3.0,68.0,免费评估
38,诺丁汉特伦特大学Nottingham Trent University,68.6,96.0,90.0,72.0,13.0,3.0,253,7.0,,免费评估
39,伦敦国王学院King's College London,67.5,93.0,87.0,52.0,23.9,7.0,420,5.0,73.0,免费评估
40,伯明翰大学University of Birmingham,67.3,92.0,93.0,65.0,19.3,8.0,412,2.0,57.0,免费评估
41,斯塔福德郡大学Staffordshire University,67.2,96.0,94.0,80.0,16.6,4.0,219,4.0,,免费评估
42,普利茅斯大学University of Plymouth,66.5,88.0,92.0,69.0,18.3,4.0,331,7.0,58.0,免费评估
43,基尔大学Keele University,65.7,95.0,88.0,76.0,17.0,3.0,280,7.0,53.0,免费评估
44,米德塞斯大学Middlesex University,65.4,80.0,87.0,80.0,16.7,6.0,159,,,免费评估
45,伦敦大学玛丽女王学院Queen Mary University of London,65.1,83.0,84.0,55.0,17.2,7.0,385,2.0,69.0,免费评估
