Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
0,,90.4,89,76,64,10.9,9,428.0,8.0,,免费评估
0,,52.9,78,77,73,24.3,3,170.0,,,免费评估
1,南安普顿大学University of Southampton,100.0,94,84,67,9.4,10,435.0,5.0,91.0,免费评估
2,曼彻斯特大学The University of Manchester,96.6,98,96,89,11.8,8,393.0,4.0,80.0,免费评估
3,萨里大学University of Surrey,96.3,91,80,73,13.4,8,447.0,9.0,,免费评估
4,埃塞克斯大学University of Essex,90.8,92,87,80,5.9,4,,7.0,,免费评估
5,伦敦大学学院University College London,90.4,96,89,82,13.9,6,371.0,7.0,91.0,免费评估
7,阿斯顿大学Aston University,89.5,100,94,64,6.3,7,336.0,7.0,,免费评估
8,约克大学The University of York,88.2,90,94,80,12.0,6,366.0,6.0,,免费评估
9,爱丁堡大学The University of Edinburgh,86.6,94,86,53,10.0,10,399.0,5.0,,免费评估
10,利兹大学University of Leeds,84.6,85,80,66,13.0,7,403.0,8.0,,免费评估
11,格拉斯哥大学University of Glasgow,84.3,100,82,65,9.5,9,364.0,4.0,76.0,免费评估
12,肯特大学University of Kent,83.6,100,93,83,12.8,5,288.0,4.0,,免费评估
13,帝国理工学院Imperial College London,83.4,85,83,50,16.1,8,492.0,6.0,82.0,免费评估
14,拉夫堡大学Loughborough University,83.2,92,92,67,13.6,6,361.0,5.0,91.0,免费评估
15,布里斯托大学University of Bristol,82.5,91,88,61,11.5,6,423.0,5.0,85.0,免费评估
16,普利茅斯大学University of Plymouth,81.3,93,94,76,14.9,8,278.0,8.0,,免费评估
17,兰卡斯特大学Lancaster University,80.9,93,86,66,12.3,7,388.0,5.0,,免费评估
18,纽卡斯尔大学Newcastle University,78.5,96,84,72,16.0,7,366.0,4.0,,免费评估
19,思克莱德大学University of Strathclyde,76.9,88,84,61,11.0,8,396.0,3.0,62.0,免费评估
20,诺丁汉大学University of Nottingham,75.6,81,76,63,12.1,8,367.0,2.0,85.0,免费评估
21,罗伯特高登大学The Robert Gordon University,75.1,88,86,67,15.8,7,354.0,5.0,68.0,免费评估
22,英国女王大学Queen's University Belfast,75.0,82,84,57,11.5,7,375.0,4.0,76.0,免费评估
23,萨塞克斯大学University of Sussex,74.4,83,82,76,15.1,5,,7.0,,免费评估
24,巴斯大学University of Bath,71.9,76,78,51,13.4,5,429.0,3.0,81.0,免费评估
25,利物浦表演艺术学院The Liverpool Institute for Performing Arts,70.9,91,96,83,16.6,2,354.0,2.0,,免费评估
26,雷丁大学University of Reading,70.2,90,85,64,15.7,3,358.0,5.0,77.0,免费评估
27,布鲁内尔大学Brunel University,69.2,82,79,69,12.0,6,320.0,4.0,55.0,免费评估
28,利物浦大学The University of Liverpool,68.8,80,64,51,17.3,6,394.0,9.0,,免费评估
29,赫特福德大学University of Hertfordshire,68.3,85,80,66,,3,195.0,10.0,,免费评估
30,考文垂大学Coventry University,67.8,76,72,68,11.5,3,280.0,8.0,,免费评估
31,赫瑞瓦特大学Heriot Watt University,66.3,76,78,57,12.9,8,297.0,4.0,,免费评估
32,伯明翰大学University of Birmingham,66.2,75,73,59,14.9,8,382.0,2.0,56.0,免费评估
33,邓迪大学University of Dundee,64.5,84,83,58,14.2,5,272.0,,,免费评估
34,卡迪夫大学Cardiff University,64.4,84,79,60,12.9,5,357.0,2.0,,免费评估
35,牛津布鲁克斯大学Oxford Brookes University,63.1,64,74,45,11.2,4,264.0,9.0,60.0,免费评估
36,伦敦大学玛丽女王学院Queen Mary University of London,62.5,86,72,65,14.4,6,297.0,2.0,64.0,免费评估
37,斯旺西大学Swansea University,62.3,77,77,56,15.9,4,289.0,6.0,,免费评估
38,布拉德福德大学University of Bradford,62.1,82,79,62,15.2,3,251.0,8.0,,免费评估
39,哈德斯菲尔德大学University of Huddersfield,61.9,79,83,68,22.0,3,288.0,8.0,61.0,免费评估
40,西英格兰大学University of the West of England,61.8,76,81,55,18.7,3,259.0,10.0,60.0,免费评估
41,波尔顿大学University of Bolton,61.4,70,81,44,9.5,6,223.0,6.0,,免费评估
42,朴茨茅斯大学University of Portsmouth,60.4,90,88,65,19.5,3,213.0,7.0,58.0,免费评估
43,伦敦城市大学City University London,58.8,83,77,68,18.6,4,283.0,7.0,38.0,免费评估
44,东伦敦大学University of East London,58.5,89,89,62,22.8,4,,6.0,,免费评估
45,伦敦都市大学London Metropolitan University,55.9,76,80,61,19.0,2,168.0,10.0,,免费评估
46,伯明翰城市大学Birmingham City University,54.6,69,75,61,14.2,3,249.0,5.0,54.0,免费评估
47,德比大学University of Derby,54.5,82,75,56,23.3,3,258.0,8.0,68.0,免费评估
48,阿尔斯特大学University of Ulster,53.7,69,62,50,8.0,3,242.0,,,免费评估
49,格林威治大学The University of Greenwich,52.9,70,71,49,15.2,4,201.0,,,免费评估
51,利物浦约翰摩尔斯大学Liverpool John Moores University,52.3,67,68,56,18.5,3,262.0,8.0,,免费评估
52,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,51.6,70,74,59,13.4,3,248.0,6.0,37.0,免费评估
53,德蒙福特大学De Montfort University,51.4,82,82,59,12.2,4,271.0,1.0,44.0,免费评估
54,索尔福德大学University of Salford,51.3,86,84,62,20.2,3,240.0,3.0,56.0,免费评估
55,诺桑比亚大学Northumbria University,50.7,69,72,65,19.7,3,245.0,4.0,58.0,免费评估
56,谢菲尔德哈莱姆大学Sheffield Hallam University,48.6,71,75,67,21.5,3,238.0,5.0,46.0,免费评估
57,曼彻斯特城市大学Manchester Metropolitan University,48.5,68,72,67,18.5,3,263.0,4.0,46.0,免费评估
58,蒂赛德大学Teesside University,46.8,72,79,64,21.5,5,260.0,3.0,31.0,免费评估
59,威斯敏斯特大学University of Westminster,46.6,77,73,62,17.4,3,213.0,,,免费评估
60,格拉摩根大学University of Glamorgan,40.0,44,56,43,16.2,3,269.0,5.0,46.0,免费评估
61,南安普顿索伦特大学Southampton Solent University,39.8,58,71,57,25.0,3,250.0,,,免费评估
62,伦敦南岸大学London South Bank University,33.9,54,64,51,19.3,2,,1.0,,免费评估
