Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,伦敦政治经济学院The London School of Economics and Political Science,100.0,87,92,80,11.3,9.0,450,6.0,67.0,免费评估
2,牛津大学University of Oxford,96.1,93,94,68,11.1,,504,7.0,,免费评估
3,剑桥大学University of Cambridge,92.8,98,95,72,17.2,,521,5.0,,免费评估
4,伦敦大学学院University College London,91.2,96,97,63,17.7,9.0,457,8.0,63.0,免费评估
5,圣安德鲁斯大学University of St Andrews,88.2,89,97,64,19.1,9.0,454,8.0,,免费评估
6,英国女王大学Queen's University Belfast,81.6,85,95,72,19.0,5.0,384,,,免费评估
7,格拉斯哥大学University of Glasgow,81.5,85,94,70,19.1,6.0,434,,,免费评估
8,曼彻斯特大学The University of Manchester,77.8,92,97,73,19.1,6.0,383,5.0,54.0,免费评估
9,爱丁堡大学The University of Edinburgh,76.9,84,89,52,19.3,9.0,449,7.0,,免费评估
10,肯特大学University of Kent,73.3,85,90,51,14.2,5.0,343,7.0,60.0,免费评估
11,杜伦大学Durham University,72.1,86,88,52,19.1,7.0,420,3.0,61.0,免费评估
12,伦敦大学亚非学院SOAS University of London,71.5,72,82,51,13.1,7.0,421,3.0,,免费评估
13,伦敦大学金史密斯学院Goldsmiths University of London,68.7,89,95,61,18.8,2.0,331,9.0,42.0,免费评估
14,萨塞克斯大学University of Sussex,67.8,90,93,50,20.3,3.0,356,7.0,62.0,免费评估
15,阿伯丁大学University of Aberdeen,66.7,92,93,71,26.8,4.0,352,8.0,,免费评估
16,布鲁内尔大学Brunel University,61.1,83,89,62,22.9,4.0,309,5.0,,免费评估
17,牛津布鲁克斯大学Oxford Brookes University,54.7,59,75,59,16.6,4.0,320,3.0,,免费评估
18,利物浦约翰摩尔斯大学Liverpool John Moores University,43.3,65,81,57,28.3,2.0,302,,,免费评估
19,罗汉普顿大学Roehampton University,36.9,78,81,64,25.9,2.0,236,1.0,,免费评估
