Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,拉夫堡大学Loughborough University,100.0,86.0,92.0,68.0,16.7,8.0,411,7.0,70.0,免费评估
2,埃克塞特大学University of Exeter,98.2,94.0,95.0,74.0,26.9,7.0,397,9.0,62.0,免费评估
3,伯明翰大学University of Birmingham,95.7,88.0,91.0,67.0,24.7,10.0,398,7.0,66.0,免费评估
4,爱丁堡大学The University of Edinburgh,93.8,70.0,84.0,47.0,18.0,10.0,403,5.0,79.0,免费评估
5,杜伦大学Durham University,92.4,88.0,90.0,74.0,18.6,5.0,392,6.0,66.0,免费评估
6,巴斯大学University of Bath,91.1,89.0,91.0,69.0,18.7,,357,9.0,54.0,免费评估
7,索尔福德大学University of Salford,90.8,89.0,91.0,83.0,13.0,5.0,289,8.0,,免费评估
8,伯恩茅斯大学Bournemouth University,87.9,91.0,90.0,80.0,22.3,6.0,321,10.0,53.0,免费评估
9,亚伯大学Aberystwyth University,87.5,95.0,96.0,87.0,22.6,8.0,251,7.0,49.0,免费评估
10,金斯顿大学Kingston University,84.9,80.0,88.0,66.0,16.0,9.0,248,5.0,60.0,免费评估
11,赫特福德大学University of Hertfordshire,84.5,90.0,88.0,68.0,20.0,7.0,318,7.0,56.0,免费评估
12,利物浦约翰摩尔斯大学Liverpool John Moores University,83.9,84.0,84.0,71.0,17.7,5.0,301,9.0,54.0,免费评估
13,利兹大学University of Leeds,83.8,86.0,86.0,58.0,24.7,9.0,395,7.0,47.0,免费评估
14,埃塞克斯大学University of Essex,83.0,84.0,86.0,60.0,19.2,8.0,334,5.0,57.0,免费评估
15,朴茨茅斯大学University of Portsmouth,82.7,96.0,95.0,79.0,24.7,7.0,296,5.0,49.0,免费评估
16,班戈大学Bangor University,82.2,91.0,95.0,86.0,25.6,7.0,265,5.0,44.0,免费评估
17,布鲁内尔大学Brunel University,82.0,84.0,83.0,64.0,23.0,8.0,345,7.0,56.0,免费评估
18,考文垂大学Coventry University,81.6,76.0,84.0,59.0,18.7,4.0,286,9.0,73.0,免费评估
19,蒂赛德大学Teesside University,81.5,89.0,86.0,81.0,20.1,6.0,269,7.0,53.0,免费评估
20,布莱顿大学University of Brighton,80.5,86.0,88.0,65.0,20.5,8.0,268,7.0,55.0,免费评估
21,南安普顿索伦特大学Southampton Solent University,80.4,90.0,90.0,87.0,6.5,3.0,260,1.0,,免费评估
22,斯塔福德郡大学Staffordshire University,80.0,91.0,91.0,73.0,23.4,10.0,171,6.0,61.0,免费评估
23,普利茅斯大学University of Plymouth,79.9,46.0,74.0,44.0,18.6,10.0,272,10.0,49.0,免费评估
24,卡迪夫都市大学Cardiff Metropolitan University,79.0,88.0,89.0,76.0,19.4,4.0,267,8.0,51.0,免费评估
25,格罗斯特大学University of Gloucestershire,78.5,90.0,87.0,66.0,24.1,4.0,310,10.0,50.0,免费评估
26,谢菲尔德哈莱姆大学Sheffield Hallam University,78.3,85.0,83.0,67.0,24.0,4.0,328,8.0,58.0,免费评估
27,哥比亚大学University of Cumbria,77.4,87.0,92.0,62.0,17.5,8.0,262,3.0,56.0,免费评估
28,Leeds Met,76.8,86.0,90.0,70.0,18.4,4.0,283,6.0,58.0,免费评估
29,牛津布鲁克斯大学Oxford Brookes University,76.0,88.0,96.0,72.0,33.2,5.0,318,8.0,,免费评估
30,阿尔斯特大学University of Ulster,75.4,100.0,96.0,73.0,19.5,5.0,299,6.0,39.0,免费评估
31,诺桑比亚大学Northumbria University,75.2,75.0,75.0,63.0,17.7,6.0,302,5.0,59.0,免费评估
31,诺丁汉特伦特大学Nottingham Trent University,75.2,83.0,82.0,55.0,20.6,6.0,270,8.0,54.0,免费评估
33,Glynd?r,74.6,88.0,98.0,92.0,23.4,3.0,161,7.0,32.0,免费评估
34,龙比亚大学Napier University,73.8,90.0,85.0,75.0,22.0,6.0,304,7.0,39.0,免费评估
35,切斯特大学University of Chester,72.8,75.0,78.0,67.0,19.5,7.0,270,2.0,69.0,免费评估
36,伦敦都市大学London Metropolitan University,72.5,76.0,89.0,64.0,14.7,4.0,215,6.0,,免费评估
37,北安普顿大学The University of Northampton,72.3,80.0,79.0,74.0,22.6,10.0,205,5.0,44.0,免费评估
38,米德塞斯大学Middlesex University,71.9,73.0,81.0,66.0,29.5,7.0,210,8.0,,免费评估
39,林肯大学University of Lincoln,71.8,87.0,89.0,71.0,22.7,4.0,295,2.0,53.0,免费评估
40,肯特大学University of Kent,71.6,84.0,80.0,60.0,16.7,8.0,259,7.0,39.0,免费评估
40,罗伯特高登大学The Robert Gordon University,71.6,72.0,77.0,60.0,14.9,7.0,314,3.0,,免费评估
40,斯旺西大学Swansea University,71.6,86.0,82.0,65.0,,2.0,332,7.0,55.0,免费评估
43,赫尔大学The University of Hull,70.8,78.0,89.0,63.0,24.9,5.0,263,3.0,60.0,免费评估
44,温切斯特大学University of Winchester,69.1,84.0,87.0,70.0,20.9,3.0,242,7.0,48.0,免费评估
45,奇切斯特大学University of Chichester,68.8,93.0,89.0,77.0,30.1,3.0,296,4.0,50.0,免费评估
46,德比大学University of Derby,67.3,69.0,79.0,67.0,22.2,6.0,239,5.0,47.0,免费评估
47,贝德福德大学University of Bedfordshire,67.1,70.0,80.0,52.0,19.7,7.0,214,8.0,48.0,免费评估
47,罗汉普顿大学Roehampton University,67.1,65.0,71.0,56.0,25.4,5.0,226,8.0,68.0,免费评估
49,斯特林大学University of Stirling,66.3,93.0,87.0,70.0,28.6,4.0,355,2.0,41.0,免费评估
50,伦敦南岸大学London South Bank University,66.2,94.0,90.0,67.0,18.8,4.0,209,2.0,,免费评估
51,桑德兰大学University of Sunderland,65.9,77.0,84.0,58.0,21.5,7.0,256,4.0,43.0,免费评估
52,伍斯特大学University of Worcester,65.8,83.0,83.0,63.0,29.3,6.0,284,5.0,47.0,免费评估
53,"St Mary's UC, Twickenham",64.2,83.0,86.0,68.0,20.1,2.0,254,4.0,51.0,免费评估
54,格拉摩根大学University of Glamorgan,64.1,81.0,80.0,69.0,26.9,8.0,247,6.0,28.0,免费评估
55,格林威治大学The University of Greenwich,63.1,76.0,77.0,56.0,30.1,7.0,250,,52.0,免费评估
56,Marjon St Mark and St John,61.0,81.0,88.0,69.0,19.9,2.0,199,3.0,47.0,免费评估
57,Newman University College,60.8,85.0,91.0,69.0,20.6,3.0,230,3.0,,免费评估
58,曼彻斯特城市大学Manchester Metropolitan University,59.2,72.0,84.0,69.0,19.9,3.0,251,2.0,,免费评估
59,阿伯泰邓迪大学University of Abertay Dundee,56.9,,,,33.1,2.0,247,7.0,47.0,免费评估
60,Leeds Trinity University College,56.0,79.0,82.0,64.0,28.1,2.0,239,2.0,61.0,免费评估
61,坎特伯雷大学Canterbury Christ Church University,55.7,91.0,85.0,72.0,24.5,3.0,175,3.0,40.0,免费评估
62,波尔顿大学University of Bolton,55.6,72.0,77.0,60.0,18.7,3.0,212,2.0,46.0,免费评估
62,东伦敦大学University of East London,55.6,91.0,90.0,78.0,37.8,3.0,179,3.0,50.0,免费评估
64,约克圣约翰大学York St John University,55.2,74.0,77.0,57.0,23.1,5.0,236,4.0,39.0,免费评估
65,艾芝西尔大学Edge Hill University,54.8,82.0,87.0,66.0,26.4,2.0,271,4.0,33.0,免费评估
66,西苏格兰大学University of the West of Scotland,48.1,83.0,84.0,64.0,38.0,3.0,283,2.0,39.0,免费评估
67,纽波特大学University of Wales Newport,44.4,88.0,83.0,73.0,41.4,2.0,192,2.0,36.0,免费评估
68,新白金汉大学Buckinghamshire New University,36.6,62.0,60.0,54.0,25.9,4.0,199,2.0,33.0,免费评估
