Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,剑桥大学University of Cambridge,100.0,94,93,69,5.8,10.0,630.0,2.0,98,免费评估
2,牛津大学University of Oxford,91.1,99,99,86,7.8,,611.0,2.0,99,免费评估
3,爱丁堡大学The University of Edinburgh,80.2,92,94,35,5.9,10.0,577.0,2.0,100,免费评估
4,伦敦大学学院University College London,75.9,96,93,57,5.2,7.0,554.0,7.0,99,免费评估
5,邓迪大学University of Dundee,74.8,92,94,52,6.7,10.0,535.0,,99,免费评估
6,纽卡斯尔大学Newcastle University,65.2,94,95,62,7.9,5.0,528.0,7.0,100,免费评估
7,莱斯特大学University of Leicester,64.4,95,93,57,6.2,5.0,505.0,6.0,100,免费评估
7,伦敦大学玛丽女王学院Queen Mary University of London,64.4,94,93,66,8.6,6.0,496.0,9.0,100,免费评估
9,阿伯丁大学University of Aberdeen,64.2,98,95,68,8.4,4.0,533.0,5.0,99,免费评估
10,赫尔约克医学院Hull York Medical School,63.6,90,92,56,5.6,4.0,514.0,,99,免费评估
11,帝国理工学院Imperial College London,62.3,93,91,49,7.3,6.0,556.0,1.0,100,免费评估
12,Peninsula Medical School,60.6,92,92,61,8.3,7.0,500.0,,99,免费评估
13,华威大学The University of Warwick,55.1,85,91,44,8.3,8.0,,7.0,100,免费评估
14,利兹大学University of Leeds,54.2,96,95,63,8.2,4.0,494.0,4.0,100,免费评估
15,诺丁汉大学University of Nottingham,53.6,89,92,43,6.7,3.0,517.0,8.0,100,免费评估
16,伦敦国王学院King's College London,48.9,76,84,27,5.1,7.0,502.0,4.0,100,免费评估
16,圣安德鲁斯大学University of St Andrews,48.9,94,98,53,12.0,3.0,536.0,4.0,96,免费评估
18,谢菲尔德大学The University of Sheffield,45.8,92,92,60,9.0,3.0,509.0,2.0,100,免费评估
19,曼彻斯特大学The University of Manchester,45.4,69,81,39,8.6,8.0,500.0,9.0,100,免费评估
20,布莱顿苏塞克斯医学院Brighton Sussex Medical School,43.8,94,95,54,11.4,4.0,469.0,,99,免费评估
21,东英吉利大学University of East Anglia,42.7,80,89,52,7.8,3.0,453.0,,100,免费评估
22,南安普顿大学University of Southampton,42.6,88,88,51,9.0,3.0,469.0,9.0,100,免费评估
23,伯明翰大学University of Birmingham,41.7,84,87,35,9.2,3.0,534.0,5.0,100,免费评估
24,基尔大学Keele University,41.2,87,93,57,9.2,2.0,464.0,,100,免费评估
25,利物浦大学The University of Liverpool,38.1,71,78,33,8.3,6.0,484.0,8.0,100,免费评估
26,布里斯托大学University of Bristol,37.3,81,90,38,11.5,5.0,508.0,6.0,100,免费评估
27,英国女王大学Queen's University Belfast,34.8,75,86,40,9.9,3.0,506.0,,100,免费评估
28,格拉斯哥大学University of Glasgow,34.7,64,80,33,8.7,4.0,517.0,4.0,99,免费评估
29,卡迪夫大学Cardiff University,34.5,69,81,29,9.6,4.0,520.0,7.0,100,免费评估
30,St George's Medical School,27.2,84,89,49,14.9,5.0,459.0,7.0,99,免费评估
