Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,伦敦国王学院King's College London,100.0,94.0,96.0,89.0,8.6,9,431.0,8.0,,免费评估
2,华威大学The University of Warwick,93.4,94.0,97.0,79.0,11.7,8,457.0,8.0,,免费评估
3,纽卡斯尔大学Newcastle University,86.9,90.0,92.0,75.0,15.3,10,404.0,8.0,72.0,免费评估
4,罗伯特高登大学The Robert Gordon University,76.9,89.0,88.0,73.0,14.9,7,353.0,9.0,70.0,免费评估
5,南安普顿大学University of Southampton,71.8,86.0,86.0,68.0,6.5,10,426.0,7.0,,免费评估
6,伦敦大学玛丽女王学院Queen Mary University of London,70.3,76.0,83.0,68.0,17.5,10,366.0,7.0,,免费评估
7,兰卡斯特大学Lancaster University,69.2,92.0,92.0,76.0,14.9,8,336.0,5.0,62.0,免费评估
8,伯明翰城市大学Birmingham City University,68.5,93.0,90.0,67.0,20.9,8,319.0,9.0,61.0,免费评估
8,埃克塞特大学University of Exeter,68.5,88.0,98.0,75.0,21.1,4,450.0,,,免费评估
8,谢菲尔德大学The University of Sheffield,68.5,94.0,87.0,77.0,23.2,5,385.0,7.0,67.0,免费评估
11,萨塞克斯大学University of Sussex,67.1,90.0,91.0,71.0,20.6,8,354.0,6.0,63.0,免费评估
12,伦敦大学皇家霍洛威学院Royal Holloway University of London,67.0,86.0,87.0,75.0,15.2,8,392.0,6.0,45.0,免费评估
13,莱斯特大学University of Leicester,65.9,87.0,85.0,73.0,21.6,8,366.0,9.0,,免费评估
14,拉夫堡大学Loughborough University,65.4,90.0,82.0,70.0,14.0,6,372.0,5.0,62.0,免费评估
15,伯明翰大学University of Birmingham,63.0,55.0,77.0,70.0,23.4,9,,8.0,60.0,免费评估
16,卡迪夫大学Cardiff University,62.4,79.0,90.0,54.0,22.2,7,429.0,8.0,57.0,免费评估
17,林肯大学University of Lincoln,62.3,77.0,76.0,63.0,15.8,6,347.0,7.0,67.0,免费评估
18,基尔大学Keele University,61.0,89.0,91.0,69.0,19.9,4,326.0,9.0,,免费评估
19,威斯敏斯特大学University of Westminster,60.9,76.0,76.0,60.0,17.8,8,323.0,9.0,55.0,免费评估
20,东英吉利大学University of East Anglia,58.8,88.0,93.0,77.0,20.5,5,368.0,5.0,49.0,免费评估
21,龙比亚大学Napier University,58.1,80.0,78.0,53.0,16.4,4,338.0,9.0,62.0,免费评估
22,剑桥安鲁大学Anglia Ruskin University,57.8,83.0,90.0,74.0,14.8,10,233.0,7.0,28.0,免费评估
23,诺丁汉特伦特大学Nottingham Trent University,56.7,,,,17.0,7,317.0,3.0,50.0,免费评估
24,英国女王大学Queen's University Belfast,55.5,83.0,88.0,56.0,14.6,7,353.0,5.0,,免费评估
25,伦敦艺术大学University of the Arts London,54.9,48.0,70.0,59.0,18.1,10,290.0,7.0,54.0,免费评估
