Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,伦敦大学学院University College London,100.0,79,74,55,11.6,10.0,480,6.0,97.0,免费评估
2,剑桥大学University of Cambridge,96.8,92,99,70,15.3,,529,5.0,79.0,免费评估
3,巴斯大学University of Bath,95.8,94,98,77,24.5,6.0,519,9.0,87.0,免费评估
4,卡迪夫大学Cardiff University,95.7,91,93,70,14.4,9.0,519,4.0,77.0,免费评估
5,爱丁堡大学The University of Edinburgh,82.6,75,86,42,18.5,8.0,481,7.0,87.0,免费评估
6,纽卡斯尔大学Newcastle University,82.3,79,83,37,14.3,9.0,471,6.0,81.0,免费评估
7,谢菲尔德大学The University of Sheffield,81.6,90,94,66,16.3,6.0,490,5.0,58.0,免费评估
8,利物浦大学The University of Liverpool,81.4,77,79,56,16.5,7.0,446,7.0,72.0,免费评估
9,诺桑比亚大学Northumbria University,80.9,98,96,87,18.2,5.0,384,3.0,69.0,免费评估
10,肯特大学University of Kent,79.7,77,81,57,12.3,8.0,406,4.0,73.0,免费评估
11,牛津布鲁克斯大学Oxford Brookes University,78.9,85,86,63,14.1,5.0,426,7.0,69.0,免费评估
12,曼彻斯特建筑学院Manchester School of Architecture,78.8,83,88,69,19.8,6.0,417,7.0,74.0,免费评估
13,诺丁汉大学University of Nottingham,78.7,86,80,73,20.3,8.0,470,,,免费评估
14,英国女王大学Queen's University Belfast,77.1,91,93,85,17.4,3.0,385,4.0,61.0,免费评估
15,西英格兰大学University of the West of England,75.0,87,89,69,23.0,4.0,324,8.0,77.0,免费评估
16,伦敦艺术大学University of the Arts London,73.2,44,61,49,12.2,10.0,303,,,免费评估
17,德比大学University of Derby,72.8,81,87,74,21.4,3.0,241,10.0,,免费评估
18,剑桥安鲁大学Anglia Ruskin University,72.3,82,87,66,20.1,9.0,257,,,免费评估
19,伦敦都市大学London Metropolitan University,71.9,88,90,59,15.3,5.0,256,9.0,,免费评估
20,"Arts UC, Bournemouth",71.8,70,81,75,15.4,4.0,317,4.0,,免费评估
21,罗伯特高登大学The Robert Gordon University,70.3,72,77,58,14.9,6.0,376,2.0,,免费评估
22,中央兰开夏大学University of Central Lancashire,70.1,73,71,57,18.0,10.0,301,,,免费评估
23,金斯顿大学Kingston University,69.1,90,91,68,20.1,3.0,332,7.0,59.0,免费评估
24,思克莱德大学University of Strathclyde,68.8,62,75,49,22.5,6.0,448,5.0,80.0,免费评估
25,邓迪大学University of Dundee,67.7,88,89,63,18.9,4.0,445,2.0,,免费评估
26,哈德斯菲尔德大学University of Huddersfield,65.9,82,87,73,26.7,4.0,318,4.0,84.0,免费评估
27,格拉斯哥艺术学院Glasgow School of Art,65.7,66,83,36,20.9,4.0,452,,,免费评估
27,威斯敏斯特大学University of Westminster,65.7,71,76,70,18.9,4.0,344,7.0,65.0,免费评估
29,谢菲尔德哈莱姆大学Sheffield Hallam University,65.4,96,93,71,19.9,4.0,382,4.0,39.0,免费评估
30,林肯大学University of Lincoln,64.9,65,73,54,20.1,4.0,371,8.0,70.0,免费评估
31,普利茅斯大学University of Plymouth,63.7,50,68,49,16.1,8.0,357,3.0,70.0,免费评估
32,朴茨茅斯大学University of Portsmouth,61.7,82,88,65,22.4,5.0,309,3.0,64.0,免费评估
33,索尔福德大学University of Salford,61.3,65,75,54,17.3,5.0,290,,,免费评估
34,伯明翰城市大学Birmingham City University,60.6,54,69,57,22.2,7.0,301,7.0,60.0,免费评估
35,Leeds Met,59.0,85,88,71,19.7,3.0,314,4.0,41.0,免费评估
36,阿尔斯特大学University of Ulster,57.7,68,70,46,19.2,4.0,319,7.0,57.0,免费评估
37,创意艺术大学University for the Creative Arts,57.0,76,84,67,,2.0,261,6.0,,免费评估
38,德蒙福特大学De Montfort University,56.7,84,81,77,22.9,3.0,294,2.0,65.0,免费评估
39,南安普顿索伦特大学Southampton Solent University,53.9,88,87,62,27.0,5.0,220,6.0,,免费评估
40,利物浦约翰摩尔斯大学Liverpool John Moores University,52.4,85,87,67,32.4,3.0,303,8.0,42.0,免费评估
41,伦敦南岸大学London South Bank University,51.8,61,64,57,24.5,3.0,252,9.0,,免费评估
42,格林威治大学The University of Greenwich,51.2,61,67,60,19.9,6.0,303,,,免费评估
43,布莱顿大学University of Brighton,45.9,69,84,53,28.3,3.0,402,1.0,59.0,免费评估
44,波尔顿大学University of Bolton,43.9,72,74,58,23.5,2.0,193,,,免费评估
45,诺丁汉特伦特大学Nottingham Trent University,42.7,32,55,30,24.4,6.0,309,,69.0,免费评估
46,东伦敦大学University of East London,34.5,79,84,72,30.0,2.0,212,2.0,42.0,免费评估
