Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,英国女王大学Queen's University Belfast,100.0,100,100,91,6.4,8,480.0,,100.0,免费评估
2,格拉斯哥大学University of Glasgow,96.3,100,100,85,6.3,5,532.0,,100.0,免费评估
3,伦敦国王学院King's College London,87.5,93,93,74,6.2,9,484.0,8.0,100.0,免费评估
4,阿伯丁大学University of Aberdeen,81.5,98,95,68,8.1,9,,,,免费评估
5,利物浦大学The University of Liverpool,81.4,99,94,87,8.9,9,456.0,5.0,100.0,免费评估
6,曼彻斯特大学The University of Manchester,77.0,98,97,88,9.2,4,462.0,,100.0,免费评估
7,邓迪大学University of Dundee,76.7,94,92,65,6.4,5,506.0,,99.0,免费评估
8,伯明翰大学University of Birmingham,71.1,90,98,74,9.7,5,488.0,,100.0,免费评估
9,谢菲尔德大学The University of Sheffield,62.9,94,96,65,8.4,3,462.0,,100.0,免费评估
10,伦敦大学玛丽女王学院Queen Mary University of London,59.7,80,85,60,6.7,5,461.0,2.0,99.0,免费评估
11,卡迪夫大学Cardiff University,53.2,92,90,46,6.4,5,475.0,,100.0,免费评估
12,布里斯托大学University of Bristol,46.4,87,88,71,12.6,3,485.0,,97.0,免费评估
13,利兹大学University of Leeds,44.1,87,93,37,12.5,6,451.0,,100.0,免费评估
14,Peninsula Medical School,33.7,89,89,60,9.7,4,0.0,8.0,0.0,免费评估
15,纽卡斯尔大学Newcastle University,33.4,97,94,54,13.6,1,496.0,,100.0,免费评估
