Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,布鲁内尔大学Brunel University,100.0,50.0,68.0,54.0,5.9,10.0,342.0,,,免费评估
2,牛津布鲁克斯大学Oxford Brookes University,99.0,91.0,91.0,77.0,7.5,4.0,322.0,8.0,,免费评估
3,利兹大学University of Leeds,98.8,86.0,90.0,62.0,6.8,10.0,358.0,3.0,,免费评估
4,基尔大学Keele University,98.6,94.0,90.0,70.0,6.7,10.0,272.0,,,免费评估
5,伯明翰大学University of Birmingham,96.3,90.0,92.0,72.0,8.5,,338.0,4.0,63.0,免费评估
6,伍斯特大学University of Worcester,95.6,88.0,90.0,75.0,8.0,9.0,225.0,9.0,,免费评估
7,布里斯托大学University of Bristol,95.5,79.0,88.0,52.0,12.0,9.0,377.0,8.0,76.0,免费评估
8,罗伯特高登大学The Robert Gordon University,95.4,94.0,96.0,81.0,14.9,5.0,331.0,3.0,81.0,免费评估
9,东英吉利大学University of East Anglia,95.3,83.0,87.0,71.0,9.8,10.0,294.0,6.0,58.0,免费评估
10,切斯特大学University of Chester,94.5,88.0,89.0,76.0,9.2,3.0,272.0,,92.0,免费评估
11,赫尔大学The University of Hull,92.9,96.0,94.0,75.0,21.2,3.0,304.0,10.0,84.0,免费评估
12,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,91.4,96.0,95.0,78.0,19.1,3.0,327.0,6.0,83.0,免费评估
13,思克莱德大学University of Strathclyde,90.2,94.0,95.0,50.0,13.2,9.0,,7.0,79.0,免费评估
14,格罗斯特大学University of Gloucestershire,90.1,90.0,89.0,62.0,18.7,9.0,240.0,10.0,67.0,免费评估
15,诺桑比亚大学Northumbria University,88.5,92.0,90.0,76.0,21.1,6.0,273.0,8.0,81.0,免费评估
16,埃塞克斯大学University of Essex,87.1,91.0,88.0,71.0,13.0,6.0,235.0,9.0,,免费评估
17,萨塞克斯大学University of Sussex,84.3,97.0,89.0,74.0,28.3,8.0,326.0,7.0,77.0,免费评估
18,朴茨茅斯大学University of Portsmouth,81.9,69.0,78.0,68.0,14.9,8.0,291.0,7.0,73.0,免费评估
19,雷丁大学University of Reading,81.3,,,,7.9,4.0,,4.0,85.0,免费评估
20,巴斯大学University of Bath,80.8,69.0,84.0,61.0,11.5,,369.0,,61.0,免费评估
21,米德塞斯大学Middlesex University,79.5,84.0,92.0,71.0,14.4,9.0,205.0,3.0,,免费评估
22,英国女王大学Queen's University Belfast,79.1,81.0,89.0,60.0,14.2,2.0,342.0,8.0,70.0,免费评估
23,兰卡斯特大学Lancaster University,78.9,80.0,84.0,53.0,15.2,6.0,353.0,3.0,93.0,免费评估
24,中央兰开夏大学University of Central Lancashire,78.8,86.0,84.0,66.0,17.0,8.0,247.0,8.0,67.0,免费评估
25,伯恩茅斯大学Bournemouth University,77.6,86.0,91.0,72.0,16.8,6.0,270.0,5.0,60.0,免费评估
26,约克大学The University of York,77.3,52.0,66.0,59.0,10.2,8.0,349.0,7.0,,免费评估
27,考文垂大学Coventry University,76.0,88.0,88.0,77.0,13.8,3.0,241.0,7.0,69.0,免费评估
28,赫特福德大学University of Hertfordshire,75.4,72.0,81.0,55.0,17.9,6.0,281.0,7.0,90.0,免费评估
29,华威大学The University of Warwick,75.2,74.0,84.0,40.0,19.4,5.0,438.0,5.0,,免费评估
30,金斯顿大学Kingston University,75.0,77.0,80.0,76.0,14.4,3.0,289.0,7.0,71.0,免费评估
31,南安普顿索伦特大学Southampton Solent University,74.9,89.0,87.0,71.0,22.8,3.0,287.0,9.0,54.0,免费评估
32,布拉德福德大学University of Bradford,74.8,75.0,82.0,74.0,18.6,8.0,252.0,,64.0,免费评估
32,肯特大学University of Kent,74.8,81.0,90.0,68.0,19.4,6.0,263.0,4.0,,免费评估
34,哈德斯菲尔德大学University of Huddersfield,74.0,84.0,79.0,71.0,18.5,5.0,286.0,5.0,70.0,免费评估
35,曼彻斯特大学The University of Manchester,73.9,70.0,84.0,59.0,16.1,6.0,326.0,,82.0,免费评估
36,格拉摩根大学University of Glamorgan,72.7,76.0,81.0,60.0,13.8,6.0,285.0,4.0,,免费评估
