Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,剑桥大学University of Cambridge,100.0,100,100,86,14.6,,541,9.0,74.0,免费评估
2,伦敦大学学院University College London,96.6,87,91,74,6.6,10.0,465,8.0,74.0,免费评估
3,牛津大学University of Oxford,90.0,92,93,73,13.9,,565,7.0,70.0,免费评估
4,圣安德鲁斯大学University of St Andrews,85.2,95,96,71,12.9,7.0,504,7.0,,免费评估
5,伦敦国王学院King's College London,81.7,97,95,80,12.7,6.0,470,8.0,59.0,免费评估
6,格拉斯哥大学University of Glasgow,77.5,90,93,84,18.6,7.0,458,5.0,,免费评估
7,杜伦大学Durham University,76.5,94,93,72,15.6,5.0,488,6.0,69.0,免费评估
8,华威大学The University of Warwick,75.8,98,97,81,14.3,7.0,460,6.0,59.0,免费评估
9,利物浦大学The University of Liverpool,75.4,99,97,84,17.8,7.0,379,6.0,,免费评估
10,爱丁堡大学The University of Edinburgh,72.1,82,87,62,16.9,9.0,481,6.0,70.0,免费评估
11,诺丁汉大学University of Nottingham,70.7,96,97,74,18.8,3.0,415,9.0,71.0,免费评估
12,布里斯托大学University of Bristol,70.5,83,92,85,19.4,6.0,452,7.0,47.0,免费评估
13,埃克塞特大学University of Exeter,66.8,88,92,74,17.5,3.0,475,6.0,68.0,免费评估
14,肯特大学University of Kent,63.2,93,94,67,12.7,4.0,344,7.0,,免费评估
15,伦敦大学皇家霍洛威学院Royal Holloway University of London,60.3,90,89,70,15.8,4.0,381,6.0,53.0,免费评估
16,雷丁大学University of Reading,59.2,100,97,82,15.9,4.0,381,1.0,43.0,免费评估
17,曼彻斯特大学The University of Manchester,58.6,92,96,74,20.1,8.0,405,2.0,,免费评估
18,利兹大学University of Leeds,55.4,90,95,77,20.3,3.0,400,4.0,38.0,免费评估
19,伯明翰大学University of Birmingham,54.9,85,92,74,20.6,7.0,386,4.0,45.0,免费评估
20,纽卡斯尔大学Newcastle University,51.9,79,91,72,21.0,3.0,405,5.0,,免费评估
21,圣大卫三一学院University of Wales Trinity Saint David,50.8,91,94,82,20.9,3.0,242,,,免费评估
22,罗汉普顿大学Roehampton University,49.0,86,87,72,18.4,1.0,287,7.0,,免费评估
23,斯旺西大学Swansea University,34.4,78,88,57,18.4,4.0,313,1.0,,免费评估
