Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,剑桥大学University of Cambridge,100.0,96.0,96.0,81.0,9.0,,633,2.0,97.0,免费评估
2,圣安德鲁斯大学University of St Andrews,98.3,90.0,90.0,69.0,8.1,10.0,502,,,免费评估
3,南安普顿大学University of Southampton,98.0,92.0,91.0,66.0,11.1,10.0,460,9.0,83.0,免费评估
4,帝国理工学院Imperial College London,95.0,85.0,84.0,67.0,16.0,10.0,561,7.0,95.0,免费评估
5,布里斯托大学University of Bristol,89.2,96.0,96.0,70.0,15.7,6.0,489,8.0,,免费评估
6,约克大学The University of York,88.0,91.0,87.0,72.0,9.6,,443,4.0,91.0,免费评估
7,伯明翰大学University of Birmingham,87.8,77.0,82.0,67.0,9.6,10.0,401,7.0,88.0,免费评估
8,格拉斯哥大学University of Glasgow,85.5,98.0,91.0,73.0,12.8,8.0,456,3.0,88.0,免费评估
9,利物浦大学The University of Liverpool,83.3,88.0,88.0,63.0,10.2,7.0,377,10.0,75.0,免费评估
10,谢菲尔德大学The University of Sheffield,83.0,83.0,86.0,62.0,14.3,9.0,420,8.0,92.0,免费评估
11,巴斯大学University of Bath,82.7,91.0,89.0,64.0,14.6,8.0,409,8.0,83.0,免费评估
12,斯特林大学University of Stirling,82.2,100.0,95.0,83.0,13.8,4.0,320,9.0,,免费评估
13,华威大学The University of Warwick,82.0,87.0,82.0,62.0,12.3,8.0,488,5.0,87.0,免费评估
14,兰卡斯特大学Lancaster University,80.9,81.0,80.0,69.0,9.2,10.0,353,3.0,76.0,免费评估
15,杜伦大学Durham University,80.8,81.0,70.0,75.0,12.6,7.0,446,7.0,85.0,免费评估
16,爱丁堡大学The University of Edinburgh,80.5,90.0,81.0,43.0,9.3,,470,8.0,88.0,免费评估
17,纽卡斯尔大学Newcastle University,79.3,88.0,88.0,70.0,17.0,8.0,398,7.0,84.0,免费评估
18,伦敦大学学院University College London,79.1,87.0,88.0,67.0,14.3,8.0,447,5.0,,免费评估
19,思克莱德大学University of Strathclyde,78.3,97.0,91.0,76.0,18.1,4.0,409,8.0,79.0,免费评估
20,曼彻斯特大学The University of Manchester,77.9,83.0,78.0,59.0,11.5,10.0,378,4.0,77.0,免费评估
21,莱斯特大学University of Leicester,77.6,92.0,85.0,81.0,12.2,6.0,344,4.0,,免费评估
22,萨塞克斯大学University of Sussex,76.8,84.0,86.0,60.0,13.8,9.0,358,7.0,79.0,免费评估
23,邓迪大学University of Dundee,76.6,96.0,85.0,67.0,15.0,5.0,364,9.0,75.0,免费评估
24,诺丁汉大学University of Nottingham,72.3,82.0,80.0,59.0,13.1,9.0,370,4.0,78.0,免费评估
25,伦敦国王学院King's College London,72.0,81.0,75.0,63.0,16.6,8.0,365,7.0,82.0,免费评估
26,萨里大学University of Surrey,71.0,89.0,85.0,70.0,17.9,6.0,349,3.0,84.0,免费评估
27,斯旺西大学Swansea University,70.6,82.0,81.0,64.0,11.4,5.0,315,8.0,71.0,免费评估
28,伦敦大学玛丽女王学院Queen Mary University of London,70.5,88.0,79.0,72.0,12.2,10.0,318,2.0,60.0,免费评估
29,卡迪夫大学Cardiff University,70.2,79.0,84.0,73.0,12.8,6.0,345,4.0,75.0,免费评估
30,赫瑞瓦特大学Heriot Watt University,69.9,77.0,76.0,62.0,12.5,7.0,363,4.0,87.0,免费评估
31,拉夫堡大学Loughborough University,69.8,88.0,84.0,66.0,16.3,6.0,336,4.0,80.0,免费评估
31,英国女王大学Queen's University Belfast,69.8,84.0,74.0,63.0,15.2,6.0,352,9.0,75.0,免费评估
33,班戈大学Bangor University,68.7,85.0,86.0,68.0,14.8,6.0,254,7.0,,免费评估
34,雷丁大学University of Reading,68.3,79.0,81.0,55.0,12.9,7.0,348,5.0,84.0,免费评估
35,肯特大学University of Kent,66.9,79.0,78.0,50.0,13.2,5.0,301,8.0,88.0,免费评估
36,东英吉利大学University of East Anglia,66.3,89.0,90.0,70.0,13.7,7.0,360,3.0,50.0,免费评估
36,西英格兰大学University of the West of England,66.3,74.0,79.0,61.0,18.8,4.0,285,10.0,78.0,免费评估
38,索尔福德大学University of Salford,65.1,89.0,91.0,74.0,16.6,5.0,243,6.0,57.0,免费评估
39,阿斯顿大学Aston University,64.1,90.0,81.0,66.0,17.8,4.0,341,6.0,64.0,免费评估
40,艾芝西尔大学Edge Hill University,64.0,94.0,89.0,79.0,12.3,2.0,235,7.0,49.0,免费评估
41,阿伯丁大学University of Aberdeen,63.1,84.0,76.0,54.0,12.1,6.0,349,4.0,,免费评估
41,切斯特大学University of Chester,63.1,86.0,76.0,65.0,13.8,6.0,255,7.0,67.0,免费评估
43,伯恩茅斯大学Bournemouth University,62.4,59.0,66.0,51.0,12.8,7.0,296,10.0,65.0,免费评估
43,赫特福德大学University of Hertfordshire,62.4,81.0,76.0,63.0,16.7,5.0,261,10.0,53.0,免费评估
45,利兹大学University of Leeds,62.2,70.0,78.0,59.0,10.3,7.0,340,2.0,75.0,免费评估
46,埃塞克斯大学University of Essex,61.6,84.0,72.0,61.0,14.2,7.0,318,3.0,62.0,免费评估
47,罗伯特高登大学The Robert Gordon University,61.4,79.0,79.0,70.0,14.9,4.0,290,5.0,63.0,免费评估
48,赫尔大学The University of Hull,61.2,83.0,84.0,65.0,22.1,3.0,281,7.0,74.0,免费评估
49,哈德斯菲尔德大学University of Huddersfield,60.5,64.0,73.0,65.0,18.8,6.0,296,6.0,72.0,免费评估
50,林肯大学University of Lincoln,59.6,75.0,75.0,68.0,17.1,4.0,315,5.0,62.0,免费评估
50,普利茅斯大学University of Plymouth,59.6,75.0,79.0,59.0,18.9,6.0,279,7.0,69.0,免费评估
52,谢菲尔德哈莱姆大学Sheffield Hallam University,59.4,74.0,73.0,62.0,18.8,4.0,261,9.0,60.0,免费评估
53,牛津布鲁克斯大学Oxford Brookes University,58.8,86.0,75.0,56.0,24.0,5.0,289,9.0,76.0,免费评估
54,格罗斯特大学University of Gloucestershire,58.5,73.0,82.0,74.0,18.4,3.0,243,,65.0,免费评估
55,伦敦大学金史密斯学院Goldsmiths University of London,57.9,83.0,82.0,67.0,14.9,3.0,282,,68.0,免费评估
56,布鲁内尔大学Brunel University,57.8,72.0,74.0,69.0,18.1,6.0,323,3.0,58.0,免费评估
57,中央兰开夏大学University of Central Lancashire,57.4,74.0,77.0,70.0,17.5,6.0,305,3.0,62.0,免费评估
58,伦敦大学皇家霍洛威学院Royal Holloway University of London,57.3,83.0,72.0,66.0,14.4,4.0,378,1.0,,免费评估
59,诺桑比亚大学Northumbria University,56.3,79.0,74.0,62.0,19.1,4.0,256,6.0,73.0,免费评估
60,德比大学University of Derby,56.2,73.0,78.0,61.0,18.8,3.0,312,7.0,59.0,免费评估
61,格林威治大学The University of Greenwich,55.7,89.0,88.0,78.0,27.1,6.0,236,,42.0,免费评估
62,龙比亚大学Napier University,55.6,83.0,84.0,67.0,22.2,3.0,281,7.0,53.0,免费评估
63,桑德兰大学University of Sunderland,55.4,58.0,58.0,66.0,16.5,9.0,273,5.0,65.0,免费评估
64,卡迪夫都市大学Cardiff Metropolitan University,54.6,93.0,85.0,79.0,21.7,3.0,251,3.0,,免费评估
64,朴茨茅斯大学University of Portsmouth,54.6,81.0,79.0,67.0,16.8,4.0,222,5.0,58.0,免费评估
66,考文垂大学Coventry University,53.4,68.0,68.0,72.0,18.4,3.0,247,6.0,62.0,免费评估
67,伦敦南岸大学London South Bank University,53.0,77.0,77.0,71.0,19.6,3.0,181,8.0,52.0,免费评估
68,亚伯大学Aberystwyth University,52.8,78.0,75.0,52.0,15.8,5.0,291,1.0,73.0,免费评估
69,阿尔斯特大学University of Ulster,52.5,73.0,68.0,59.0,17.2,4.0,254,7.0,55.0,免费评估
70,蒂赛德大学Teesside University,52.3,78.0,80.0,67.0,19.1,4.0,307,3.0,45.0,免费评估
71,Newman University College,51.4,,,,24.5,3.0,245,4.0,,免费评估
72,伦敦城市大学City University London,51.2,65.0,63.0,56.0,19.2,7.0,336,5.0,56.0,免费评估
73,布拉德福德大学University of Bradford,50.8,71.0,67.0,69.0,15.2,5.0,247,5.0,40.0,免费评估
