Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,剑桥大学University of Cambridge,100.0,91,98,77,12.0,,566,7.0,74.0,免费评估
2,杜伦大学Durham University,93.1,90,92,75,12.4,8.0,512,7.0,76.0,免费评估
3,兰卡斯特大学Lancaster University,92.4,96,93,73,13.1,10.0,434,4.0,74.0,免费评估
4,牛津大学University of Oxford,92.2,90,93,65,15.8,,576,8.0,67.0,免费评估
5,格拉斯哥大学University of Glasgow,91.7,94,97,68,15.3,8.0,456,9.0,80.0,免费评估
6,东英吉利大学University of East Anglia,91.6,95,96,70,11.3,9.0,442,8.0,70.0,免费评估
7,布里斯托大学University of Bristol,90.2,88,95,69,13.9,9.0,490,7.0,72.0,免费评估
8,伦敦大学学院University College London,89.5,88,95,62,13.5,9.0,513,6.0,76.0,免费评估
9,圣安德鲁斯大学University of St Andrews,88.3,80,90,64,10.5,7.0,526,7.0,75.0,免费评估
10,伦敦政治经济学院The London School of Economics and Political Science,88.0,81,90,78,11.4,5.0,472,6.0,88.0,免费评估
11,爱丁堡大学The University of Edinburgh,84.5,94,93,65,12.3,,500,5.0,64.0,免费评估
12,基尔大学Keele University,84.0,97,98,82,12.0,6.0,359,6.0,69.0,免费评估
13,埃克塞特大学University of Exeter,82.9,88,90,77,17.3,5.0,441,8.0,70.0,免费评估
14,卡迪夫大学Cardiff University,82.5,91,94,64,15.5,10.0,371,6.0,,免费评估
15,思克莱德大学University of Strathclyde,80.5,86,96,77,11.6,3.0,470,,,免费评估
16,莱斯特大学University of Leicester,80.4,87,93,74,16.4,8.0,413,6.0,63.0,免费评估
17,南安普顿大学University of Southampton,79.1,87,89,60,13.7,9.0,437,8.0,53.0,免费评估
18,伦敦大学皇家霍洛威学院Royal Holloway University of London,78.7,98,95,81,13.6,6.0,371,3.0,65.0,免费评估
19,邓迪大学University of Dundee,78.3,99,96,71,17.2,3.0,404,9.0,66.0,免费评估
20,拉夫堡大学Loughborough University,78.2,94,93,81,18.1,6.0,409,8.0,59.0,免费评估
