Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,华威大学The University of Warwick,100.0,95,96,81,14.3,8,455,,,免费评估
2,曼彻斯特大学The University of Manchester,91.8,97,97,82,17.9,10,460,7.0,53.0,免费评估
3,莱斯特大学University of Leicester,89.0,94,95,81,14.7,7,402,7.0,,免费评估
4,东英吉利大学University of East Anglia,87.9,100,96,73,14.5,9,431,5.0,63.0,免费评估
5,伯明翰大学University of Birmingham,75.7,90,90,79,19.8,8,419,6.0,65.0,免费评估
6,埃塞克斯大学University of Essex,71.5,97,97,82,16.3,5,363,,,免费评估
7,肯特大学University of Kent,66.7,97,94,80,11.8,6,362,3.0,,免费评估
8,邓迪大学University of Dundee,60.8,93,97,83,23.9,5,390,,,免费评估
9,温切斯特大学University of Winchester,60.4,100,98,83,16.1,3,264,,,免费评估
10,赫尔大学The University of Hull,56.1,96,98,85,19.6,2,357,3.0,,免费评估
11,基尔大学Keele University,55.7,98,95,79,23.0,2,349,8.0,,免费评估
12,斯旺西大学Swansea University,52.1,92,91,73,17.1,6,340,3.0,,免费评估
13,萨塞克斯大学University of Sussex,47.5,84,88,61,23.5,5,414,8.0,,免费评估
14,坎特伯雷大学Canterbury Christ Church University,47.1,100,97,76,19.5,2,259,9.0,,免费评估
15,利物浦大学The University of Liverpool,44.6,76,74,61,20.5,8,369,8.0,,免费评估
16,诺丁汉大学University of Nottingham,44.3,85,91,66,18.6,5,402,3.0,53.0,免费评估
17,德比大学University of Derby,39.2,95,88,66,16.7,4,282,,,免费评估
18,朴茨茅斯大学University of Portsmouth,38.5,93,94,77,21.2,6,291,2.0,,免费评估
19,林肯大学University of Lincoln,30.6,92,87,78,26.8,3,321,,,免费评估
