Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,杜伦大学Durham University,100.0,86.0,93.2,72.7,13,10,513,8,89,免费评估
2,剑桥大学University of Cambridge,99.1,95.0,95.0,85.4,14.3,10,528,1,82,免费评估
3,圣安德鲁斯大学University of St Andrews,97.4,93.0,96.5,71.9,10.6,7,485,-,88,免费评估
4,埃克塞特大学University of Exeter,91.0,100.0,100.0,94.0,20.2,4,429,7,-,免费评估
5,爱丁堡大学The University of Edinburgh,87.9,89.1,93.8,71.9,12,9,453,8,64,免费评估
6,伯明翰大学University of Birmingham,83.3,89.1,94.0,84.4,14.1,5,406,6,80,免费评估
7,牛津大学University of Oxford,79.5,94.1,92.0,64.6,20.1,-,537,8,83,免费评估
8,纽曼大学Newman University,76.4,100.0,100.0,89.0,17.2,4,269,4,-,免费评估
8,伦敦国王学院King's College London,76.4,89.1,95.0,78.1,11.7,5,429,7,56,免费评估
10,布里斯托大学University of Bristol,76.1,86.9,86.2,75.5,14.5,5,443,8,-,免费评估
11,伦敦大学亚非学院SOAS University of London,75.6,87.9,90.2,74.2,11.1,7,346,9,-,免费评估
12,格拉斯哥大学University of Glasgow,75.3,90.0,93.0,77.4,17.1,5,-,8,-,免费评估
13,诺丁汉大学University of Nottingham,74.0,90.9,92.7,68.5,13.1,7,382,7,75,免费评估
14,温切斯特大学University of Winchester,73.7,83.0,91.5,88.4,12.1,8,309,7,-,免费评估
15,切斯特大学University of Chester,68.5,91.0,96.7,87.4,17.9,4,301,4,85,免费评估
16,肯特大学University of Kent,67.9,85.0,92.3,71.9,11.1,6,366,7,-,免费评估
17,曼彻斯特大学The University of Manchester,67.6,92.0,94.0,72.1,12.6,7,380,7,54,免费评估
18,兰卡斯特大学Lancaster University,67.4,92.1,89.5,69.5,9.5,6,448,3,-,免费评估
19,坎特伯雷大学Canterbury Christ Church University,66.3,90.1,93.0,76.6,13,4,287,8,-,免费评估
20,卡迪夫大学Cardiff University,65.5,93.0,92.3,82.0,18.3,6,381,4,70,免费评估
21,海斯罗珀学院Heythrop College of the University of London,63.9,85.1,92.0,84.0,12.1,2,316,8,65,免费评估
22,巴斯斯巴大学Bath Spa University,59.9,97.0,96.0,88.9,25.1,3,313,7,-,免费评估
23,谢菲尔德大学The University of Sheffield,58.5,94.1,96.0,68.5,21.9,5,400,-,-,免费评估
24,英国女王大学Queen's University Belfast,55.7,97.0,93.7,85.2,-,7,357,1,67,免费评估
25,利兹大学University of Leeds,55.0,89.0,90.3,79.8,19.8,5,426,5,51,免费评估
26,"St Mary's UC, Twickenham",52.9,85.0,93.5,84.9,20.5,3,307,4,-,免费评估
27,约克圣约翰大学York St John University,48.8,94.0,93.8,91.8,19.3,4,280,1,49,免费评估
28,罗汉普顿大学Roehampton University,41.3,88.9,94.7,77.5,21.6,3,289,3,53,免费评估
29,奇切斯特大学University of Chichester,39.8,94.0,93.5,83.9,29.4,2,230,-,-,免费评估
30,利兹圣三一大学Leeds Trinity University,34.6,80.2,85.4,61.6,18,3,275,3,-,免费评估
