Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,伯明翰大学University of Birmingham,100,94,97.5,73.7,13.2,10,411,6,78,免费评估
2,东英吉利大学University of East Anglia,99.4,98,99.5,73.1,8.7,8,468,-,-,免费评估
3,三一拉邦艺术学院Trinity Laban Conservatoire of Music and Dance,93.7,91,91,64.1,8.9,10,299,10,77,免费评估
4,伦敦大学玛丽女王学院Queen Mary University of London,93.2,97,97.8,72.2,14.2,9,466,6,61,免费评估
5,萨里大学University of Surrey,93.1,90,93.1,71.6,11.8,8,365,8,80,免费评估
6,埃塞克斯大学University of Essex,91.9,97,97,91.4,15.6,6,390,7,54,免费评估
7,伯明翰城市大学Birmingham City University,88.6,89.1,92,77.4,13.9,8,312,8,66,免费评估
8,舞蹈与戏剧艺术学院Conservatoire for Dance and Drama,88,85.2,91.3,71.4,11.6,-,-,10,54,免费评估
9,兰卡斯特大学Lancaster University,87.9,73.7,85,78.3,8.5,10,393,5,-,免费评估
10,萨塞克斯大学University of Sussex,87.3,90,96,82,9.1,4,428,-,-,免费评估
10,肯特大学University of Kent,87.3,90.8,92.4,73.2,12.1,6,384,9,64,免费评估
12,埃克塞特大学University of Exeter,87.1,92,97,81.6,19.6,4,435,6,77,免费评估
13,伦敦艺术大学University of the Arts London,86.2,77.2,83.8,72,9.1,10,395,5,48,免费评估
14,皇家威尔士音乐戏剧学院Royal Welsh College of Music and Drama,85.1,93,95,73,8.2,-,332,8,-,免费评估
15,普利茅斯大学University of Plymouth,84.9,97,98,89.7,17.7,10,355,7,30,免费评估
16,布里斯托大学University of Bristol,83.4,87.9,88,73.8,13.8,7,444,5,61,免费评估
17,格拉斯哥大学University of Glasgow,83.1,87,87.5,67.2,16.2,5,505,-,-,免费评估
18,米德塞斯大学Middlesex University,83,83.9,89.9,69.2,15.4,9,336,6,68,免费评估
19,考文垂大学Coventry University,82.6,85,93.9,75.1,11.9,5,349,6,71,免费评估
20,苏格兰皇家音乐学院Royal Conservatoire of Scotland,82.4,84.9,90.3,70,11.3,7,327,-,72,免费评估
21,伯恩茅斯艺术大学Arts University Bournemouth,82.1,98,98,90,-,4,336,7,59,免费评估
22,拉夫堡大学Loughborough University,81,90,90,72.8,13.7,4,411,6,58,免费评估
23,市政厅音乐及戏剧学院Guildhall School of Music and Drama,80,92,91.8,65.3,6.6,8,339,6,43,免费评估
24,曼彻斯特大学The University of Manchester,79.8,91.1,95,65,14.2,6,400,5,62,免费评估
25,谢菲尔德大学The University of Sheffield,78.2,91.9,91,70.7,12.1,6,400,-,-,免费评估
26,约克大学The University of York,78,59,90.3,31.6,17.6,10,421,7,68,免费评估
27,英国女王大学Queen's University Belfast,76.9,96,97,73.9,13.1,6,368,3,46,免费评估
28,伦敦大学皇家霍洛威学院Royal Holloway University of London,76.8,79,86.3,58.5,14,5,418,7,53,免费评估
29,中央兰开夏大学University of Central Lancashire,76.7,81,89.4,64.3,16.2,7,343,5,67,免费评估
29,Royal Central School of Speech,& Drama 76.7,85,90.3,73.1,16.9,5,361,7,55,免费评估
31,布鲁内尔大学Brunel University,76,82.2,83.3,69.5,13.3,10,335,4,43,免费评估
32,北安普顿大学The University of Northampton,75.7,86.2,90.9,85.1,21.7,5,308,8,56,免费评估
33,利兹大学University of Leeds,75.3,88.1,91.3,79.4,17.8,6,415,5,48,免费评估
34,金斯顿大学Kingston University,74.3,89.2,94.9,74,16.5,6,339,4,51,免费评估
35,卡迪夫都市大学Cardiff Metropolitan University,73.8,97,96.2,93.4,20.4,3,322,-,-,免费评估
36,伦敦都市大学London Metropolitan University,73.7,-,-,-,12.9,6,-,4,48,免费评估
37,格林威治大学The University of Greenwich,73,96,94.5,81.2,24.1,4,364,8,52,免费评估
38,艾芝西尔大学Edge Hill University,72.3,86.8,92.9,74.1,15.6,4,328,7,41,免费评估
39,利物浦约翰摩尔斯大学Liverpool John Moores University,71.4,83.6,93.1,72.1,19.9,3,358,9,36,免费评估
40,罗汉普顿大学Roehampton University,71.2,87.4,92.3,76.4,15.2,3,326,7,47,免费评估
41,南威尔士大学The University of South Wales,71.1,86,86.8,69.3,17.6,9,328,7,35,免费评估
42,罗斯布鲁弗学院Rose Bruford College,70.9,87.1,88.8,68.7,16.1,4,343,6,45,免费评估
43,诺桑比亚大学Northumbria University,70.8,91.9,93.5,78.8,19.8,3,357,7,52,免费评估
43,曼彻斯特城市大学Manchester Metropolitan University,70.8,85.3,87.7,75.6,17.9,3,368,6,50,免费评估
45,诺丁汉特伦特大学Nottingham Trent University,70.2,94.9,96.5,89.2,14.5,5,353,1,43,免费评估
45,德蒙福特大学De Montfort University,70.2,91.5,94.3,84.9,16.7,3,328,4,41,免费评估
47,东伦敦大学University of East London,69,66.3,78.7,66.9,23.6,9,404,7,34,免费评估
48,利物浦表演艺术学院The Liverpool Institute for Performing Arts,68.7,68.5,80.5,57,16.8,3,348,9,57,免费评估
49,温切斯特大学University of Winchester,68.6,78.4,84,73.7,15,3,345,7,48,免费评估
50,雷丁大学University of Reading,67.9,75.2,81.8,66.8,13,4,368,4,49,免费评估
