Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,圣安德鲁斯大学University of St Andrews,100.0,93,95.8,79.2,18.5,9,542,10,76,免费评估
2,牛津大学University of Oxford,95.3,92,91.5,68.8,11.2,-,582,7,80,免费评估
3,剑桥大学University of Cambridge,95.2,-,-,-,13.3,-,546,7,81,免费评估
4,巴斯大学University of Bath,90.1,92,94.7,73.9,13,5,463,8,82,免费评估
5,伯明翰大学University of Birmingham,87.9,88,92,73.8,17.2,10,410,8,84,免费评估
6,萨里大学University of Surrey,87.4,94.1,99.3,80.4,12,6,386,4,-,免费评估
7,华威大学The University of Warwick,87.0,84.8,88.8,68.9,14.4,9,504,7,82,免费评估
8,埃克塞特大学University of Exeter,85.5,92.1,91,75,13.9,7,462,6,79,免费评估
9,思克莱德大学University of Strathclyde,84.2,94,92.2,73.1,16.3,10,470,8,53,免费评估
10,约克大学The University of York,83.7,94,94.7,76.4,19.8,6,453,7,81,免费评估
11,伦敦国王学院King's College London,83.0,88,90.8,74.5,13.8,7,479,7,62,免费评估
12,东英吉利大学University of East Anglia,82.9,95,95,72.5,16.8,10,420,6,60,免费评估
13,杜伦大学Durham University,81.7,87,86.3,74.7,18.2,6,518,7,88,免费评估
14,伦敦政治经济学院The London School of Economics and Political Science,81.0,87,84,70.9,12.3,8,545,5,74,免费评估
15,伦敦大学学院University College London,80.8,79,88.3,60,14.7,10,551,7,-,免费评估
16,肯特大学University of Kent,77.9,91,91.5,74.5,16.6,7,360,8,76,免费评估
17,布里斯托大学University of Bristol,77.3,89.9,92.7,69.6,17.5,5,460,5,79,免费评估
18,埃塞克斯大学University of Essex,76.6,93,92.3,79.4,16.9,6,351,7,62,免费评估
19,莱斯特大学University of Leicester,75.7,90.9,93,70.4,16.8,7,388,6,63,免费评估
20,卡迪夫大学Cardiff University,75.0,92,90.8,65.1,18.8,8,392,7,80,免费评估
21,兰卡斯特大学Lancaster University,73.1,93.9,93.5,73,22,4,424,8,71,免费评估
22,伦敦城市大学City University London,72.1,99,91.3,75.9,21,4,372,7,-,免费评估
23,伦敦大学亚非学院SOAS University of London,71.3,87,87.4,50.8,16.5,7,492,8,-,免费评估
24,诺丁汉大学University of Nottingham,71.2,89,91.8,76.2,21.4,6,425,7,68,免费评估
25,拉夫堡大学Loughborough University,71.0,87.9,89,78.8,20.5,5,370,8,69,免费评估
25,爱丁堡大学The University of Edinburgh,71.0,81,84.1,50.7,17.4,10,487,7,66,免费评估
27,伦敦大学玛丽女王学院Queen Mary University of London,70.0,83.2,88.2,72.8,17.1,8,418,3,70,免费评估
28,诺丁汉特伦特大学Nottingham Trent University,69.4,96,97.7,78,18.8,5,279,5,65,免费评估
29,南安普顿大学University of Southampton,68.8,85.9,86.8,60,15.8,7,401,8,71,免费评估
30,纽卡斯尔大学Newcastle University,68.6,93,90.3,73.9,22.7,5,412,4,75,免费评估
31,谢菲尔德大学The University of Sheffield,68.2,83.8,89,67.1,22.9,6,448,8,69,免费评估
32,格拉斯哥大学University of Glasgow,67.3,90,89,70.2,22.8,7,486,5,57,免费评估
33,伦敦大学皇家霍洛威学院Royal Holloway University of London,66.9,86,93.2,73.1,18.6,3,363,5,73,免费评估
34,赫尔大学The University of Hull,66.6,93.9,94,77.6,15.6,4,350,4,57,免费评估
34,阿斯顿大学Aston University,66.6,92,89.1,70.5,17,4,342,7,72,免费评估
36,牛津布鲁克斯大学Oxford Brookes University,66.4,85.1,91.5,74.1,19.4,5,341,5,-,免费评估
37,普利茅斯大学University of Plymouth,65.5,91,92.5,70.6,21.5,8,273,6,65,免费评估
38,利物浦大学The University of Liverpool,65.1,80.2,89.6,75.1,21.2,7,417,4,65,免费评估
39,斯旺西大学Swansea University,64.8,81,83.2,64.6,23,9,352,8,74,免费评估
40,邓迪大学University of Dundee,64.6,93,93.2,73.5,-,4,354,8,48,免费评估
41,利兹大学University of Leeds,64.2,88.5,91.2,65.7,25.7,6,430,8,68,免费评估
42,西英格兰大学University of the West of England,63.9,96.9,94.5,80.2,27,3,310,8,56,免费评估
43,布鲁内尔大学Brunel University,62.8,93.7,93.8,85.8,21,4,354,1,62,免费评估
44,切斯特大学University of Chester,60.8,88.1,90.3,79.5,14.6,3,258,-,-,免费评估
45,基尔大学Keele University,60.3,93.1,89,72.4,16.6,3,366,3,58,免费评估
46,谢菲尔德哈莱姆大学Sheffield Hallam University,60.2,91,86,74.9,23.2,4,300,8,-,免费评估
47,雷丁大学University of Reading,60.1,91,92.8,66.9,19.6,5,347,3,66,免费评估
48,林肯大学University of Lincoln,60.0,92.1,92.3,85.1,21.1,3,305,2,-,免费评估
49,威斯敏斯特大学University of Westminster,59.4,92.1,90.5,74.2,24.4,4,285,9,53,免费评估
49,曼彻斯特大学The University of Manchester,59.4,82.4,84,63,15.6,7,419,3,64,免费评估
51,布拉德福德大学University of Bradford,59.3,83.2,89.5,69.5,20.3,4,265,8,58,免费评估
52,英国女王大学Queen's University Belfast,58.2,85.9,87,68.5,14.1,5,380,2,61,免费评估
53,朴茨茅斯大学University of Portsmouth,57.8,90,93,76.2,19.4,5,290,3,53,免费评估
54,亚伯大学Aberystwyth University,57.6,91.1,93,63.5,18.5,3,330,7,57,免费评估
55,阿伯丁大学University of Aberdeen,55.8,87,89.8,65.5,28.8,3,447,6,74,免费评估
56,温切斯特大学University of Winchester,55.1,91,91.8,71.1,22.1,2,307,-,-,免费评估
57,萨塞克斯大学University of Sussex,54.9,92,92.5,65.3,24.8,5,396,4,45,免费评估
57,坎特伯雷大学Canterbury Christ Church University,54.9,95,91.7,78.6,31.6,4,239,9,-,免费评估
59,斯特林大学University of Stirling,53.3,89,89.7,74.9,21,3,384,4,50,免费评估
60,阿尔斯特大学University of Ulster,52.4,92,89.5,74,14.8,4,288,3,42,免费评估
61,考文垂大学Coventry University,49.8,81,86.4,79.5,19.5,4,257,1,-,免费评估
62,米德塞斯大学Middlesex University,49.6,87,90.5,72.2,27.4,6,239,-,-,免费评估
63,东伦敦大学University of East London,49.1,70.3,81.8,61.3,23.2,7,249,-,-,免费评估
64,格林威治大学The University of Greenwich,48.3,78.8,82.6,71.7,20.8,3,283,6,-,免费评估
65,伦敦大学金史密斯学院Goldsmiths University of London,47.3,85.3,89.3,71.4,21.5,3,289,2,53,免费评估
66,伦敦都市大学London Metropolitan University,45.6,82.3,90.2,73.8,21.6,2,200,4,53,免费评估
67,西苏格兰大学University of the West of Scotland,45.3,86,86.8,76.2,26.4,4,-,1,-,免费评估
68,诺桑比亚大学Northumbria University,41.4,71,75.8,66.7,15.6,3,347,1,-,免费评估
