Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,圣安德鲁斯大学University of St Andrews,100.0,92.9,91.3,74.4,13.7,8,569,9,90,免费评估
2,剑桥大学University of Cambridge,98.1,95,92,82.9,14.6,-,680,5,93,免费评估
3,牛津大学University of Oxford,96.6,95,91.8,77.2,10.7,-,642,8,85,免费评估
4,华威大学The University of Warwick,94.5,92.1,83.9,72.1,13.7,10,575,4,88,免费评估
5,伦敦大学学院University College London,88.7,94.1,87.5,69.9,16.1,9,544,8,85,免费评估
6,帝国理工学院Imperial College London,88.3,83,83.8,67.6,12.2,10,604,4,78,免费评估
7,伯明翰大学University of Birmingham,87.7,90,86.5,81,15.2,8,459,8,81,免费评估
8,埃克塞特大学University of Exeter,81.7,93,85.2,62.3,12.4,10,480,7,77,免费评估
9,朴茨茅斯大学University of Portsmouth,81.3,94,88.3,74.7,8.6,8,287,10,69,免费评估
10,赫瑞瓦特大学Heriot Watt University,80.7,98,92.2,81,21.3,6,450,7,81,免费评估
11,杜伦大学Durham University,78.7,86,84.5,67.8,13.5,4,612,6,85,免费评估
12,兰卡斯特大学Lancaster University,77.5,90,89.6,74.5,17.6,9,486,4,78,免费评估
13,巴斯大学University of Bath,76.7,91,89.9,83,16.4,4,548,2,83,免费评估
14,斯旺西大学Swansea University,76.4,93,91.5,84.4,18.1,5,361,7,80,免费评估
15,萨里大学University of Surrey,75.5,97,88.3,78,13.3,5,433,7,73,免费评估
16,莱斯特大学University of Leicester,73.4,86,74.3,65.3,15.1,9,388,8,82,免费评估
17,牛津布鲁克斯大学Oxford Brookes University,71.2,92,94.8,83.8,-,5,354,8,-,免费评估
18,利兹大学University of Leeds,70.8,82.8,82.8,73.1,13.2,7,459,6,69,免费评估
19,考文垂大学Coventry University,70.7,92,92.7,73.3,11.2,4,311,9,-,免费评估
20,英国女王大学Queen's University Belfast,70.6,88.1,89.1,76.6,16.8,4,421,7,76,免费评估
21,斯特林大学University of Stirling,70.4,91.9,87.5,66.6,15,6,385,-,-,免费评估
22,谢菲尔德哈莱姆大学Sheffield Hallam University,69.4,95,91.5,78,23.3,4,330,10,73,免费评估
23,南安普顿大学University of Southampton,68.0,87,79.3,59.4,11.4,7,470,3,81,免费评估
24,布里斯托大学University of Bristol,67.9,83,82.4,63.1,15.8,5,526,4,80,免费评估
25,爱丁堡大学The University of Edinburgh,67.5,71,70.6,58.6,17.5,10,531,8,70,免费评估
26,伦敦政治经济学院The London School of Economics and Political Science,67.4,79.9,76.5,67.9,14.7,6,547,4,74,免费评估
27,纽卡斯尔大学Newcastle University,67.3,92,90.3,71.7,16.8,4,459,3,84,免费评估
28,卡迪夫大学Cardiff University,67.0,86.7,80.3,65.6,15.6,5,460,5,87,免费评估
29,诺丁汉大学University of Nottingham,66.9,87.9,84.3,71,19.4,5,499,5,77,免费评估
30,雷丁大学University of Reading,66.3,95,90.5,79.2,14.8,8,363,2,66,免费评估
30,伦敦国王学院King's College London,66.3,85,78.5,69.8,14.1,8,471,3,67,免费评估
32,东英吉利大学University of East Anglia,65.9,96,90.8,67.2,13.6,5,422,4,63,免费评估
33,德比大学University of Derby,65.6,87,89,65.5,13.3,3,287,8,-,免费评估
34,格林威治大学The University of Greenwich,64.5,97,96.3,88.8,29.7,5,300,9,58,免费评估
35,拉夫堡大学Loughborough University,64.1,86.1,85.5,69.7,15.2,4,429,5,76,免费评估
36,利物浦约翰摩尔斯大学Liverpool John Moores University,62.9,-,-,-,15.9,7,305,5,-,免费评估
37,阿伯丁大学University of Aberdeen,62.5,85,82,69.1,13.8,5,418,5,-,免费评估
38,南威尔士大学The University of South Wales,61.3,96,93.2,82.6,21.3,3,351,4,72,免费评估
39,诺丁汉特伦特大学Nottingham Trent University,59.8,91.1,88.3,86,20.4,5,327,6,59,免费评估
39,基尔大学Keele University,59.8,98,95.5,79.6,17.1,2,377,3,69,免费评估
41,约克大学The University of York,59.7,84,77.3,63.6,16.3,5,462,4,78,免费评估
42,格拉斯哥大学University of Glasgow,59.1,80.2,83,67.2,18.9,6,499,3,75,免费评估
43,萨塞克斯大学University of Sussex,58.5,92,78.9,66.8,20.9,6,425,8,60,免费评估
43,谢菲尔德大学The University of Sheffield,58.5,85.1,83.8,73.7,20.3,5,469,4,70,免费评估
45,布鲁内尔大学Brunel University,57.9,89.9,84.7,77.7,15.9,4,346,7,67,免费评估
46,西英格兰大学University of the West of England,57.4,86,92,79.9,17.7,4,317,7,58,免费评估
46,伦敦大学玛丽女王学院Queen Mary University of London,57.4,86,73.5,70.5,13.9,8,390,3,64,免费评估
48,诺桑比亚大学Northumbria University,57.2,100,94.5,87.4,23.8,3,353,1,75,免费评估
48,阿斯顿大学Aston University,57.2,81.2,81.3,64.9,18.2,4,368,6,78,免费评估
50,赫特福德大学University of Hertfordshire,56.8,85,87.3,72.8,18.5,6,318,9,51,免费评估
51,普利茅斯大学University of Plymouth,53.9,96,91.5,89.6,21.3,4,326,4,59,免费评估
52,曼彻斯特城市大学Manchester Metropolitan University,53.3,91,87.8,80,18,3,322,5,61,免费评估
53,金斯顿大学Kingston University,53.0,82,82.3,70.7,15.2,5,271,9,51,免费评估
54,中央兰开夏大学University of Central Lancashire,52.3,68,78.1,60.6,12.5,9,377,3,-,免费评估
55,邓迪大学University of Dundee,50.9,90,79.4,64.7,18.5,3,378,5,-,免费评估
56,曼彻斯特大学The University of Manchester,50.8,80,81.5,64.8,22,6,477,3,66,免费评估
57,波尔顿大学University of Bolton,50.6,97,99.3,82.9,37.3,2,264,-,-,免费评估
58,布莱顿大学University of Brighton,50.3,94,90,63.8,20.8,3,297,3,74,免费评估
59,利物浦大学The University of Liverpool,50.2,85,77.1,71.5,21.8,5,403,6,63,免费评估
60,伦敦大学皇家霍洛威学院Royal Holloway University of London,50.0,93.1,91,79.8,20.3,3,401,2,61,免费评估
60,切斯特大学University of Chester,50.0,86,87.9,82.1,30.2,2,278,7,73,免费评估
62,伦敦城市大学City University London,49.4,82.2,82.8,69.6,16.9,3,379,5,57,免费评估
63,埃塞克斯大学University of Essex,48.8,90,82.3,74.7,18.6,3,359,2,-,免费评估
64,肯特大学University of Kent,40.6,84.8,70.6,55.8,15,4,351,2,72,免费评估
65,亚伯大学Aberystwyth University,40.2,87.1,79.9,76.4,25.7,2,351,2,-,免费评估
66,思克莱德大学University of Strathclyde,37.6,65.7,70.4,54.1,22.1,4,454,2,76,免费评估
67,伦敦都市大学London Metropolitan University,32.5,91,81.3,77.5,33.1,1,176,8,-,免费评估
