Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,圣安德鲁斯大学University of St Andrews,100.0,98,97.5,89,7.1,10,513,8,-,免费评估
2,帝国理工学院Imperial College London,87.5,93,89.5,81.2,15.2,10,574,8,90,免费评估
3,牛津大学University of Oxford,86.8,90.1,88.7,71,6.9,-,647,8,-,免费评估
4,剑桥大学University of Cambridge,84.8,88,82,79.2,9.6,10,632,3,94,免费评估
5,伯明翰大学University of Birmingham,78.8,94.1,92.5,80,9.9,9,434,6,88,免费评估
6,爱丁堡大学The University of Edinburgh,75.8,89.9,81.8,46.3,8.9,10,491,9,90,免费评估
7,伦敦大学学院University College London,73.0,85.9,78.1,57.2,12.1,10,518,8,-,免费评估
8,南安普顿大学University of Southampton,72.5,92.9,84.7,55.5,14.3,8,462,9,95,免费评估
9,萨里大学University of Surrey,71.9,87.9,85.2,78.2,15,5,397,10,84,免费评估
10,布里斯托大学University of Bristol,71.5,89.9,89.3,53.8,11.4,6,493,7,97,免费评估
11,兰卡斯特大学Lancaster University,71.2,84.9,83.9,73.9,10.5,9,436,4,76,免费评估
12,谢菲尔德大学The University of Sheffield,70.7,90.9,86.6,79.9,15.5,9,397,8,87,免费评估
13,纽卡斯尔大学Newcastle University,70.6,90,85,74.7,14.4,9,408,6,88,免费评估
13,格拉斯哥大学University of Glasgow,70.6,95,88.8,68.8,12.5,7,434,7,81,免费评估
15,杜伦大学Durham University,70.3,88,86,72,13.7,6,530,3,-,免费评估
16,巴斯大学University of Bath,70.2,88,86.5,65.9,14.5,8,480,7,95,免费评估
17,曼彻斯特大学The University of Manchester,70.0,88.9,82,73,12.6,9,444,5,86,免费评估
18,约克大学The University of York,68.3,92,85.3,71.9,10.7,9,454,2,85,免费评估
18,利物浦大学The University of Liverpool,68.3,93.1,87.3,66.3,10.7,6,403,8,85,免费评估
20,拉夫堡大学Loughborough University,67.6,86.9,84,73.9,14.6,6,373,8,90,免费评估
21,赫瑞瓦特大学Heriot Watt University,66.2,93,85.3,75.5,10.1,6,421,6,84,免费评估
22,诺丁汉大学University of Nottingham,63.5,81.8,77,59.8,14.3,8,401,8,89,免费评估
23,华威大学The University of Warwick,62.9,75,70,63.7,13.8,8,507,3,97,免费评估
24,伦敦国王学院King's College London,61.9,75,78.7,63.5,12.8,8,422,7,76,免费评估
25,萨塞克斯大学University of Sussex,60.9,88.1,84.4,61.2,13.5,8,381,4,82,免费评估
25,肯特大学University of Kent,60.9,90.1,85.5,62.5,13.5,5,378,5,88,免费评估
27,卡迪夫大学Cardiff University,60.5,89,77.9,64.9,11.9,6,390,5,83,免费评估
28,伦敦大学皇家霍洛威学院Royal Holloway University of London,59.5,89.9,83.7,69.4,11.7,6,367,4,71,免费评估
29,中央兰开夏大学University of Central Lancashire,58.9,92.9,91.8,81.5,-,6,349,4,71,免费评估
30,思克莱德大学University of Strathclyde,58.5,90.9,90.8,66,21.9,3,434,6,86,免费评估
31,艾芝西尔大学Edge Hill University,58.3,88.9,92,82.8,13.6,3,290,7,67,免费评估
32,利兹大学University of Leeds,57.5,87,84.5,76,12.4,5,422,2,-,免费评估
33,西英格兰大学University of the West of England,57.4,81.8,83,66.7,20.6,3,325,10,81,免费评估
33,莱斯特大学University of Leicester,57.4,79,74.8,75.6,12.2,7,373,4,-,免费评估
35,诺桑比亚大学Northumbria University,57.1,86.2,86.7,74.1,18.1,3,337,8,66,免费评估
36,阿伯丁大学University of Aberdeen,56.8,86.9,81,70.7,13.3,5,397,4,-,免费评估
37,桑德兰大学University of Sunderland,56.7,90.9,84.5,77.1,16.7,8,330,4,66,免费评估
37,赫尔大学The University of Hull,56.7,91,87.7,74.1,20.9,3,326,7,75,免费评估
39,斯特林大学University of Stirling,56.6,82.8,81.8,60.6,13.9,4,391,-,-,免费评估
40,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,56.0,77.2,80,72.1,14.5,5,318,9,63,免费评估
41,阿斯顿大学Aston University,55.9,93,79.6,75.3,14.9,4,366,4,70,免费评估
42,考文垂大学Coventry University,55.8,86.1,86.8,82.4,21.8,4,288,8,72,免费评估
42,伯恩茅斯大学Bournemouth University,55.8,80.8,79.2,57.9,16.7,6,339,8,84,免费评估
44,英国女王大学Queen's University Belfast,55.7,91,87.5,72.5,24.1,4,382,7,86,免费评估
45,基尔大学Keele University,55.2,90,86.8,69.1,15.8,7,381,3,64,免费评估
45,阿伯泰邓迪大学University of Abertay Dundee,55.2,85,85.5,63.7,17.4,3,371,6,85,免费评估
47,雷丁大学University of Reading,55.1,79,77.1,53.6,16.3,7,349,5,94,免费评估
48,邓迪大学University of Dundee,54.5,85.1,87.3,63.8,15.6,4,351,7,59,免费评估
49,埃塞克斯大学University of Essex,53.6,88,85.6,79.8,17,4,332,3,74,免费评估
50,米德塞斯大学Middlesex University,53.3,90.1,85.7,82,21,5,253,6,62,免费评估
51,林肯大学University of Lincoln,53.1,81,79.3,74.5,15.1,4,343,3,74,免费评估
52,格林威治大学The University of Greenwich,52.9,86.4,88.2,80,29.4,5,307,10,52,免费评估
53,伦敦大学玛丽女王学院Queen Mary University of London,52.3,93,80.5,61.6,19.3,8,379,3,74,免费评估
54,斯旺西大学Swansea University,52.2,67,70,53.8,11.4,7,303,5,95,免费评估
55,德蒙福特大学De Montfort University,51.7,82,77.9,70.3,17,5,301,7,65,免费评估
56,龙比亚大学Napier University,51.6,85.1,84.8,68.7,22.3,3,333,8,69,免费评估
57,切斯特大学University of Chester,51.5,89.9,86.5,61.8,14.2,4,299,4,68,免费评估
58,牛津布鲁克斯大学Oxford Brookes University,51.4,63.4,73.8,60,11.7,5,427,6,66,免费评估
59,布鲁内尔大学Brunel University,51.2,81,76,77,18,5,347,3,74,免费评估
60,东英吉利大学University of East Anglia,50.8,82.8,76.3,64.7,15.4,8,405,1,74,免费评估
61,赫特福德大学University of Hertfordshire,50.6,86,80,59.4,16.9,4,315,9,57,免费评估
62,伦敦大学金史密斯学院Goldsmiths University of London,50.2,82,80.3,61.2,13.3,3,302,3,78,免费评估
63,伦敦城市大学City University London,50.1,77,75.3,67.1,19,6,392,4,78,免费评估
64,谢菲尔德哈莱姆大学Sheffield Hallam University,49.9,76.2,78.3,63.5,19.5,4,295,9,65,免费评估
64,伯明翰城市大学Birmingham City University,49.9,80.8,76.1,74.3,22.7,3,316,9,63,免费评估
66,索尔福德大学University of Salford,49.8,72.3,76.9,66.7,15.3,4,367,4,62,免费评估
66,朴茨茅斯大学University of Portsmouth,49.8,82,82.2,68.5,19.1,4,309,8,59,免费评估
68,布拉德福德大学University of Bradford,49.6,77,74.9,69.5,15.7,4,285,8,57,免费评估
69,诺丁汉特伦特大学Nottingham Trent University,49.4,75,74.4,63.7,12.9,4,300,4,79,免费评估
70,剑桥安鲁大学Anglia Ruskin University,49.1,75,82.7,75.4,21.8,6,243,7,66,免费评估
71,斯塔福德郡大学Staffordshire University,48.9,81,86.4,66.7,21,4,297,6,67,免费评估
72,曼彻斯特城市大学Manchester Metropolitan University,47.5,78.2,79.4,70.1,15.2,3,329,3,69,免费评估
73,蒂赛德大学Teesside University,46.5,78,79,69.2,18.4,4,362,4,52,免费评估
74,德比大学University of Derby,45.6,66.7,74.8,56,17.2,3,326,5,77,免费评估
74,亚伯大学Aberystwyth University,45.6,67,66.9,52.9,15.7,6,299,7,69,免费评估
76,普利茅斯大学University of Plymouth,45.5,76.8,80.6,60.5,20.1,4,318,5,70,免费评估
77,哈德斯菲尔德大学University of Huddersfield,45.1,62.4,68.6,66.2,19.4,3,320,8,67,免费评估
78,罗伯特高登大学The Robert Gordon University,45.0,76.8,76.3,70.3,19.6,3,347,1,72,免费评估
79,伍斯特大学University of Worcester,43.8,82.2,83,68.6,27.7,2,266,9,67,免费评估
79,北安普顿大学The University of Northampton,43.8,86,83,70.7,31.5,3,286,6,60,免费评估
81,利物浦约翰摩尔斯大学Liverpool John Moores University,43.7,82,77.1,75.2,29.5,3,325,8,56,免费评估
82,贝德福德大学University of Bedfordshire,43.4,76.1,70.4,71.4,18.9,4,218,8,50,免费评估
83,格罗斯特大学University of Gloucestershire,42.3,63,67.9,72.3,23.1,3,262,8,71,免费评估
84,格林多大学Glyndwr University,42.2,74.3,77.6,69.9,21.1,3,328,4,57,免费评估
85,萨福克学院University Campus Suffolk,42.0,76,77.3,72.9,15.8,-,286,2,54,免费评估
86,阿尔斯特大学University of Ulster,41.9,78,74.6,63,19.3,3,312,4,61,免费评估
87,金斯顿大学Kingston University,41.5,69.2,75.7,64.1,16,5,260,3,60,免费评估
88,布莱顿大学University of Brighton,41.3,77.2,72.1,67.7,22,3,283,3,75,免费评估
89,南威尔士大学The University of South Wales,41.2,82,79.6,70.9,22,3,321,2,64,免费评估
90,伦敦南岸大学London South Bank University,39.7,79.8,77.2,68.4,20.8,3,201,8,49,免费评估
91,Leeds Met,39.5,80.8,76.6,70.6,28.9,3,254,7,61,免费评估
92,卡迪夫都市大学Cardiff Metropolitan University,39.3,-,-,-,28.3,2,288,3,-,免费评估
93,坎特伯雷大学Canterbury Christ Church University,38.6,78,81.1,61.5,22.4,3,244,6,-,免费评估
94,班戈大学Bangor University,36.7,66.3,71.1,47.7,18.1,4,267,4,67,免费评估
95,南安普顿索伦特大学Southampton Solent University,36.0,66,66.9,62.4,27.1,4,239,7,64,免费评估
96,西苏格兰大学University of the West of Scotland,35.9,77.2,76.3,61.8,20.9,3,292,3,47,免费评估
97,伦敦都市大学London Metropolitan University,35.4,75,74.4,73.3,17.9,2,204,2,45,免费评估
98,新白金汉大学Buckinghamshire New University,34.8,68,72.7,71.3,19.7,3,222,6,38,免费评估
99,威斯敏斯特大学University of Westminster,34.1,75.2,67.3,57.9,22.9,4,266,4,55,免费评估
100,东伦敦大学University of East London,33.6,77.2,76.8,68.2,21.4,3,233,2,41,免费评估
101,波尔顿大学University of Bolton,29.3,72.3,81.6,61.3,26.3,3,296,1,45,免费评估
102,泰晤士河谷大学Thames Valley University,27.2,62.4,62.1,64.3,14,4,225,1,-,免费评估
