Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,德比大学University of Derby,100.0,87.0,88.8,77.4,11.6,10,318,9,33,免费评估
2,萨里大学University of Surrey,98.1,96.0,92.7,83.8,16.1,-,394,5,44,免费评估
3,牛津布鲁克斯大学Oxford Brookes University,93.3,83.0,88.2,66.9,21,7,376,8,72,免费评估
4,桑德兰大学University of Sunderland,84.9,95.0,93.5,90.7,28.2,10,275,8,25,免费评估
5,考文垂大学Coventry University,84.7,89.0,92.0,75.6,16.6,5,289,9,53,免费评估
6,萨福克学院University Campus Suffolk,82.3,87.9,83.6,69.0,19.1,-,361,8,-,免费评估
7,北安普顿大学The University of Northampton,81.6,93.1,89.5,77.2,24.6,8,280,9,51,免费评估
8,切斯特大学University of Chester,80.7,91.1,87.3,80.8,20.3,6,302,6,54,免费评估
9,赫特福德大学University of Hertfordshire,78.6,88.1,85.2,71.7,21.4,5,351,9,40,免费评估
10,谢菲尔德哈莱姆大学Sheffield Hallam University,76.9,89.9,87.8,74.7,27.2,7,332,6,57,免费评估
11,布莱顿大学University of Brighton,76.5,89.2,83.5,75.7,14.4,7,296,5,42,免费评估
12,中央兰开夏大学University of Central Lancashire,74.5,81.8,76.1,78.8,19.3,9,341,3,46,免费评估
13,威斯敏斯特大学University of Westminster,72.9,91.0,78.9,77.0,22.4,5,302,6,-,免费评估
14,曼彻斯特城市大学Manchester Metropolitan University,72.5,83.0,82.8,64.6,18,6,333,3,59,免费评估
15,利物浦约翰摩尔斯大学Liverpool John Moores University,72.3,81.8,89.6,79.9,21.4,4,-,3,-,免费评估
16,龙比亚大学Napier University,70.6,80.2,79.2,69.2,30.1,4,354,10,47,免费评估
17,奇切斯特大学University of Chichester,70.0,90.0,93.0,70.7,21.1,3,272,9,-,免费评估
18,伯恩茅斯大学Bournemouth University,68.9,76.2,69.5,70.7,22.9,8,332,6,52,免费评估
19,卡迪夫都市大学Cardiff Metropolitan University,66.6,85.0,75.5,69.5,14.7,4,307,8,38,免费评估
20,伯恩茅斯艺术大学Arts University Bournemouth,66.0,78.8,75.2,63.6,26,3,312,4,75,免费评估
21,罗伯特高登大学The Robert Gordon University,65.3,84.0,83.0,76.4,26.1,3,374,4,-,免费评估
22,泰晤士河谷大学Thames Valley University,65.1,84.0,86.0,75.7,20.9,8,232,3,42,免费评估
23,阿尔斯特大学University of Ulster,64.6,90.0,85.8,79.3,23.1,5,295,4,34,免费评估
24,普利茅斯大学University of Plymouth,64.2,82.2,82.3,72.0,21.5,8,298,4,38,免费评估
25,林肯大学University of Lincoln,64.0,83.0,82.3,67.4,31.4,3,313,3,70,免费评估
26,伯明翰大学University of Birmingham,63.8,78.8,69.8,55.9,22.9,10,362,2,-,免费评估
27,东伦敦大学University of East London,63.4,91.0,88.8,86.0,34.1,5,285,7,-,免费评估
28,朴茨茅斯大学University of Portsmouth,63.2,68.7,77.2,66.6,28,4,270,10,-,免费评估
29,哈德斯菲尔德大学University of Huddersfield,61.2,84.0,80.8,70.4,-,3,310,6,56,免费评估
30,格林威治大学The University of Greenwich,59.7,75.8,73.7,63.8,21.9,4,326,8,41,免费评估
31,索尔福德大学University of Salford,58.3,71.0,70.6,68.4,17.3,6,-,4,38,免费评估
32,Leeds Met,53.5,79.0,77.6,59.5,24.1,3,278,4,60,免费评估
33,玛格丽特女王大学Queen Margaret University,51.9,77.2,82.4,67.3,25.4,4,283,3,-,免费评估
34,坎特伯雷大学Canterbury Christ Church University,51.5,76.0,81.0,74.4,24.4,3,265,4,38,免费评估
35,亚伯大学Aberystwyth University,49.2,75.0,79.5,63.3,26.7,4,259,-,-,免费评估
36,伦敦南岸大学London South Bank University,47.3,78.2,81.5,65.9,23.7,5,191,2,-,免费评估
37,新白金汉大学Buckinghamshire New University,43.6,79.0,83.9,71.7,30.3,3,228,3,43,免费评估
38,"St Mary's UC, Twickenham",39.4,66.0,67.0,63.9,29.5,3,270,2,-,免费评估
39,贝德福德大学University of Bedfordshire,33.3,78.0,74.9,69.5,31.7,4,194,2,32,免费评估
40,伦敦都市大学London Metropolitan University,33.1,40.2,59.5,52.3,23,2,268,5,41,免费评估
41,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,32.8,61.6,69.4,58.2,42.1,3,-,4,48,免费评估
