Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,诺丁汉大学University of Nottingham,100.0,92.7,92.5,72.1,11.2,8,388,7,73,免费评估
2,雷丁大学University of Reading,95.1,89.4,88.5,54.3,12.8,10,373,8,84,免费评估
3,利兹大学University of Leeds,94.0,86.2,87.3,69.0,18.3,4,425,8,81,免费评估
4,林肯大学University of Lincoln,89.3,77.2,83.9,58.2,5.2,-,374,8,61,免费评估
5,谢菲尔德哈莱姆大学Sheffield Hallam University,89.1,93.5,96.0,84.8,17.1,4,308,9,64,免费评估
6,纽卡斯尔大学Newcastle University,88.2,95.0,84.8,63.1,10.9,8,362,6,83,免费评估
7,英国女王大学Queen's University Belfast,81.0,100.0,91.8,58.1,14.1,4,362,6,81,免费评估
8,卡迪夫都市大学Cardiff Metropolitan University,80.9,89.1,80.8,72.8,7.4,4,280,8,-,免费评估
9,班戈大学Bangor University,78.4,85.7,86.6,81.6,12.9,4,297,5,-,免费评估
10,哈珀亚当斯大学Harper Adams University,71.1,90.9,89.5,69.7,20.2,3,332,4,80,免费评估
11,瑞特尔学院Writtle College,62.5,78.0,82.0,70.5,8.4,8,286,4,38,免费评估
12,诺丁汉特伦特大学Nottingham Trent University,62.3,76.5,89.9,81.6,14.5,4,324,5,41,免费评估
13,曼彻斯特城市大学Manchester Metropolitan University,62.0,84.8,89.1,67.2,18.1,3,-,4,56,免费评估
14,哥比亚大学University of Cumbria,54.8,87.6,92.6,62.8,23.6,2,282,8,31,免费评估
15,亚伯大学Aberystwyth University,53.9,76.1,87.6,64.3,19.4,9,340,1,41,免费评估
16,苏格兰农业学院Scotland's Rural College,47.9,87.2,81.3,64.6,6.5,5,312,1,19,免费评估
17,皇家农学院Royal Agricultural University,36.5,80.4,74.3,47.1,27.5,4,306,4,58,免费评估
