Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,剑桥大学University of Cambridge,100.0,93.0,93.5,84.4,13.8,10,560,6,65,免费评估
2,圣安德鲁斯大学University of St Andrews,93.8,96.0,96.8,85.9,11.7,7,477,7,63,免费评估
3,考陶尔德艺术学院Courtauld Institute of Art,90.0,100.0,99.2,86.2,10.9,10,445,4,56,免费评估
4,东英吉利大学University of East Anglia,84.2,96.0,97.5,76.0,14.1,3,428,8,73,免费评估
5,华威大学The University of Warwick,83.9,92.0,95.3,80.3,12.3,7,459,4,75,免费评估
6,肯特大学University of Kent,74.4,93.0,94.5,79.8,14.0,3,326,8,77,免费评估
6,约克大学The University of York,74.4,93.0,95.2,78.0,17.7,8,433,7,68,免费评估
8,伦敦大学学院University College London,73.4,83.4,91.4,68.4,13.5,8,496,6,-,免费评估
9,格拉斯哥大学University of Glasgow,73.2,94.1,95.8,79.3,15.7,5,416,6,-,免费评估
10,萨塞克斯大学University of Sussex,66.6,93.0,93.8,71.1,18.5,6,392,6,77,免费评估
11,伦敦大学金史密斯学院Goldsmiths University of London,65.5,84.2,91.3,74.8,12.6,4,403,8,53,免费评估
12,伦敦大学亚非学院SOAS University of London,64.3,90.9,92.7,69.7,9.9,6,415,2,-,免费评估
13,伯明翰大学University of Birmingham,63.9,91.0,95.5,75.0,16.9,5,384,7,-,免费评估
14,利兹大学University of Leeds,62.0,92.6,95.9,80.2,19.1,5,393,8,64,免费评估
15,爱丁堡大学The University of Edinburgh,61.0,84.8,88.2,54.8,16.1,9,480,4,79,免费评估
16,阿伯丁大学University of Aberdeen,55.8,91.0,93.2,71.7,15.5,4,-,5,-,免费评估
17,布里斯托大学University of Bristol,47.9,79.0,90.5,62.2,21.1,3,453,7,69,免费评估
18,曼彻斯特大学The University of Manchester,45.9,88.0,91.5,75.8,14.6,6,370,1,61,免费评估
19,普利茅斯大学University of Plymouth,43.4,85.0,92.2,75.9,22.9,3,274,9,-,免费评估
20,布莱顿大学University of Brighton,43.2,82.0,88.3,70.1,15.5,3,280,4,-,免费评估
21,牛津布鲁克斯大学Oxford Brookes University,33.6,95.0,94.3,82.5,20.1,2,325,1,-,免费评估
22,诺丁汉大学University of Nottingham,32.6,88.0,92.5,67.4,20.8,3,374,6,49,免费评估
