Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,剑桥大学University of Cambridge,100.0,96,95.8,80.4,15.1,10,577,8,91,免费评估
2,牛津大学University of Oxford,93.1,96,94.5,73.7,11.4,-,561,9,84,免费评估
3,伦敦大学玛丽女王学院Queen Mary University of London,85.0,90.9,91.6,77.2,16.4,10,483,8,66,免费评估
4,杜伦大学Durham University,84.5,89.1,92.5,74.5,15.3,6,562,8,84,免费评估
5,伦敦政治经济学院The London School of Economics and Political Science,84.1,86,89,63.3,13.2,9,563,8,85,免费评估
6,伦敦大学学院University College London,82.7,85.9,89,63.5,15.7,-,537,8,91,免费评估
7,伦敦国王学院King's College London,82.5,90,88.3,66.3,19.9,9,545,9,79,免费评估
8,东英吉利大学University of East Anglia,78.9,95,94.5,75.5,16.7,3,412,8,81,免费评估
9,爱丁堡大学The University of Edinburgh,78.5,88.1,93.2,51.1,17.9,10,499,7,89,免费评估
10,约克大学The University of York,77.8,87,91.5,66.7,15.7,6,477,8,78,免费评估
11,阿伯丁大学University of Aberdeen,77.7,94.9,91.3,68.7,22.4,6,480,9,84,免费评估
12,罗伯特高登大学The Robert Gordon University,77.6,94,90.8,73.3,21.9,2,411,10,90,免费评估
13,诺丁汉大学University of Nottingham,76.3,90,92.2,71.4,20.5,7,494,5,78,免费评估
14,龙比亚大学Napier University,75.9,93.9,96.5,81.2,26.4,6,371,9,-,免费评估
15,伦敦大学亚非学院SOAS University of London,75.4,92,93.2,75.8,15.3,6,417,7,64,免费评估
16,牛津布鲁克斯大学Oxford Brookes University,74.9,92.9,94.8,82,15.1,3,371,7,79,免费评估
17,肯特大学University of Kent,74.8,92.1,91,71.3,13.2,6,372,5,80,免费评估
18,格拉斯哥大学University of Glasgow,74.7,92.9,90.2,55.6,23.8,8,532,8,86,免费评估
19,纽卡斯尔大学Newcastle University,74.1,92.9,93.5,71.3,23.1,4,460,8,84,免费评估
20,萨塞克斯大学University of Sussex,72.7,96,94.7,69.5,23.3,8,382,7,79,免费评估
21,英国女王大学Queen's University Belfast,72.6,84,85,72.2,16.3,7,412,8,73,免费评估
22,莱斯特大学University of Leicester,71.9,89,88.2,71.5,19.1,7,388,6,84,免费评估
23,兰卡斯特大学Lancaster University,71.6,95,93.2,73.9,20.2,7,430,6,73,免费评估
24,曼彻斯特大学The University of Manchester,71.5,89.9,89.5,70.5,20.9,7,438,7,77,免费评估
25,伯明翰大学University of Birmingham,71.2,86,87.5,72.3,22.4,9,430,6,82,免费评估
26,华威大学The University of Warwick,71.0,85.9,87.5,60.5,17.7,8,481,7,79,免费评估
27,布莱顿大学University of Brighton,70.2,82,85,72.4,20.9,3,316,10,78,免费评估
27,南安普顿大学University of Southampton,70.2,86.1,88.2,65.8,19.1,7,431,7,75,免费评估
29,利兹大学University of Leeds,70.1,90.6,90.7,62.1,21.5,7,435,7,80,免费评估
30,萨里大学University of Surrey,70.0,92,90.3,78.9,18.8,6,400,3,77,免费评估
31,布里斯托大学University of Bristol,69.3,88,88.5,70.3,23.6,5,485,8,79,免费评估
32,格罗斯特大学University of Gloucestershire,68.9,98,96.7,91.4,27.3,5,302,6,64,免费评估
32,班戈大学Bangor University,68.9,93.9,91.3,82,22.2,3,329,6,72,免费评估
34,邓迪大学University of Dundee,68.8,89,88.2,68.9,18.5,6,463,5,69,免费评估
35,朴茨茅斯大学University of Portsmouth,68.3,95,88.8,75.2,19.8,7,324,4,82,免费评估
35,雷丁大学University of Reading,68.3,91.1,88,74.9,21.9,5,411,6,71,免费评估
37,剑桥安鲁大学Anglia Ruskin University,68.2,95,96.3,88.5,22.2,10,242,4,59,免费评估
37,卡迪夫大学Cardiff University,68.2,90,88.9,72.2,15.4,7,413,4,67,免费评估
