Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,剑桥大学University of Cambridge,100.0,91.7,93.5,80.7,10.1,10,565,7,80,免费评估
2,牛津大学University of Oxford,98.2,94.8,95.7,76.3,10,10,553,7,82,免费评估
3,莱斯特大学University of Leicester,84.2,94.4,94.3,83.5,10.5,8,391,9,76,免费评估
4,杜伦大学Durham University,83.2,94.9,94.0,75.4,13.6,6,528,7,84,免费评估
4,萨塞克斯大学University of Sussex,83.2,88.2,89.4,76.7,6.8,10,396,10,66,免费评估
6,圣安德鲁斯大学University of St Andrews,82.2,87.8,90.8,79.9,11.5,5,508,7,86,免费评估
7,伦敦大学学院University College London,77.6,84.7,90.2,69.4,7.7,9,479,6,72,免费评估
8,南安普顿大学University of Southampton,77.2,89.9,94.5,77.8,9.5,5,423,7,75,免费评估
9,华威大学The University of Warwick,76.6,92.1,95.1,81.7,10.8,6,456,6,74,免费评估
10,埃克塞特大学University of Exeter,76.0,94.4,95.0,78.8,16.3,5,469,7,81,免费评估
11,萨里大学University of Surrey,72.4,89.8,91.8,74.5,-,9,433,3,-,免费评估
12,考文垂大学Coventry University,71.8,98.9,98.4,92.0,15.8,3,309,9,-,免费评估
13,诺桑比亚大学Northumbria University,70.8,93.0,92.6,83.8,-,3,347,9,-,免费评估
14,布里斯托大学University of Bristol,68.2,77.4,88.1,68.8,11.4,6,460,8,75,免费评估
15,肯特大学University of Kent,67.6,95.2,92.3,76.7,12.1,5,347,8,71,免费评估
16,英国女王大学Queen's University Belfast,67.4,93.7,97.3,88.4,15.2,5,386,4,66,免费评估
16,伦敦国王学院King's College London,67.4,82.6,86.0,70.7,10.3,10,436,4,68,免费评估
18,兰卡斯特大学Lancaster University,66.7,86.3,90.3,69.1,12.1,7,442,4,81,免费评估
19,伯明翰大学University of Birmingham,66.5,91.0,94.4,80.1,13.9,6,398,5,80,免费评估
20,利兹大学University of Leeds,66.4,87.7,90.7,75.0,11.4,7,426,5,71,免费评估
21,纽卡斯尔大学Newcastle University,65.6,89.0,94.4,84.4,14.9,4,415,4,80,免费评估
22,巴斯大学University of Bath,63.4,94.3,95.5,73.8,20.1,4,445,8,83,免费评估
23,诺丁汉大学University of Nottingham,63.2,81.1,87.7,67.7,10.2,6,391,6,75,免费评估
24,爱丁堡大学The University of Edinburgh,62.2,84.9,88.9,62.6,14.2,7,487,6,71,免费评估
24,东英吉利大学University of East Anglia,62.2,94.3,94.7,71.9,15.2,3,390,9,-,免费评估
26,曼彻斯特大学The University of Manchester,61.5,85.0,90.1,72.9,10,8,406,5,63,免费评估
27,斯特林大学University of Stirling,61.0,93.2,92.3,82.2,12.3,3,413,3,-,免费评估
28,约克大学The University of York,60.5,84.2,91.8,75.9,10.5,7,419,3,68,免费评估
29,伦敦大学玛丽女王学院Queen Mary University of London,59.2,82.2,88.3,70.3,10.3,9,355,7,59,免费评估
30,谢菲尔德大学The University of Sheffield,59.1,90.1,91.9,73.9,14,4,425,5,70,免费评估
31,伦敦大学亚非学院SOAS University of London,58.5,84.3,87.7,62.3,9.9,6,410,7,63,免费评估
32,利物浦大学The University of Liverpool,57.1,80.4,83.4,75.7,10.2,6,391,5,68,免费评估
33,斯旺西大学Swansea University,57.0,81.8,82.6,82.0,11.3,3,304,8,76,免费评估
34,格拉斯哥大学University of Glasgow,56.4,82.1,90.0,57.8,10.8,4,478,4,69,免费评估
35,龙比亚大学Napier University,56.2,94.0,91.7,83.6,12.9,3,347,-,-,免费评估
36,雷丁大学University of Reading,55.3,86.5,88.1,69.1,10,5,372,4,66,免费评估
37,班戈大学Bangor University,53.7,92.6,91.7,87.1,12.4,2,304,2,73,免费评估
38,曼彻斯特城市大学Manchester Metropolitan University,53.1,79.9,90.1,88.7,10,5,316,6,50,免费评估
39,赫尔大学The University of Hull,52.4,93.2,93.5,71.4,12,3,322,3,67,免费评估
40,卡迪夫大学Cardiff University,51.4,77.8,82.4,64.9,13.1,7,395,5,68,免费评估
41,阿伯丁大学University of Aberdeen,50.1,82.5,89.4,67.2,13.5,4,448,6,58,免费评估
42,埃塞克斯大学University of Essex,50.0,97.3,87.8,75.1,12.5,3,316,6,61,免费评估
43,威斯敏斯特大学University of Westminster,49.3,82.8,84.3,75.1,11.1,4,298,8,56,免费评估
44,亚伯大学Aberystwyth University,48.7,87.9,92.0,68.0,12.5,3,370,2,77,免费评估
45,阿斯顿大学Aston University,48.3,85.2,86.3,74.5,14.6,6,348,6,60,免费评估
46,赫瑞瓦特大学Heriot Watt University,47.3,79.2,84.3,70.6,16.1,9,452,2,57,免费评估
47,牛津布鲁克斯大学Oxford Brookes University,46.9,79.1,92.5,83.6,17.7,2,359,6,-,免费评估
48,朴茨茅斯大学University of Portsmouth,46.3,90.8,89.8,74.9,13.7,5,261,7,59,免费评估
49,罗汉普顿大学Roehampton University,46.0,75.4,82.8,74.8,12.9,5,276,6,-,免费评估
50,赫特福德大学University of Hertfordshire,45.6,93.9,87.2,72.3,10.8,3,329,8,42,免费评估
51,诺丁汉特伦特大学Nottingham Trent University,45.5,87.6,90.1,84.2,10.9,5,284,2,57,免费评估
52,伦敦大学皇家霍洛威学院Royal Holloway University of London,41.3,78.8,82.8,61.5,9.9,5,377,4,51,免费评估
53,谢菲尔德哈莱姆大学Sheffield Hallam University,39.5,88.4,83.4,65.0,14.4,5,305,-,-,免费评估
54,阿尔斯特大学University of Ulster,38.7,86.9,87.6,73.4,12.4,7,269,1,52,免费评估
55,中央兰开夏大学University of Central Lancashire,37.6,71.5,85.0,76.4,18.3,6,293,6,-,免费评估
56,切斯特大学University of Chester,36.5,78.8,79.8,64.6,11.1,3,294,1,83,免费评估
57,伦敦都市大学London Metropolitan University,35.4,54.0,53.2,51.9,8.4,4,-,9,-,免费评估
58,布莱顿大学University of Brighton,35.1,71.0,85.1,67.1,16.1,3,318,-,-,免费评估
59,约克圣约翰大学York St John University,32.9,93.1,92.0,75.5,21.5,3,276,7,50,免费评估
60,思克莱德大学University of Strathclyde,29.7,79.3,86.9,65.5,21.3,3,475,1,71,免费评估
61,利兹贝克特大学Leeds Beckett University,29.4,89.4,87.2,74.6,27.3,3,261,7,-,免费评估
