Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,圣安德鲁斯大学University of St Andrews,100.0,90.8,96.5,78.0,11.6,9,523,5,-,免费评估
2,牛津大学University of Oxford,99.1,92.0,93.2,68.8,11.1,-,593,6,85,免费评估
3,伯明翰大学University of Birmingham,90.6,88.0,94.0,81.2,16.9,5,420,9,92,免费评估
4,剑桥大学University of Cambridge,86.3,88.0,92.0,55.2,14.6,10,622,4,-,免费评估
5,伦敦政治经济学院The London School of Economics and Political Science,84.2,90.1,87.0,80.8,14.9,7,542,5,-,免费评估
6,杜伦大学Durham University,82.1,94.0,90.5,69.0,15,4,528,8,77,免费评估
7,利物浦大学The University of Liverpool,80.7,96.0,97.5,86.6,14.6,9,363,6,-,免费评估
8,南安普顿大学University of Southampton,80.1,92.0,92.0,75.2,12,5,386,9,71,免费评估
9,埃克塞特大学University of Exeter,80.0,93.1,91.5,76.4,15.7,6,489,4,78,免费评估
10,牛津布鲁克斯大学Oxford Brookes University,79.4,91.9,92.9,88.8,14.5,3,317,8,-,免费评估
11,萨塞克斯大学University of Sussex,79.1,98.0,97.7,72.9,17.3,7,378,5,84,免费评估
12,阿伯丁大学University of Aberdeen,78.9,96.4,91.3,74.7,12,5,411,6,68,免费评估
13,利物浦霍普大学Liverpool Hope University,76.6,97.8,99.3,83.9,8.9,3,286,-,-,免费评估
14,肯特大学University of Kent,75.4,95.0,94.2,82.9,15.2,5,333,8,57,免费评估
15,纽卡斯尔大学Newcastle University,74.5,93.1,95.2,83.0,-,7,405,7,-,免费评估
16,伦敦国王学院King's College London,73.6,79.0,90.0,65.5,14.4,5,460,7,81,免费评估
17,利兹大学University of Leeds,72.6,89.1,93.8,73.5,12,5,409,4,74,免费评估
18,雷丁大学University of Reading,71.4,93.0,91.2,76.6,12.8,8,332,5,72,免费评估
19,爱丁堡大学The University of Edinburgh,70.9,83.0,87.8,66.6,17.1,10,461,6,63,免费评估
20,谢菲尔德大学The University of Sheffield,70.3,83.0,90.5,77.2,16,6,416,6,67,免费评估
21,邓迪大学University of Dundee,69.8,97.0,97.8,84.0,23.5,4,368,8,-,免费评估
22,剑桥安鲁大学Anglia Ruskin University,69.4,97.6,97.3,93.8,20.1,9,235,2,-,免费评估
23,班戈大学Bangor University,69.3,97.0,97.0,89.4,18,2,336,-,-,免费评估
24,东英吉利大学University of East Anglia,68.6,100.0,98.7,71.3,13.4,4,383,7,51,免费评估
25,基尔大学Keele University,68.5,97.0,94.2,86.3,20.6,4,327,7,-,免费评估
26,赫特福德大学University of Hertfordshire,68.1,84.0,92.7,71.6,11.6,4,290,6,-,免费评估
27,曼彻斯特城市大学Manchester Metropolitan University,67.9,98.0,95.2,80.0,15,4,315,8,44,免费评估
28,华威大学The University of Warwick,66.5,82.0,87.5,58.8,15.3,7,486,4,82,免费评估
29,布里斯托大学University of Bristol,65.3,83.0,92.0,62.7,17.8,4,486,7,77,免费评估
30,诺丁汉大学University of Nottingham,64.8,79.8,89.7,78.5,18.3,6,411,5,78,免费评估
31,西英格兰大学University of the West of England,63.2,93.0,97.0,84.3,20.7,3,303,8,46,免费评估
32,伦敦大学皇家霍洛威学院Royal Holloway University of London,62.7,88.0,96.0,76.4,19.4,4,392,-,-,免费评估
33,伦敦大学学院University College London,62.6,76.2,82.8,53.0,19.4,8,495,8,78,免费评估
34,兰卡斯特大学Lancaster University,62.0,94.0,90.2,64.1,11.2,7,412,2,-,免费评估
35,曼彻斯特大学The University of Manchester,61.7,79.0,87.0,68.4,14.8,4,401,5,74,免费评估
36,罗汉普顿大学Roehampton University,55.5,85.0,87.2,79.1,-,4,260,9,-,免费评估
37,格拉斯哥大学University of Glasgow,52.3,96.0,94.7,74.5,17.1,6,389,2,46,免费评估
38,约克大学The University of York,51.7,82.2,87.3,65.0,20,5,425,5,74,免费评估
39,卡迪夫大学Cardiff University,51.2,82.0,86.1,75.7,12.2,6,361,1,69,免费评估
40,布莱顿大学University of Brighton,49.9,90.5,95.2,78.1,19.8,5,281,5,52,免费评估
41,中央兰开夏大学University of Central Lancashire,48.9,93.0,94.2,83.0,18.4,4,261,3,-,免费评估
42,斯特林大学University of Stirling,48.8,87.0,93.5,80.0,14.6,3,370,1,-,免费评估
43,海斯罗珀学院Heythrop College of the University of London,48.3,88.1,90.5,72.9,18.8,-,295,10,45,免费评估
44,埃塞克斯大学University of Essex,47.9,94.9,97.0,78.7,21.7,4,288,4,59,免费评估
45,赫尔大学The University of Hull,45.7,78.0,87.5,65.1,14.3,3,300,7,56,免费评估
46,英国女王大学Queen's University Belfast,45.1,92.9,93.5,72.1,15,4,354,1,-,免费评估
47,诺丁汉特伦特大学Nottingham Trent University,36.8,89.1,90.8,76.5,24.4,5,265,-,-,免费评估
48,"特威克南圣玛丽大学St Mary's, Twickenham",33.7,93.9,92.5,81.2,27.6,2,245,-,-,免费评估
