Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,剑桥大学University of Cambridge,100.0,90.7,93.8,79.1,9.9,10,576,7,87,免费评估
2,牛津大学University of Oxford,90.1,88.1,90.7,68.5,9.2,10,552,7,79,免费评估
3,杜伦大学Durham University,85.5,88.2,93.8,75.8,12.4,4,549,8,88,免费评估
4,南安普顿大学University of Southampton,81.6,93.7,95.7,69.4,-,7,437,7,80,免费评估
5,英国女王大学Queen's University Belfast,79.1,97.7,97.0,89.2,13.2,5,377,7,67,免费评估
6,萨里大学University of Surrey,78.3,93.0,94.5,87.4,-,8,446,5,-,免费评估
7,华威大学The University of Warwick,77.8,84.4,92.5,79.7,10.2,6,452,6,78,免费评估
8,莱斯特大学University of Leicester,76.8,91.2,92.5,85.9,10.3,9,373,7,67,免费评估
9,圣安德鲁斯大学University of St Andrews,75.5,84.8,86.8,72.2,10.8,4,494,7,76,免费评估
10,利兹大学University of Leeds,75.1,92.5,94.8,78.2,10.2,5,418,7,71,免费评估
11,伯明翰大学University of Birmingham,74.4,85.2,92.9,78.0,12.8,6,414,7,84,免费评估
12,布里斯托大学University of Bristol,72.3,85.6,90.1,72.7,10.3,5,432,8,71,免费评估
13,兰卡斯特大学Lancaster University,71.7,90.6,92.5,72.5,11.5,5,425,5,81,免费评估
14,诺丁汉大学University of Nottingham,71.0,86.4,89.4,72.4,9.3,6,401,7,77,免费评估
15,伦敦国王学院King's College London,70.8,76.6,88.6,62.8,9.6,9,434,7,73,免费评估
16,伦敦大学学院University College London,70.4,79.3,89.3,65.1,9.1,9,481,6,64,免费评估
17,纽卡斯尔大学Newcastle University,70.0,86.5,91.3,81.8,13.9,5,425,6,80,免费评估
18,埃克塞特大学University of Exeter,69.9,86.5,89.7,78.2,14.9,4,459,7,78,免费评估
19,利物浦大学The University of Liverpool,69.3,85.5,90.8,77.2,8.9,6,364,6,73,免费评估
20,曼彻斯特城市大学Manchester Metropolitan University,68.5,92.9,92.3,87.7,8.5,4,313,6,59,免费评估
21,邓迪大学University of Dundee,67.6,91.9,89.7,77.4,12.4,3,415,6,-,免费评估
22,伦敦大学亚非学院SOAS University of London,67.4,85.6,88.2,69.8,9.3,6,434,7,62,免费评估
23,曼彻斯特大学The University of Manchester,66.2,81.1,88.3,70.3,9.1,8,402,5,68,免费评估
23,雷丁大学University of Reading,66.2,95.3,93.2,73.8,8.5,8,338,4,-,免费评估
25,诺丁汉特伦特大学Nottingham Trent University,66.0,96.3,93.2,83.0,8.9,5,276,5,67,免费评估
26,谢菲尔德大学The University of Sheffield,65.6,91.2,92.9,78.3,12.8,4,409,6,64,免费评估
27,赫瑞瓦特大学Heriot Watt University,65.1,90.2,88.0,67.9,11.3,9,431,2,77,免费评估
