Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,剑桥大学University of Cambridge,100.0,93.9,94.9,78.5,13.5,10,552,8,-,免费评估
2,格拉斯哥大学University of Glasgow,83.8,89.0,96.8,80.2,14.8,7,452,8,-,免费评估
3,巴斯大学University of Bath,81.0,90.9,91.5,77.4,12,8,392,7,73,免费评估
4,兰卡斯特大学Lancaster University,79.7,100.0,94.0,77.6,10.6,-,362,7,-,免费评估
5,杜伦大学Durham University,78.7,84.8,90.0,70.1,19.8,6,452,8,79,免费评估
6,萨里大学University of Surrey,78.1,93.9,96.2,85.4,16.1,7,416,7,55,免费评估
7,爱丁堡大学The University of Edinburgh,77.6,86.9,90.2,57.7,12.9,10,482,9,-,免费评估
8,埃克塞特大学University of Exeter,75.4,95.0,92.5,85.6,15.7,5,433,8,-,免费评估
9,莱斯特大学University of Leicester,74.5,94.0,94.3,78.8,17.4,6,349,8,66,免费评估
10,华威大学The University of Warwick,72.9,82.0,89.8,73.3,14.8,-,407,7,59,免费评估
11,曼彻斯特大学The University of Manchester,72.1,75.2,83.9,64.7,10.3,10,373,7,64,免费评估
12,利兹大学University of Leeds,71.5,88.1,91.5,78.4,16.7,6,404,8,55,免费评估
13,阿伯丁大学University of Aberdeen,71.2,93.0,90.8,64.5,16,5,443,6,67,免费评估
14,谢菲尔德大学The University of Sheffield,70.0,92.0,91.0,71.2,13.4,6,365,8,62,免费评估
15,英国女王大学Queen's University Belfast,69.9,89.0,91.5,76.6,12.8,7,338,6,64,免费评估
16,伦敦大学金史密斯学院Goldsmiths University of London,69.3,94.1,93.2,80.2,-,5,335,6,52,免费评估
16,萨塞克斯大学University of Sussex,69.3,92.0,92.0,62.0,20.9,6,362,8,78,免费评估
18,诺丁汉大学University of Nottingham,68.7,85.0,90.8,64.8,16.1,9,366,5,70,免费评估
19,拉夫堡大学Loughborough University,68.1,92.0,91.8,76.2,13.7,6,366,5,-,免费评估
20,剑桥安鲁大学Anglia Ruskin University,67.2,92.0,96.5,85.6,16.8,9,247,8,43,免费评估
21,北安普顿大学The University of Northampton,66.9,87.1,96.2,88.4,20.2,7,243,9,-,免费评估
22,卡迪夫大学Cardiff University,65.5,89.0,88.8,71.9,14.7,10,369,3,57,免费评估
23,南安普顿大学University of Southampton,65.0,95.0,83.0,63.9,12.3,7,387,5,69,免费评估
24,肯特大学University of Kent,64.9,94.1,89.3,75.7,13.3,8,326,4,63,免费评估
25,约克大学The University of York,63.7,91.0,94.0,80.4,16.6,5,377,3,59,免费评估
26,威斯敏斯特大学University of Westminster,63.3,89.7,89.0,83.0,22.8,4,274,10,47,免费评估
27,埃塞克斯大学University of Essex,62.2,95.0,88.1,74.5,14.9,4,302,7,60,免费评估
27,斯特林大学University of Stirling,62.2,80.0,88.7,66.5,12.3,7,385,5,-,免费评估
29,伯恩茅斯大学Bournemouth University,61.2,74.3,90.0,68.3,12.4,10,269,8,-,免费评估
30,纽卡斯尔大学Newcastle University,59.7,86.0,84.4,71.7,13.9,7,375,5,51,免费评估
31,伯明翰大学University of Birmingham,59.1,55.0,70.4,60.4,17.6,8,370,8,78,免费评估
32,班戈大学Bangor University,57.7,94.0,90.5,83.0,16.3,4,325,3,57,免费评估
33,阿斯顿大学Aston University,57.3,96.0,88.8,78.4,19.9,6,324,6,50,免费评估
34,牛津布鲁克斯大学Oxford Brookes University,56.9,91.0,94.0,86.6,20.9,2,322,-,-,免费评估
35,罗汉普顿大学Roehampton University,56.8,90.1,92.8,71.1,16.3,10,248,6,43,免费评估
36,朴茨茅斯大学University of Portsmouth,56.6,94.0,93.1,76.8,20.3,5,294,8,50,免费评估
37,伦敦大学皇家霍洛威学院Royal Holloway University of London,56.5,91.5,89.7,72.9,14.7,5,347,4,-,免费评估
