Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,布里斯托大学University of Bristol,100.0,100.0,97.1,85.4,12.4,8,169.0,6.0,,免费评估
2,英国女王大学Queen's University Belfast,96.3,100.0,96.0,81.3,12.1,5,160.0,7.0,98.0,免费评估
3,Cardiff,93.1,94.0,94.3,71.0,12.0,8,160.0,7.0,97.0,免费评估
4,阿尔斯特大学University of Ulster,92.6,93.0,94.3,89.0,14.9,3,151.0,8.0,,免费评估
5,基尔大学Keele University,91.5,98.0,96.0,84.8,16.1,4,147.0,5.0,100.0,免费评估
6,诺丁汉大学University of Nottingham,90.6,86.0,84.5,57.1,13.7,8,178.0,7.0,100.0,免费评估
7,罗伯特高登大学The Robert Gordon University,89.5,95.0,95.8,73.0,16.3,3,196.0,6.0,100.0,免费评估
8,伦敦大学学院University College London,89.4,89.1,91.0,65.5,13.2,8,186.0,5.0,97.0,免费评估
9,雷丁大学University of Reading,87.0,98.0,95.8,70.4,15.6,5,136.0,7.0,100.0,免费评估
10,爱丁堡大学The University of Edinburgh,86.0,91.0,89.8,59.7,9.6,10,,3.0,,免费评估
11,利兹大学University of Leeds,85.1,97.5,91.5,73.4,11.9,5,173.0,4.0,,免费评估
12,曼彻斯特大学The University of Manchester,84.4,82.0,83.7,68.9,10.8,10,168.0,4.0,93.0,免费评估
13,朴茨茅斯大学University of Portsmouth,83.5,90.0,92.8,73.8,11.8,6,127.0,7.0,96.0,免费评估
14,阿伯丁大学University of Aberdeen,81.8,100.0,95.6,66.6,15.9,6,155.0,4.0,,免费评估
15,东英吉利大学University of East Anglia,80.7,88.0,92.0,71.4,13.2,5,144.0,5.0,98.0,免费评估
16,思克莱德大学University of Strathclyde,79.6,86.1,83.0,65.1,21.6,7,226.0,6.0,97.0,免费评估
17,阿斯顿大学Aston University,78.0,93.9,91.3,79.3,22.1,4,139.0,6.0,100.0,免费评估
18,利物浦大学The University of Liverpool,76.8,99.0,98.5,74.0,10.5,10,151.0,2.0,82.0,免费评估
19,梅德韦药学院Medway School of Pharmacy,76.5,85.1,84.0,61.8,18.7,6,126.0,9.0,99.0,免费评估
20,金斯顿大学Kingston University,75.1,88.9,87.3,74.7,20.1,7,131.0,9.0,95.0,免费评估
21,格拉斯哥大学University of Glasgow,74.6,82.0,92.0,57.7,17.7,7,208.0,2.0,,免费评估
22,巴斯大学University of Bath,74.3,89.9,87.3,61.0,16.4,5,163.0,4.0,97.0,免费评估
23,伯明翰大学University of Birmingham,73.9,86.0,92.5,54.8,18.2,5,157.0,,,免费评估
24,哈德斯菲尔德大学University of Huddersfield,71.9,88.0,87.5,69.2,17.2,4,129.0,6.0,98.0,免费评估
25,利物浦约翰摩尔斯大学Liverpool John Moores University,70.1,80.0,81.8,65.8,15.9,3,139.0,7.0,95.0,免费评估
26,布拉德福德大学University of Bradford,69.8,86.9,85.2,70.3,18.2,3,138.0,7.0,95.0,免费评估
27,King's College London,69.6,84.8,87.6,47.9,19.3,6,160.0,5.0,96.0,免费评估
28,玛格丽特女王大学Queen Margaret University,68.9,91.0,92.4,71.7,,2,127.0,6.0,,免费评估
29,德蒙福特大学De Montfort University,67.8,86.1,86.0,62.4,16.1,4,126.0,7.0,95.0,免费评估
30,中央兰开夏大学University of Central Lancashire,65.0,75.8,71.4,33.1,16.1,3,154.0,8.0,98.0,免费评估
31,布莱顿大学University of Brighton,64.7,84.0,86.2,66.2,23.6,3,124.0,8.0,97.0,免费评估
32,赫特福德大学University of Hertfordshire,62.3,75.8,84.7,63.9,13.9,3,121.0,3.0,95.0,免费评估
33,桑德兰大学University of Sunderland,57.4,74.3,80.2,41.6,17.0,3,121.0,7.0,98.0,免费评估
34,东伦敦大学University of East London,52.1,84.7,81.8,75.1,23.8,3,97.0,3.0,,免费评估
35,伦敦都市大学London Metropolitan University,38.5,83.2,80.3,74.3,22.4,3,89.0,1.0,,免费评估
