Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,剑桥大学University of Cambridge,100.0,97.0,96.3,82.2,13.5,10.0,216.0,7.0,79.0,免费评估
2,牛津大学University of Oxford,93.7,93.7,93.7,66.2,12.3,10.0,214.0,7.0,80.0,免费评估
3,圣安德鲁斯大学University of St Andrews,92.0,95.6,95.7,86.1,13.3,7.0,194.0,7.0,76.0,免费评估
4,杜伦大学Durham University,89.9,94.0,95.5,81.6,16.3,4.0,215.0,7.0,81.0,免费评估
5,兰卡斯特大学Lancaster University,89.8,96.0,94.5,81.6,11.5,7.0,163.0,7.0,84.0,免费评估
6,King's College London,86.2,87.1,95.0,74.9,13.4,8.0,167.0,7.0,83.0,免费评估
7,华威大学The University of Warwick,85.0,92.0,94.5,82.4,15.3,7.0,182.0,8.0,78.0,免费评估
8,萨塞克斯大学University of Sussex,84.6,93.1,94.7,72.4,14.8,8.0,141.0,9.0,87.0,免费评估
9,伦敦政治经济学院The London School of Economics and Political Science,84.1,87.4,84.8,73.3,14.4,8.0,189.0,7.0,86.0,免费评估
10,伦敦大学学院University College London,84.0,86.4,92.5,70.3,13.7,8.0,186.0,7.0,80.0,免费评估
11,埃克塞特大学University of Exeter,83.9,94.0,96.8,84.8,18.8,5.0,182.0,7.0,78.0,免费评估
12,伦敦大学玛丽女王学院Queen Mary University of London,83.8,94.0,96.5,78.6,13.4,8.0,142.0,7.0,71.0,免费评估
13,利兹大学University of Leeds,83.7,94.9,97.2,82.8,16.5,8.0,173.0,8.0,69.0,免费评估
14,伦敦大学亚非学院SOAS University of London,83.5,94.9,96.0,77.1,14.1,7.0,147.0,9.0,69.0,免费评估
15,东英吉利大学University of East Anglia,83.4,100.0,98.8,80.6,14.6,4.0,160.0,9.0,60.0,免费评估
16,哈德斯菲尔德大学University of Huddersfield,81.2,93.5,95.5,87.4,12.9,4.0,122.0,8.0,67.0,免费评估
17,Lincoln,80.8,98.0,98.8,87.5,15.9,5.0,125.0,8.0,57.0,免费评估
18,伯明翰大学University of Birmingham,80.1,92.0,94.8,75.2,17.6,7.0,163.0,7.0,83.0,免费评估
19,德蒙福特大学De Montfort University,78.7,98.0,95.0,90.0,13.9,6.0,98.0,9.0,,免费评估
20,布鲁内尔大学Brunel University,78.5,95.0,96.0,88.8,13.9,3.0,116.0,8.0,53.0,免费评估
20,曼彻斯特大学The University of Manchester,78.5,90.0,93.8,75.0,12.8,7.0,160.0,6.0,65.0,免费评估
22,肯特大学University of Kent,78.4,93.9,93.5,76.8,16.0,5.0,138.0,8.0,77.0,免费评估
23,约克大学The University of York,77.9,91.0,95.5,84.3,18.3,5.0,167.0,7.0,66.0,免费评估
24,格拉斯哥大学University of Glasgow,77.8,94.0,96.5,79.4,18.9,8.0,186.0,7.0,57.0,免费评估
25,诺丁汉大学University of Nottingham,75.9,89.0,92.8,76.4,17.3,4.0,159.0,8.0,79.0,免费评估
26,蒂赛德大学Teesside University,75.7,92.0,94.3,88.4,12.1,4.0,104.0,7.0,50.0,免费评估
26,拉夫堡大学Loughborough University,75.7,96.0,94.7,79.1,15.1,6.0,142.0,7.0,,免费评估
28,邓迪大学University of Dundee,75.0,90.5,98.0,78.8,11.7,4.0,148.0,4.0,61.0,免费评估
29,利物浦大学The University of Liverpool,74.5,89.0,94.2,83.6,15.5,7.0,148.0,8.0,63.0,免费评估
30,索尔福德大学University of Salford,74.2,92.0,95.5,84.0,14.0,4.0,114.0,7.0,,免费评估
31,伦敦大学皇家霍洛威学院Royal Holloway University of London,73.7,92.0,94.3,82.8,17.9,5.0,144.0,8.0,68.0,免费评估
32,基尔大学Keele University,73.5,93.0,93.8,79.0,12.9,5.0,124.0,6.0,64.0,免费评估
33,赫尔大学The University of Hull,73.4,94.0,93.5,82.5,15.1,4.0,122.0,7.0,55.0,免费评估
34,利物浦霍普大学Liverpool Hope University,72.8,100.0,96.0,84.0,14.6,3.0,110.0,5.0,,免费评估
35,布里斯托大学University of Bristol,72.3,83.0,92.5,61.3,19.9,5.0,192.0,8.0,75.0,免费评估
35,Cardiff,72.3,87.1,91.3,73.7,15.4,7.0,145.0,7.0,55.0,免费评估
37,莱斯特大学University of Leicester,72.0,92.0,93.0,71.6,19.4,8.0,136.0,8.0,67.0,免费评估
38,雷丁大学University of Reading,71.8,92.0,94.0,75.4,14.6,6.0,134.0,7.0,63.0,免费评估
39,纽曼大学Newman University,71.5,96.0,97.0,87.9,18.5,4.0,113.0,6.0,,免费评估
40,利物浦约翰摩尔斯大学Liverpool John Moores University,71.4,95.0,92.0,88.6,20.9,5.0,126.0,8.0,54.0,免费评估
41,埃塞克斯大学University of Essex,70.9,97.0,93.0,79.3,16.5,4.0,126.0,4.0,74.0,免费评估
42,南安普顿大学University of Southampton,70.6,90.1,93.5,80.4,21.0,4.0,141.0,8.0,65.0,免费评估
43,诺桑比亚大学Northumbria University,69.9,99.0,96.3,78.4,14.5,4.0,138.0,5.0,57.0,免费评估
43,英国女王大学Queen's University Belfast,69.9,90.1,91.0,79.1,15.2,5.0,141.0,4.0,62.0,免费评估
45,谢菲尔德大学The University of Sheffield,69.8,93.1,93.0,74.5,23.2,5.0,159.0,8.0,75.0,免费评估
46,德比大学University of Derby,69.3,98.0,99.5,87.0,18.9,5.0,94.0,8.0,40.0,免费评估
47,Suffolk,69.2,87.5,97.8,89.2,15.3,,95.0,4.0,,免费评估
48,思克莱德大学University of Strathclyde,69.0,96.0,94.7,75.9,21.3,9.0,195.0,5.0,50.0,免费评估
49,艾芝西尔大学Edge Hill University,68.6,94.0,94.7,79.3,14.9,3.0,117.0,1.0,68.0,免费评估
50,斯旺西大学Swansea University,68.4,93.9,91.2,77.0,15.5,6.0,112.0,6.0,67.0,免费评估
