Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,帝国理工学院Imperial College London,100.0,99.0,99.8,100.0,10.9,9.0,206,6.0,84.0,免费评估
2,牛津大学University of Oxford,83.7,91.0,92.7,48.1,8.6,10.0,228,7.0,88.0,免费评估
3,杜伦大学Durham University,77.2,97.0,93.5,74.3,9.9,5.0,185,8.0,84.0,免费评估
4,雷丁大学University of Reading,71.5,85.0,89.4,77.0,,10.0,142,9.0,66.0,免费评估
5,格拉斯哥大学University of Glasgow,71.3,85.8,94.2,64.5,9.8,5.0,191,6.0,83.0,免费评估
6,圣安德鲁斯大学University of St Andrews,70.7,95.0,96.0,68.6,12.4,3.0,200,8.0,,免费评估
7,布里斯托大学University of Bristol,69.0,93.9,96.5,68.3,11.8,5.0,176,4.0,88.0,免费评估
8,伦敦大学学院University College London,68.0,84.0,82.2,68.3,7.7,,168,9.0,66.0,免费评估
9,利兹大学University of Leeds,66.2,90.1,90.8,63.4,7.6,4.0,162,8.0,76.0,免费评估
10,东英吉利大学University of East Anglia,64.8,94.0,92.7,72.3,10.2,6.0,149,7.0,72.0,免费评估
11,爱丁堡大学The University of Edinburgh,62.2,91.2,92.6,71.7,12.9,8.0,197,6.0,58.0,免费评估
12,纽卡斯尔大学Newcastle University,61.5,98.3,97.6,74.1,12.9,7.0,139,8.0,,免费评估
13,伯明翰大学University of Birmingham,58.8,91.6,91.4,71.8,13.8,8.0,146,7.0,70.0,免费评估
14,西英格兰大学University of the West of England,58.5,91.9,96.0,88.4,18.7,4.0,110,10.0,,免费评估
15,利物浦大学The University of Liverpool,57.7,92.0,93.3,79.9,17.9,6.0,143,8.0,70.0,免费评估
16,伦敦大学皇家霍洛威学院Royal Holloway University of London,57.2,93.9,91.2,71.7,13.4,6.0,147,6.0,83.0,免费评估
17,曼彻斯特大学The University of Manchester,56.2,78.2,82.1,66.8,10.1,9.0,155,4.0,73.0,免费评估
18,北安普顿大学The University of Northampton,53.6,94.0,94.8,81.6,11.0,3.0,87,,,免费评估
19,莱斯特大学University of Leicester,52.4,97.0,97.2,75.6,12.3,6.0,142,2.0,65.0,免费评估
20,班戈大学Bangor University,49.2,94.2,92.9,66.7,16.2,4.0,127,6.0,69.0,免费评估
21,Plymouth,47.7,91.8,92.8,75.0,14.4,4.0,115,7.0,62.0,免费评估
22,埃克塞特大学University of Exeter,47.6,87.6,90.3,56.2,17.0,5.0,162,2.0,88.0,免费评估
23,曼彻斯特城市大学Manchester Metropolitan University,45.4,82.4,87.9,82.6,12.3,4.0,115,3.0,,免费评估
24,南安普顿大学University of Southampton,44.2,86.1,86.4,58.4,14.3,5.0,151,4.0,63.0,免费评估
25,Cardiff,42.5,90.6,92.1,64.9,14.3,6.0,134,3.0,55.0,免费评估
25,基尔大学Keele University,42.5,100.0,97.7,77.4,19.0,3.0,117,4.0,63.0,免费评估
27,德比大学University of Derby,41.7,95.6,95.0,83.6,17.7,3.0,101,3.0,66.0,免费评估
28,亚伯大学Aberystwyth University,39.8,98.2,95.7,78.9,19.4,3.0,113,2.0,,免费评估
28,艾芝西尔大学Edge Hill University,39.8,91.7,92.4,83.2,18.1,3.0,111,2.0,,免费评估
30,阿尔斯特大学University of Ulster,36.8,96.8,93.8,79.5,18.6,3.0,110,8.0,37.0,免费评估
31,朴茨茅斯大学University of Portsmouth,36.4,87.1,87.4,65.9,17.1,4.0,113,4.0,74.0,免费评估
32,阿伯丁大学University of Aberdeen,31.2,84.2,90.2,42.9,18.2,4.0,166,3.0,61.0,免费评估
33,苏格兰农业学院Scotland's Rural College,31.0,74.8,87.5,48.2,9.5,3.0,144,1.0,,免费评估
34,布莱顿大学University of Brighton,27.4,86.6,87.2,69.3,19.1,2.0,107,6.0,48.0,免费评估
