Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,巴斯大学University of Bath,100.0,96.0,94.2,88.1,13.0,7.0,182.0,8,78.0,免费评估
2,圣安德鲁斯大学University of St Andrews,98.1,86.0,90.3,75.0,10.6,8.0,207.0,9,79.0,免费评估
3,剑桥大学University of Cambridge,97.2,95.0,96.0,80.2,10.9,10.0,208.0,8,,免费评估
4,牛津大学University of Oxford,95.8,94.0,95.8,82.7,,10.0,222.0,7,75.0,免费评估
5,伦敦大学学院University College London,86.5,89.9,87.8,70.9,11.9,,192.0,7,82.0,免费评估
6,拉夫堡大学Loughborough University,86.4,91.0,93.0,84.0,14.9,7.0,156.0,7,84.0,免费评估
7,杜伦大学Durham University,82.6,91.8,89.5,75.6,16.5,5.0,193.0,7,78.0,免费评估
8,萨里大学University of Surrey,82.1,89.0,90.8,70.6,13.8,7.0,166.0,7,78.0,免费评估
9,约克大学The University of York,80.9,96.0,96.3,77.2,18.0,7.0,168.0,7,71.0,免费评估
10,伯明翰大学University of Birmingham,79.8,85.9,90.3,56.0,15.4,8.0,166.0,8,85.0,免费评估
11,东英吉利大学University of East Anglia,79.5,92.9,93.2,75.4,14.2,8.0,150.0,8,60.0,免费评估
12,埃克塞特大学University of Exeter,78.8,87.0,89.1,64.0,14.0,6.0,178.0,6,76.0,免费评估
13,Cardiff,78.7,94.0,91.8,69.4,14.7,10.0,159.0,7,57.0,免费评估
14,肯特大学University of Kent,78.4,93.1,90.5,68.4,14.9,5.0,157.0,6,85.0,免费评估
15,格拉斯哥大学University of Glasgow,78.3,84.2,88.5,53.6,17.6,8.0,191.0,9,74.0,免费评估
16,莱斯特大学University of Leicester,77.8,90.1,89.6,84.9,20.8,9.0,146.0,9,69.0,免费评估
17,纽卡斯尔大学Newcastle University,77.4,92.0,91.8,67.5,16.5,7.0,160.0,8,72.0,免费评估
18,萨塞克斯大学University of Sussex,77.1,88.9,90.2,61.6,16.7,8.0,146.0,7,88.0,免费评估
19,伦敦大学皇家霍洛威学院Royal Holloway University of London,76.3,90.1,89.5,70.1,13.8,6.0,161.0,7,66.0,免费评估
19,阿伯丁大学University of Aberdeen,76.3,89.9,88.0,71.0,16.4,5.0,143.0,8,73.0,免费评估
21,思克莱德大学University of Strathclyde,74.3,97.0,97.7,79.5,18.0,8.0,199.0,4,48.0,免费评估
22,诺丁汉特伦特大学Nottingham Trent University,73.7,92.0,91.4,81.7,14.9,6.0,138.0,8,61.0,免费评估
23,曼彻斯特大学The University of Manchester,73.4,82.0,88.0,65.1,13.2,8.0,162.0,7,64.0,免费评估
23,白金汉大学The University of Buckingham,73.4,97.5,97.0,90.4,10.6,3.0,,3,,免费评估
25,Lincoln,73.2,95.0,93.2,85.6,16.6,4.0,132.0,5,61.0,免费评估
26,爱丁堡大学The University of Edinburgh,73.1,77.0,85.0,54.8,12.1,8.0,204.0,8,54.0,免费评估
27,朴茨茅斯大学University of Portsmouth,72.3,92.9,90.7,78.5,15.5,6.0,129.0,8,65.0,免费评估
