Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,谢菲尔德大学The University of Sheffield,100.0,94.9,94.2,72.1,16.7,8,148.0,7.0,86.0,免费评估
2,思克莱德大学University of Strathclyde,98.4,74.0,91.5,68.7,12.0,2,196.0,,,免费评估
3,牛津布鲁克斯大学Oxford Brookes University,95.6,90.0,97.0,78.6,16.4,5,139.0,8.0,,免费评估
4,金斯顿大学Kingston University,95.5,92.0,89.8,81.0,9.9,10,126.0,3.0,,免费评估
5,Cardiff,90.6,96.0,94.0,78.1,15.1,8,138.0,7.0,57.0,免费评估
6,利物浦约翰摩尔斯大学Liverpool John Moores University,89.2,88.4,88.4,79.4,15.5,7,122.0,10.0,65.0,免费评估
7,诺丁汉特伦特大学Nottingham Trent University,82.7,84.4,84.1,77.9,17.3,6,133.0,7.0,73.0,免费评估
8,罗伯特高登大学The Robert Gordon University,82.1,93.0,88.0,73.4,15.8,4,173.0,3.0,71.0,免费评估
9,考文垂大学Coventry University,81.3,82.6,86.5,81.2,16.6,6,127.0,9.0,,免费评估
10,萨塞克斯大学University of Sussex,81.2,82.0,82.6,63.8,16.4,9,141.0,,,免费评估
11,Lincoln,81.0,81.9,82.6,63.3,15.6,7,133.0,7.0,82.0,免费评估
12,西英格兰大学University of the West of England,80.2,81.0,84.9,68.4,14.2,9,117.0,8.0,64.0,免费评估
13,利兹大学University of Leeds,79.7,85.5,80.5,68.0,17.8,8,160.0,7.0,,免费评估
14,斯特林大学University of Stirling,78.2,92.1,89.6,71.7,19.4,4,168.0,8.0,,免费评估
15,法尔茅斯大学Falmouth University,77.4,89.1,84.3,77.0,15.8,8,116.0,7.0,,免费评估
16,伦敦城市大学City University London,76.5,80.0,82.8,60.1,17.8,5,126.0,7.0,,免费评估
17,德蒙福特大学De Montfort University,75.5,96.0,91.4,83.3,18.0,4,99.0,7.0,79.0,免费评估
18,曼彻斯特城市大学Manchester Metropolitan University,75.1,67.3,77.1,63.0,11.4,7,127.0,,,免费评估
19,肯特大学University of Kent,74.9,65.7,70.1,69.6,10.7,10,139.0,3.0,,免费评估
20,龙比亚大学Napier University,72.6,62.5,82.3,60.5,15.5,5,158.0,8.0,63.0,免费评估
21,艾芝西尔大学Edge Hill University,72.5,84.0,92.6,74.9,16.5,2,117.0,,,免费评估
22,伯恩茅斯大学Bournemouth University,72.0,78.9,81.1,61.0,19.8,8,129.0,8.0,84.0,免费评估
23,温切斯特大学University of Winchester,71.8,75.4,92.0,68.2,17.3,2,,9.0,,免费评估
24,利兹贝克特大学Leeds Beckett University,69.7,88.9,95.0,83.0,21.7,4,108.0,4.0,72.0,免费评估
25,格罗斯特大学University of Gloucestershire,69.3,87.6,90.3,72.1,17.8,5,103.0,7.0,60.0,免费评估
26,德比大学University of Derby,69.2,87.1,89.2,78.7,18.0,7,108.0,4.0,,免费评估
27,桑德兰大学University of Sunderland,69.0,80.5,86.3,74.2,13.8,7,120.0,4.0,65.0,免费评估
28,诺桑比亚大学Northumbria University,67.1,87.0,86.7,70.3,17.8,3,141.0,8.0,41.0,免费评估
29,创意艺术大学University for the Creative Arts,66.4,81.1,89.2,80.8,15.2,9,93.0,5.0,51.0,免费评估
30,蒂赛德大学Teesside University,66.2,61.0,79.7,72.6,15.7,4,109.0,8.0,70.0,免费评估
31,罗汉普顿大学Roehampton University,65.8,87.0,89.5,79.1,15.2,3,98.0,5.0,,免费评估
32,瑞文斯博学院Ravensbourne College,65.2,100.0,98.5,100.0,30.1,3,97.0,,,免费评估
33,北安普顿大学The University of Northampton,64.2,81.2,82.5,76.7,16.9,6,111.0,3.0,,免费评估
33,斯塔福德郡大学Staffordshire University,64.2,72.0,79.8,66.4,12.9,5,108.0,5.0,69.0,免费评估
35,贝德福德大学University of Bedfordshire,63.9,87.7,88.0,84.4,13.1,7,91.0,2.0,52.0,免费评估
36,索尔福德大学University of Salford,61.3,79.8,87.7,83.0,22.9,3,123.0,8.0,67.0,免费评估
37,南安普顿索伦特大学Southampton Solent University,60.6,82.5,81.8,71.7,12.5,4,103.0,3.0,60.0,免费评估
38,坎特伯雷大学Canterbury Christ Church University,60.2,68.6,75.3,64.2,17.6,4,115.0,8.0,,免费评估
39,中央兰开夏大学University of Central Lancashire,60.1,65.6,68.1,57.2,16.2,6,121.0,9.0,62.0,免费评估
40,谢菲尔德哈莱姆大学Sheffield Hallam University,59.7,76.4,75.4,67.8,16.3,7,109.0,8.0,60.0,免费评估
41,东伦敦大学University of East London,59.6,60.4,75.8,71.0,15.9,6,111.0,8.0,53.0,免费评估
42,巴斯斯巴大学Bath Spa University,59.5,63.6,70.2,62.3,18.2,8,129.0,7.0,,免费评估
43,利兹圣三一大学Leeds Trinity University,59.2,67.3,76.2,72.6,15.2,3,108.0,7.0,62.0,免费评估
43,威斯敏斯特大学University of Westminster,59.2,77.9,77.9,58.7,14.4,5,116.0,5.0,58.0,免费评估
45,伍斯特大学University of Worcester,58.9,90.9,87.3,69.4,17.6,1,108.0,7.0,,免费评估
46,朴茨茅斯大学University of Portsmouth,58.5,82.4,82.8,74.3,23.5,7,117.0,5.0,70.0,免费评估
47,布莱顿大学University of Brighton,56.5,86.1,84.5,67.9,15.7,7,112.0,2.0,,免费评估
48,阿尔斯特大学University of Ulster,55.5,89.8,84.9,76.7,19.5,3,128.0,3.0,50.0,免费评估
49,赫特福德大学University of Hertfordshire,54.0,83.8,82.2,65.5,13.4,3,110.0,2.0,,免费评估
50,玛格丽特女王大学Queen Margaret University,53.8,94.9,90.2,75.5,24.1,2,144.0,4.0,,免费评估
51,剑桥安鲁大学Anglia Ruskin University,52.7,79.0,88.4,77.9,16.1,9,93.0,,33.0,免费评估
52,米德塞斯大学Middlesex University,51.7,71.6,74.1,69.1,22.1,9,111.0,3.0,70.0,免费评估
53,伦敦都市大学London Metropolitan University,50.8,66.5,71.9,73.0,13.3,3,95.0,6.0,,免费评估
54,泰晤士河谷大学Thames Valley University,49.4,63.0,85.5,56.8,13.5,5,100.0,,,免费评估
