Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,布里斯托大学University of Bristol,100.0,92.0,96.5,71.5,12.7,10,150,8.0,,免费评估
2,伦敦政治经济学院The London School of Economics and Political Science,90.5,79.9,81.4,65.8,9.7,9,168,8.0,,免费评估
3,斯旺西大学Swansea University,88.4,94.5,92.7,87.6,15.4,5,118,,,免费评估
4,巴斯大学University of Bath,82.8,84.9,87.9,73.0,13.2,8,152,8.0,,免费评估
5,约克大学The University of York,80.3,86.0,88.3,70.3,11.7,8,137,3.0,71.0,免费评估
6,斯特林大学University of Stirling,80.1,100.0,95.5,88.4,16.4,7,162,,,免费评估
7,伯明翰大学University of Birmingham,78.0,79.0,80.6,58.2,14.3,9,151,8.0,,免费评估
8,利兹大学University of Leeds,77.9,94.0,95.5,78.5,15.9,6,154,5.0,,免费评估
9,利物浦霍普大学Liverpool Hope University,77.6,85.6,96.9,88.1,16.9,4,114,,,免费评估
10,拉夫堡大学Loughborough University,75.8,86.0,95.0,75.9,11.7,5,144,5.0,,免费评估
11,爱丁堡大学The University of Edinburgh,74.3,68.8,81.3,60.6,12.3,7,187,7.0,,免费评估
12,肯特大学University of Kent,73.3,87.0,83.2,76.0,9.6,6,129,5.0,,免费评估
13,中央兰开夏大学University of Central Lancashire,73.1,96.0,83.3,86.6,20.6,7,154,8.0,40.0,免费评估
14,格拉斯哥大学University of Glasgow,73.0,92.0,92.0,76.8,17.2,4,188,3.0,,免费评估
14,索尔福德大学University of Salford,73.0,94.0,91.7,88.0,12.0,4,114,2.0,58.0,免费评估
16,谢菲尔德大学The University of Sheffield,68.7,91.5,87.4,68.5,15.4,4,139,7.0,,免费评估
17,班戈大学Bangor University,61.3,88.3,88.2,82.3,15.6,2,120,3.0,45.0,免费评估
18,斯塔福德郡大学Staffordshire University,59.0,73.5,86.6,69.6,10.6,4,100,,,免费评估
19,北安普顿大学The University of Northampton,58.4,80.1,84.1,76.8,19.7,3,109,9.0,50.0,免费评估
20,阿斯顿大学Aston University,54.7,85.5,83.7,65.3,19.1,4,127,,,免费评估
21,诺丁汉大学University of Nottingham,54.3,70.0,91.5,55.6,14.6,7,132,3.0,,免费评估
22,圣大卫三一学院University of Wales Trinity Saint David,53.3,93.0,87.9,83.3,19.3,2,104,7.0,30.0,免费评估
23,剑桥安鲁大学Anglia Ruskin University,51.6,89.0,80.6,75.9,18.3,8,80,,,免费评估
24,阿尔斯特大学University of Ulster,49.4,90.0,88.8,78.5,22.6,3,121,2.0,,免费评估
25,贝德福德大学University of Bedfordshire,46.7,80.0,77.9,73.6,19.4,5,97,3.0,58.0,免费评估
26,切斯特大学University of Chester,40.8,91.5,85.8,77.2,28.6,4,117,,,免费评估
27,伦敦都市大学London Metropolitan University,33.8,79.0,76.8,61.9,25.6,1,113,,53.0,免费评估
