Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,剑桥大学University of Cambridge,100.0,84.0,84.3,65.9,16.4,10.0,252.0,7.0,95.0,免费评估
2,牛津大学University of Oxford,98.1,92.0,91.5,61.4,13.9,10.0,231.0,7.0,85.0,免费评估
3,赫瑞瓦特大学Heriot Watt University,91.4,98.0,94.8,80.8,24.3,,159.0,10.0,,免费评估
4,诺丁汉大学University of Nottingham,89.3,96.0,93.0,77.0,19.0,6.0,179.0,6.0,87.0,免费评估
5,考文垂大学Coventry University,87.4,91.9,92.9,85.9,13.4,4.0,119.0,8.0,82.0,免费评估
6,利兹大学University of Leeds,85.0,88.9,85.0,70.7,19.5,10.0,168.0,8.0,87.0,免费评估
7,萨里大学University of Surrey,83.9,96.0,90.5,83.8,21.1,4.0,168.0,6.0,84.0,免费评估
8,华威大学The University of Warwick,82.6,90.0,87.5,62.0,18.4,9.0,206.0,5.0,84.0,免费评估
9,巴斯大学University of Bath,82.3,80.0,83.0,63.6,17.9,6.0,187.0,6.0,96.0,免费评估
10,杜伦大学Durham University,82.2,79.8,80.8,68.1,23.1,8.0,208.0,7.0,92.0,免费评估
11,King's College London,80.1,88.0,92.3,60.2,18.4,7.0,181.0,8.0,,免费评估
12,圣安德鲁斯大学University of St Andrews,78.8,89.0,80.9,69.2,16.1,5.0,205.0,6.0,,免费评估
13,拉夫堡大学Loughborough University,78.3,94.0,90.2,62.9,21.5,7.0,153.0,6.0,93.0,免费评估
14,伦敦大学玛丽女王学院Queen Mary University of London,78.1,89.0,85.2,72.0,20.3,9.0,172.0,6.0,79.0,免费评估
15,朴茨茅斯大学University of Portsmouth,78.0,82.7,81.1,69.2,13.9,7.0,121.0,9.0,82.0,免费评估
16,格拉斯哥大学University of Glasgow,77.0,80.0,82.1,68.2,22.1,5.0,176.0,9.0,,免费评估
16,肯特大学University of Kent,77.0,91.1,86.3,65.5,13.4,3.0,136.0,7.0,88.0,免费评估
18,斯特林大学University of Stirling,76.7,79.0,90.6,64.9,10.5,5.0,150.0,,,免费评估
19,约克大学The University of York,76.1,83.2,84.0,69.4,15.7,8.0,158.0,4.0,84.0,免费评估
20,东英吉利大学University of East Anglia,75.9,98.0,89.0,79.3,16.2,4.0,145.0,4.0,80.0,免费评估
21,阿伯丁大学University of Aberdeen,75.3,86.1,84.0,59.7,17.0,7.0,164.0,7.0,,免费评估
22,伦敦大学学院University College London,75.0,79.0,80.6,56.7,15.7,8.0,205.0,4.0,85.0,免费评估
22,思克莱德大学University of Strathclyde,75.0,92.9,95.7,76.0,22.2,8.0,202.0,7.0,59.0,免费评估
24,伦敦政治经济学院The London School of Economics and Political Science,74.5,70.3,74.3,54.4,12.6,8.0,213.0,4.0,87.0,免费评估
25,邓迪大学University of Dundee,73.1,85.4,77.5,72.7,16.4,5.0,141.0,9.0,,免费评估
26,布里斯托大学University of Bristol,72.0,85.9,85.9,65.3,17.5,6.0,190.0,3.0,83.0,免费评估
26,白金汉大学The University of Buckingham,72.0,96.0,96.5,85.0,21.7,8.0,,1.0,,免费评估
28,埃克塞特大学University of Exeter,71.5,84.2,83.3,75.4,36.9,7.0,184.0,8.0,87.0,免费评估
29,中央兰开夏大学University of Central Lancashire,71.2,96.5,94.9,89.2,18.0,4.0,110.0,1.0,,免费评估
30,伦敦大学亚非学院SOAS University of London,70.7,84.8,87.8,67.6,15.5,4.0,150.0,6.0,74.0,免费评估
31,德蒙福特大学De Montfort University,70.6,96.0,94.5,88.0,34.3,3.0,97.0,9.0,,免费评估
32,萨塞克斯大学University of Sussex,70.2,87.9,82.4,55.5,15.4,6.0,136.0,5.0,92.0,免费评估
33,伯明翰大学University of Birmingham,68.5,86.1,85.8,69.3,23.4,6.0,161.0,6.0,83.0,免费评估
34,赫特福德大学University of Hertfordshire,68.0,86.0,89.3,80.2,18.8,3.0,112.0,8.0,68.0,免费评估
35,卡迪夫都市大学Cardiff Metropolitan University,67.5,74.9,74.9,62.7,13.5,6.0,93.0,7.0,,免费评估
36,西英格兰大学University of the West of England,66.7,90.6,90.0,79.2,21.1,3.0,112.0,6.0,77.0,免费评估
37,伦敦大学皇家霍洛威学院Royal Holloway University of London,66.3,92.0,87.0,76.2,20.0,5.0,134.0,3.0,76.0,免费评估
38,埃塞克斯大学University of Essex,65.8,91.1,85.8,71.2,18.0,3.0,118.0,7.0,75.0,免费评估
39,雷丁大学University of Reading,65.3,85.9,87.5,65.1,17.2,4.0,138.0,5.0,76.0,免费评估
40,索尔福德大学University of Salford,65.2,91.9,85.1,80.6,25.0,4.0,121.0,,,免费评估
41,伦敦城市大学City University London,64.7,82.8,80.6,69.1,19.9,4.0,134.0,4.0,88.0,免费评估
42,曼彻斯特大学The University of Manchester,64.4,78.0,73.9,58.7,15.3,5.0,164.0,4.0,81.0,免费评估
43,纽卡斯尔大学Newcastle University,64.2,92.0,90.0,66.2,22.1,5.0,162.0,1.0,90.0,免费评估
43,英国女王大学Queen's University Belfast,64.2,94.0,85.3,77.6,21.2,4.0,150.0,,76.0,免费评估
45,东伦敦大学University of East London,64.0,65.3,83.0,70.0,18.4,3.0,92.0,,,免费评估
46,兰卡斯特大学Lancaster University,63.9,82.2,79.5,62.2,18.1,10.0,152.0,2.0,77.0,免费评估
47,诺丁汉特伦特大学Nottingham Trent University,63.5,96.0,92.3,84.8,17.5,4.0,123.0,1.0,76.0,免费评估
48,阿斯顿大学Aston University,62.5,79.0,82.6,65.4,26.5,8.0,129.0,7.0,,免费评估
49,曼彻斯特城市大学Manchester Metropolitan University,62.3,90.9,85.6,75.3,18.1,3.0,118.0,4.0,74.0,免费评估
50,爱丁堡大学The University of Edinburgh,62.1,74.3,76.6,55.8,20.3,7.0,192.0,7.0,69.0,免费评估
51,布鲁内尔大学Brunel University,61.7,84.8,80.5,66.7,21.0,2.0,110.0,8.0,72.0,免费评估
52,南安普顿大学University of Southampton,61.5,75.2,75.3,65.1,15.4,4.0,145.0,5.0,75.0,免费评估
53,赫尔大学The University of Hull,61.4,82.9,81.6,67.0,12.1,3.0,119.0,2.0,77.0,免费评估
54,莱斯特大学University of Leicester,61.2,80.0,79.8,65.2,15.6,8.0,136.0,2.0,73.0,免费评估
55,米德塞斯大学Middlesex University,60.9,76.6,72.4,67.3,16.7,5.0,97.0,7.0,,免费评估
56,布拉德福德大学University of Bradford,60.0,85.0,77.5,69.1,13.3,3.0,104.0,4.0,,免费评估
57,伦敦都市大学London Metropolitan University,59.3,92.5,88.5,71.8,20.3,2.0,,8.0,66.0,免费评估
57,牛津布鲁克斯大学Oxford Brookes University,59.3,84.8,78.5,68.5,19.2,3.0,118.0,8.0,72.0,免费评估
