Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,阿伯丁大学University of Aberdeen,100.0,,,,15.9,10.0,180.0,10.0,,免费评估
2,朴茨茅斯大学University of Portsmouth,89.2,98.0,97.3,90.6,20.1,6.0,136.0,9.0,79.0,免费评估
3,利兹大学University of Leeds,88.9,95.5,94.6,80.4,15.3,8.0,152.0,7.0,82.0,免费评估
4,格拉斯哥大学University of Glasgow,87.3,86.0,94.0,56.2,17.7,10.0,206.0,9.0,,免费评估
5,埃克塞特大学University of Exeter,86.7,92.1,93.2,82.2,19.1,8.0,180.0,5.0,78.0,免费评估
6,巴斯大学University of Bath,86.6,89.0,94.8,81.5,20.1,9.0,169.0,7.0,76.0,免费评估
7,伯明翰大学University of Birmingham,82.6,93.0,94.5,77.2,22.1,8.0,156.0,8.0,83.0,免费评估
8,考文垂大学Coventry University,82.4,93.0,93.7,89.4,24.4,6.0,146.0,7.0,86.0,免费评估
9,拉夫堡大学Loughborough University,81.6,84.0,88.0,67.4,16.1,9.0,163.0,7.0,81.0,免费评估
10,金斯顿大学Kingston University,81.2,98.0,97.2,95.2,10.4,9.0,117.0,5.0,57.0,免费评估
11,杜伦大学Durham University,81.0,94.1,92.5,79.2,16.7,5.0,163.0,7.0,73.0,免费评估
12,布莱顿大学University of Brighton,78.5,86.0,89.3,86.0,15.4,6.0,142.0,8.0,69.0,免费评估
13,波尔顿大学University of Bolton,78.1,82.4,89.3,83.2,13.3,4.0,114.0,9.0,77.0,免费评估
13,爱丁堡大学The University of Edinburgh,78.1,80.7,82.2,65.0,13.4,9.0,167.0,7.0,79.0,免费评估
15,东英吉利大学University of East Anglia,77.3,84.0,82.6,77.1,12.0,,169.0,5.0,,免费评估
16,斯旺西大学Swansea University,75.6,88.9,90.8,75.9,17.5,10.0,124.0,7.0,,免费评估
17,索尔福德大学University of Salford,74.2,94.0,94.5,86.8,19.1,3.0,140.0,6.0,72.0,免费评估
18,斯塔福德郡大学Staffordshire University,73.7,94.0,89.8,85.0,13.0,8.0,117.0,7.0,60.0,免费评估
19,中央兰开夏大学University of Central Lancashire,73.0,90.0,90.3,83.4,17.5,8.0,152.0,6.0,58.0,免费评估
20,Lincoln,72.4,86.6,88.7,79.0,12.1,6.0,162.0,2.0,69.0,免费评估
20,诺丁汉特伦特大学Nottingham Trent University,72.4,92.0,90.5,83.3,22.4,4.0,152.0,7.0,72.0,免费评估
22,牛津布鲁克斯大学Oxford Brookes University,71.3,94.0,91.0,70.3,16.8,5.0,138.0,10.0,62.0,免费评估
23,西苏格兰大学University of the West of Scotland,70.0,94.9,92.8,78.6,21.6,4.0,151.0,8.0,66.0,免费评估
24,卡迪夫都市大学Cardiff Metropolitan University,69.7,85.1,84.5,72.1,18.2,5.0,135.0,7.0,78.0,免费评估
24,格罗斯特大学University of Gloucestershire,69.7,88.0,91.0,75.4,18.2,5.0,126.0,7.0,70.0,免费评估
26,圣大卫三一学院University of Wales Trinity Saint David,68.6,86.5,89.9,84.1,17.6,4.0,113.0,9.0,,免费评估
27,斯特林大学University of Stirling,68.0,90.0,88.5,75.1,21.5,2.0,159.0,8.0,75.0,免费评估
28,贝德福德大学University of Bedfordshire,67.7,90.0,89.0,79.6,14.5,7.0,100.0,7.0,66.0,免费评估
29,米德塞斯大学Middlesex University,66.3,82.0,84.0,81.2,22.3,6.0,131.0,6.0,79.0,免费评估
30,阿伯泰邓迪大学University of Abertay Dundee,65.6,82.8,83.8,74.7,15.4,,157.0,6.0,66.0,免费评估
30,肯特大学University of Kent,65.6,83.0,84.4,62.2,15.3,4.0,145.0,6.0,74.0,免费评估
32,赫尔大学The University of Hull,65.4,86.1,88.9,74.5,16.0,6.0,140.0,6.0,63.0,免费评估
33,布拉德福德大学University of Bradford,65.3,85.0,81.8,71.3,15.3,5.0,147.0,,,免费评估
34,班戈大学Bangor University,65.0,85.0,83.5,75.4,16.4,5.0,136.0,7.0,58.0,免费评估
35,德比大学University of Derby,64.9,85.1,93.5,86.2,17.8,8.0,112.0,6.0,59.0,免费评估
36,谢菲尔德哈莱姆大学Sheffield Hallam University,64.1,93.0,91.0,80.5,19.2,5.0,135.0,8.0,60.0,免费评估
37,曼彻斯特城市大学Manchester Metropolitan University,63.3,91.1,90.8,76.0,14.7,5.0,132.0,5.0,52.0,免费评估
38,纽曼大学Newman University,62.9,95.0,91.0,77.2,17.6,3.0,119.0,7.0,69.0,免费评估
39,格林多大学Glyndwr University,62.2,85.1,92.1,86.0,18.6,2.0,111.0,2.0,,免费评估
40,布鲁内尔大学Brunel University,61.9,84.0,87.0,75.2,19.0,6.0,140.0,6.0,59.0,免费评估
41,伯恩茅斯大学Bournemouth University,61.3,85.0,86.0,70.1,16.4,4.0,127.0,5.0,73.0,免费评估
41,利物浦霍普大学Liverpool Hope University,61.3,96.0,96.3,87.8,19.2,2.0,115.0,2.0,58.0,免费评估
43,切斯特大学University of Chester,61.1,96.0,95.2,87.2,14.8,5.0,125.0,1.0,58.0,免费评估
43,蒂赛德大学Teesside University,61.1,88.0,87.0,72.2,16.4,8.0,130.0,7.0,62.0,免费评估
45,龙比亚大学Napier University,60.6,79.4,81.1,72.3,17.1,5.0,152.0,8.0,61.0,免费评估
46,奇切斯特大学University of Chichester,60.5,91.0,92.9,76.3,19.0,2.0,122.0,6.0,65.0,免费评估
47,诺桑比亚大学Northumbria University,60.3,87.0,84.7,73.0,25.2,3.0,152.0,8.0,65.0,免费评估
48,伦敦南岸大学London South Bank University,59.6,88.0,88.7,77.4,11.9,7.0,92.0,4.0,,免费评估
49,东伦敦大学University of East London,59.5,76.4,87.0,71.4,21.2,4.0,125.0,8.0,65.0,免费评估
50,"圣马克与圣约翰大学University of St Mark & St John, Plymouth",59.1,90.0,91.0,76.0,20.6,3.0,152.0,3.0,63.0,免费评估
51,埃塞克斯大学University of Essex,58.5,86.1,87.9,68.2,17.1,4.0,147.0,6.0,53.0,免费评估
52,温切斯特大学University of Winchester,57.5,91.1,92.2,75.4,12.8,3.0,,5.0,66.0,免费评估
53,利物浦约翰摩尔斯大学Liverpool John Moores University,57.3,75.8,79.6,70.7,17.6,4.0,146.0,5.0,64.0,免费评估
54,阿尔斯特大学University of Ulster,56.9,88.9,91.5,70.7,25.8,3.0,153.0,7.0,60.0,免费评估
55,南安普顿索伦特大学Southampton Solent University,56.5,91.0,90.7,81.2,19.5,4.0,109.0,4.0,55.0,免费评估
