Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,剑桥大学University of Cambridge,100.0,85.8,89.4,72.9,5.8,,211.0,7.0,88.0,免费评估
2,利物浦大学The University of Liverpool,94.6,91.9,96.1,84.2,5.2,9.0,151.0,8.0,92.0,免费评估
3,伦敦大学学院University College London,93.0,95.1,96.2,80.2,7.1,10.0,146.0,9.0,75.0,免费评估
4,牛津大学University of Oxford,87.4,89.0,94.8,74.1,11.8,10.0,196.0,8.0,,免费评估
5,纽卡斯尔大学Newcastle University,85.0,97.0,96.0,85.0,9.7,5.0,147.0,8.0,,免费评估
6,杜伦大学Durham University,84.2,98.0,93.6,83.9,12.1,5.0,175.0,7.0,72.0,免费评估
7,英国女王大学Queen's University Belfast,82.2,91.1,94.9,83.4,7.9,6.0,127.0,9.0,,免费评估
8,布里斯托大学University of Bristol,78.9,97.8,95.1,79.2,13.9,5.0,146.0,7.0,67.0,免费评估
9,德蒙福特大学De Montfort University,78.1,98.0,96.7,90.4,18.3,5.0,114.0,3.0,,免费评估
10,格拉斯哥大学University of Glasgow,77.9,99.0,96.9,73.3,14.7,5.0,,5.0,,免费评估
11,邓迪大学University of Dundee,76.4,81.1,95.5,67.6,12.2,10.0,178.0,5.0,,免费评估
11,莱斯特大学University of Leicester,76.4,94.5,94.3,80.3,7.0,8.0,123.0,6.0,,免费评估
13,约克大学The University of York,75.1,96.0,94.3,89.7,18.1,6.0,148.0,6.0,65.0,免费评估
14,雷丁大学University of Reading,75.0,92.4,94.3,87.1,10.3,7.0,127.0,4.0,60.0,免费评估
14,曼彻斯特大学The University of Manchester,75.0,92.0,96.3,86.0,15.5,5.0,148.0,5.0,,免费评估
16,南安普顿大学University of Southampton,74.4,95.1,95.6,85.5,10.2,5.0,141.0,6.0,,免费评估
17,诺丁汉大学University of Nottingham,74.1,87.0,94.1,79.7,10.8,5.0,140.0,8.0,61.0,免费评估
18,斯塔福德郡大学Staffordshire University,73.1,94.0,91.3,87.8,14.7,6.0,125.0,4.0,67.0,免费评估
19,谢菲尔德大学The University of Sheffield,72.3,93.3,93.9,72.5,11.0,5.0,139.0,8.0,,免费评估
20,爱丁堡大学The University of Edinburgh,72.2,76.7,87.2,70.4,8.8,5.0,178.0,6.0,,免费评估
20,埃克塞特大学University of Exeter,72.2,87.0,86.1,74.2,13.2,3.0,156.0,9.0,,免费评估
22,格林威治大学The University of Greenwich,71.4,97.6,95.5,67.2,10.5,6.0,133.0,,,免费评估
23,切斯特大学University of Chester,71.2,90.2,98.0,79.3,12.0,3.0,101.0,8.0,,免费评估
24,泰晤士河谷大学Thames Valley University,70.6,83.8,94.0,86.5,13.4,5.0,112.0,9.0,57.0,免费评估
25,布拉德福德大学University of Bradford,69.5,80.0,88.3,73.9,8.1,4.0,121.0,7.0,81.0,免费评估
26,圣大卫三一学院University of Wales Trinity Saint David,69.3,88.5,97.4,83.3,12.5,3.0,102.0,6.0,,免费评估
27,德比大学University of Derby,68.9,89.0,93.0,83.3,18.0,5.0,124.0,4.0,,免费评估
28,伯明翰大学University of Birmingham,67.8,78.8,92.3,83.4,15.6,6.0,149.0,,,免费评估
28,诺丁汉特伦特大学Nottingham Trent University,67.8,76.8,87.4,71.7,11.5,4.0,168.0,8.0,68.0,免费评估
30,中央兰开夏大学University of Central Lancashire,67.4,80.6,89.0,78.0,7.7,7.0,138.0,4.0,56.0,免费评估
31,Lincoln,67.2,86.5,93.7,58.6,11.5,5.0,127.0,3.0,81.0,免费评估
32,肯特大学University of Kent,66.8,91.0,85.9,79.2,,4.0,147.0,3.0,71.0,免费评估
33,考文垂大学Coventry University,65.8,86.2,91.8,81.7,24.8,5.0,129.0,8.0,77.0,免费评估
34,基尔大学Keele University,61.5,82.9,86.7,67.7,14.0,5.0,,3.0,,免费评估
35,卡迪夫大学Cardiff University,61.3,83.0,89.7,66.2,9.6,5.0,123.0,7.0,52.0,免费评估
36,温切斯特大学University of Winchester,57.3,98.0,94.0,86.2,17.1,3.0,100.0,5.0,75.0,免费评估
37,伯恩茅斯大学Bournemouth University,55.9,91.2,92.5,71.3,15.9,5.0,122.0,5.0,52.0,免费评估
38,西英格兰大学University of the West of England,55.4,91.0,92.0,72.8,19.9,5.0,134.0,,,免费评估
39,西苏格兰大学University of the West of Scotland,54.2,90.8,92.6,62.6,15.4,4.0,131.0,,,免费评估
40,利物浦约翰摩尔斯大学Liverpool John Moores University,51.8,86.1,89.0,78.5,19.8,3.0,148.0,2.0,59.0,免费评估
41,罗伯特高登大学The Robert Gordon University,50.8,83.7,85.4,57.3,16.2,4.0,156.0,2.0,72.0,免费评估
42,蒂赛德大学Teesside University,50.6,79.9,84.7,68.3,18.6,4.0,127.0,3.0,69.0,免费评估
43,剑桥安鲁大学Anglia Ruskin University,50.5,76.2,82.0,69.7,16.4,5.0,106.0,7.0,54.0,免费评估
44,伍斯特大学University of Worcester,44.8,81.5,83.5,76.8,20.2,2.0,113.0,2.0,,免费评估
45,南威尔士大学The University of South Wales,44.6,88.0,86.7,69.7,15.9,3.0,131.0,2.0,56.0,免费评估
46,伦敦南岸大学London South Bank University,44.0,78.5,89.7,72.2,13.2,6.0,97.0,1.0,,免费评估
47,阿伯泰邓迪大学University of Abertay Dundee,34.2,61.0,78.8,50.9,17.1,3.0,188.0,1.0,50.0,免费评估
