Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,牛津大学University of Oxford,100.0,,,,9.6,10.0,232,7.0,94.0,免费评估
2,圣安德鲁斯大学University of St Andrews,91.0,90.0,93.6,82.1,16.1,4.0,212,9.0,,免费评估
3,华威大学The University of Warwick,84.6,86.0,82.3,63.9,16.9,10.0,188,8.0,90.0,免费评估
4,巴斯大学University of Bath,84.2,94.1,85.4,74.2,17.5,9.0,187,8.0,77.0,免费评估
5,拉夫堡大学Loughborough University,83.3,93.8,90.0,69.9,19.0,7.0,164,8.0,90.0,免费评估
6,白金汉大学The University of Buckingham,82.1,95.0,91.7,85.7,11.2,5.0,112,5.0,,免费评估
7,伦敦大学金史密斯学院Goldsmiths University of London,80.3,89.5,82.6,83.0,15.2,4.0,131,,,免费评估
8,兰卡斯特大学Lancaster University,79.2,90.8,86.3,76.9,17.7,8.0,152,6.0,91.0,免费评估
9,杜伦大学Durham University,78.1,82.8,74.7,72.4,23.4,7.0,177,8.0,92.0,免费评估
10,德比大学University of Derby,77.8,89.2,89.1,81.9,14.6,6.0,115,8.0,70.0,免费评估
11,伦敦大学亚非学院SOAS University of London,77.0,83.3,81.3,70.7,11.7,10.0,145,6.0,,免费评估
12,利兹大学University of Leeds,76.1,82.4,83.3,70.4,20.4,9.0,167,8.0,89.0,免费评估
13,约克大学The University of York,75.9,92.0,84.6,79.5,16.3,4.0,148,4.0,82.0,免费评估
14,法尔茅斯大学Falmouth University,75.8,74.0,84.6,72.1,15.8,7.0,106,8.0,86.0,免费评估
15,东英吉利大学University of East Anglia,74.3,96.5,87.2,73.8,18.3,3.0,149,7.0,76.0,免费评估
16,曼彻斯特大学The University of Manchester,74.2,80.6,77.9,66.1,14.7,10.0,163,5.0,80.0,免费评估
17,邓迪大学University of Dundee,74.1,87.9,88.2,76.1,19.6,7.0,166,9.0,,免费评估
18,考文垂大学Coventry University,73.8,85.9,86.4,74.9,17.7,5.0,125,7.0,81.0,免费评估
18,诺丁汉特伦特大学Nottingham Trent University,73.8,87.4,83.6,77.9,17.7,4.0,140,6.0,87.0,免费评估
20,思克莱德大学University of Strathclyde,73.7,91.7,90.4,71.6,25.0,6.0,207,8.0,71.0,免费评估
20,伦敦政治经济学院The London School of Economics and Political Science,73.7,74.3,79.1,65.4,14.7,9.0,192,5.0,,免费评估
22,埃克塞特大学University of Exeter,73.2,88.4,81.2,64.1,21.2,4.0,174,8.0,86.0,免费评估
23,伦敦大学学院University College London,72.9,71.8,76.4,65.7,19.1,10.0,191,8.0,,免费评估
24,伦敦国王学院King's College London,71.6,78.3,77.8,65.0,20.1,5.0,186,8.0,88.0,免费评估
25,苏格兰农业学院Scotland's Rural College,70.9,90.0,83.3,75.0,13.4,2.0,139,,,免费评估
26,斯特林大学University of Stirling,70.3,86.9,87.3,68.1,16.8,3.0,163,8.0,75.0,免费评估
27,诺丁汉大学University of Nottingham,70.1,82.9,77.9,60.4,16.5,7.0,157,6.0,82.0,免费评估
28,朴茨茅斯大学University of Portsmouth,69.9,87.8,81.8,69.3,16.1,6.0,118,6.0,83.0,免费评估
29,伯明翰大学University of Birmingham,69.2,79.0,77.7,55.7,19.2,9.0,162,7.0,88.0,免费评估
30,牛津布鲁克斯大学Oxford Brookes University,69.1,82.6,78.1,64.3,19.7,4.0,129,8.0,83.0,免费评估
31,萨塞克斯大学University of Sussex,68.6,82.3,79.1,64.9,17.5,9.0,150,2.0,86.0,免费评估
32,谢菲尔德大学The University of Sheffield,68.2,82.0,79.6,67.0,16.6,7.0,143,4.0,88.0,免费评估
32,萨里大学University of Surrey,68.2,80.0,73.3,67.8,19.5,5.0,165,8.0,73.0,免费评估
34,雷丁大学University of Reading,67.9,75.0,74.6,64.8,18.9,,144,8.0,86.0,免费评估
35,莱斯特大学University of Leicester,67.4,85.3,80.6,68.9,17.1,7.0,129,4.0,74.0,免费评估
36,阿斯顿大学Aston University,67.3,91.7,88.7,74.5,29.7,5.0,143,7.0,76.0,免费评估
36,爱丁堡大学The University of Edinburgh,67.3,82.7,80.2,56.1,19.0,10.0,166,7.0,68.0,免费评估
38,肯特大学University of Kent,67.0,86.4,81.0,69.1,24.8,4.0,142,7.0,89.0,免费评估
39,南安普顿大学University of Southampton,66.5,71.5,69.9,68.7,15.5,5.0,151,8.0,81.0,免费评估
39,艾芝西尔大学Edge Hill University,66.5,87.3,83.4,77.6,17.9,4.0,127,8.0,64.0,免费评估
41,斯旺西大学Swansea University,66.4,89.1,80.7,71.5,24.2,5.0,136,8.0,77.0,免费评估
42,卡迪夫大学Cardiff University,66.3,85.9,78.3,70.2,16.4,6.0,154,6.0,67.0,免费评估
42,"特威克南圣玛丽大学St Mary's, Twickenham",66.3,87.2,84.9,78.2,20.8,3.0,111,7.0,,免费评估
42,纽卡斯尔大学Newcastle University,66.3,78.4,70.2,66.0,20.4,6.0,157,6.0,86.0,免费评估
45,格罗斯特大学University of Gloucestershire,65.8,87.3,82.6,70.2,22.5,5.0,121,9.0,70.0,免费评估
46,赫瑞瓦特大学Heriot Watt University,65.7,87.1,84.5,68.9,26.3,10.0,156,8.0,70.0,免费评估
47,利物浦约翰摩尔斯大学Liverpool John Moores University,65.6,84.3,80.8,78.5,21.9,3.0,142,6.0,70.0,免费评估
48,赫尔大学The University of Hull,65.0,84.8,80.4,74.8,21.7,6.0,122,6.0,78.0,免费评估
49,英国女王大学Queen's University Belfast,64.6,84.0,78.3,74.6,20.5,4.0,148,6.0,66.0,免费评估
50,阿伯丁大学University of Aberdeen,64.4,88.7,77.5,70.6,22.7,5.0,178,5.0,,免费评估
51,德蒙福特大学De Montfort University,64.2,85.4,80.1,72.6,31.2,3.0,109,8.0,83.0,免费评估
52,格拉斯哥大学University of Glasgow,63.9,79.9,76.2,53.4,23.0,7.0,192,8.0,81.0,免费评估
53,利物浦大学The University of Liverpool,63.8,82.4,80.5,74.2,23.4,5.0,150,5.0,74.0,免费评估
54,哈德斯菲尔德大学University of Huddersfield,63.6,78.5,75.0,71.7,19.8,4.0,132,7.0,72.0,免费评估
55,伯恩茅斯大学Bournemouth University,63.3,82.3,78.9,68.1,19.2,4.0,124,9.0,72.0,免费评估
55,西英格兰大学University of the West of England,63.3,84.7,80.4,65.3,20.9,4.0,118,7.0,75.0,免费评估
57,利物浦霍普大学Liverpool Hope University,62.9,89.1,89.1,78.6,16.4,3.0,107,3.0,61.0,免费评估
57,温切斯特大学University of Winchester,62.9,81.0,82.5,72.7,18.4,3.0,105,9.0,66.0,免费评估
59,布拉德福德大学University of Bradford,62.6,82.8,81.2,67.8,17.1,6.0,128,7.0,67.0,免费评估
60,哥比亚大学University of Cumbria,62.3,90.9,91.0,75.1,10.7,9.0,95,1.0,,免费评估
61,罗伯特高登大学The Robert Gordon University,62.2,87.1,85.6,70.6,24.9,3.0,166,5.0,68.0,免费评估
