Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,剑桥大学University of Cambridge,100.0,83.0,81.1,61.6,12.5,10,204.0,8.0,,免费评估
2,诺丁汉特伦特大学Nottingham Trent University,95.7,94.9,91.6,87.9,15.9,5,130.0,8.0,99.0,免费评估
3,伦敦大学学院University College London,95.3,82.6,79.3,64.5,10.8,10,168.0,8.0,,免费评估
4,谢菲尔德大学The University of Sheffield,93.0,89.7,92.0,77.8,16.7,5,141.0,7.0,98.0,免费评估
5,英国女王大学Queen's University Belfast,90.9,97.0,97.0,92.1,19.8,6,130.0,8.0,,免费评估
6,拉夫堡大学Loughborough University,88.2,76.3,76.2,70.7,8.6,8,151.0,3.0,94.0,免费评估
7,考文垂大学Coventry University,86.4,87.1,88.5,73.0,10.9,7,109.0,9.0,,免费评估
8,诺丁汉大学University of Nottingham,86.2,96.0,87.3,78.0,13.3,8,138.0,3.0,,免费评估
9,赫瑞瓦特大学Heriot Watt University,81.4,79.8,78.8,69.7,15.8,10,169.0,4.0,94.0,免费评估
10,爱丁堡大学The University of Edinburgh,80.5,72.7,84.3,62.0,20.1,4,155.0,8.0,,免费评估
11,雷丁大学University of Reading,79.3,85.1,84.0,77.4,16.9,8,137.0,4.0,93.0,免费评估
12,剑桥安鲁大学Anglia Ruskin University,78.8,97.1,94.5,79.1,15.2,7,106.0,8.0,,免费评估
13,曼彻斯特大学The University of Manchester,77.9,72.9,73.0,59.5,13.1,8,155.0,5.0,,免费评估
14,西英格兰大学University of the West of England,77.0,89.2,89.0,73.0,17.5,4,122.0,7.0,89.0,免费评估
15,阿斯顿大学Aston University,76.6,81.3,92.8,73.9,15.3,5,126.0,7.0,,免费评估
16,朴茨茅斯大学University of Portsmouth,76.3,68.7,66.9,69.0,16.1,6,112.0,9.0,99.0,免费评估
17,诺桑比亚大学Northumbria University,75.4,84.0,81.3,65.7,17.0,3,136.0,7.0,92.0,免费评估
18,利物浦约翰摩尔斯大学Liverpool John Moores University,75.2,90.0,84.2,77.4,17.3,3,135.0,7.0,82.0,免费评估
19,伯明翰城市大学Birmingham City University,75.0,80.2,88.4,67.7,17.0,5,124.0,9.0,82.0,免费评估
20,南威尔士大学The University of South Wales,74.8,82.4,89.0,81.4,19.5,3,132.0,7.0,,免费评估
21,利物浦大学The University of Liverpool,72.6,93.0,86.4,70.5,16.6,6,130.0,7.0,,免费评估
22,伯明翰大学University of Birmingham,71.1,92.3,92.6,66.6,15.7,7,138.0,3.0,,免费评估
