Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,爱丁堡大学The University of Edinburgh,100.0,91.6,90.3,77.7,15.6,10,176.0,10.0,59.0,免费评估
2,斯塔福德郡大学Staffordshire University,95.2,89.0,91.7,83.6,17.1,8,121.0,9.0,68.0,免费评估
3,拉夫堡大学Loughborough University,94.7,85.1,89.3,69.0,14.3,7,204.0,8.0,66.0,免费评估
4,诺丁汉特伦特大学Nottingham Trent University,90.7,87.9,86.0,78.8,11.5,5,164.0,4.0,74.0,免费评估
4,索尔福德大学University of Salford,90.7,88.9,91.0,90.1,16.8,4,148.0,,,免费评估
6,金斯顿大学Kingston University,90.5,86.0,89.7,77.8,16.6,9,184.0,7.0,51.0,免费评估
7,Arts Uni Bournemouth,88.3,83.0,87.3,75.6,15.2,5,163.0,4.0,81.0,免费评估
8,圣大卫三一学院University of Wales Trinity Saint David,83.3,87.1,90.3,85.5,12.8,2,139.0,7.0,,免费评估
9,考文垂大学Coventry University,82.7,81.0,84.6,79.3,17.0,6,155.0,10.0,,免费评估
10,罗伯特高登大学The Robert Gordon University,81.3,76.0,84.6,82.8,19.0,3,169.0,10.0,,免费评估
11,德蒙福特大学De Montfort University,80.3,87.0,87.5,79.1,15.7,6,130.0,6.0,67.0,免费评估
12,邓迪大学University of Dundee,79.9,85.0,83.4,75.8,14.6,8,,8.0,,免费评估
13,威斯敏斯特大学University of Westminster,78.1,84.1,80.8,75.1,14.8,6,142.0,7.0,80.0,免费评估
14,伍尔弗汉普顿大学University of Wolverhampton,78.0,84.0,87.0,80.5,15.7,8,111.0,,,免费评估
15,谢菲尔德哈莱姆大学Sheffield Hallam University,76.6,91.9,94.0,88.8,17.2,6,133.0,4.0,,免费评估
16,法尔茅斯大学Falmouth University,76.4,89.0,92.0,80.5,20.1,3,126.0,6.0,73.0,免费评估
17,布莱顿大学University of Brighton,76.2,85.0,88.3,78.5,17.3,4,142.0,8.0,60.0,免费评估
18,德比大学University of Derby,74.2,80.0,84.0,73.6,13.4,6,136.0,7.0,64.0,免费评估
19,Leeds Arts,73.9,96.0,91.4,81.0,13.0,3,152.0,4.0,,免费评估
20,曼彻斯特大学The University of Manchester,73.3,86.3,86.5,71.2,15.4,5,163.0,5.0,,免费评估
21,Plymouth College of Art,73.2,86.8,91.4,81.5,12.6,2,137.0,3.0,,免费评估
22,Uni for the Creative Arts,73.0,82.0,83.3,78.9,12.1,9,148.0,6.0,56.0,免费评估
23,卡迪夫都市大学Cardiff Metropolitan University,72.2,87.9,88.0,81.3,14.4,8,124.0,3.0,,免费评估
24,利兹大学University of Leeds,72.1,78.0,80.5,76.2,17.0,7,165.0,9.0,71.0,免费评估
25,Norwich Uni of the Arts,71.9,83.0,85.7,83.1,17.1,2,144.0,5.0,56.0,免费评估
26,曼彻斯特城市大学Manchester Metropolitan University,71.8,86.0,85.7,75.0,13.9,3,172.0,4.0,61.0,免费评估
27,Uni of the Arts London,71.5,75.0,77.4,73.6,14.3,10,147.0,7.0,56.0,免费评估
28,朴茨茅斯大学University of Portsmouth,70.2,84.0,88.6,76.9,17.8,8,119.0,7.0,,免费评估
29,利物浦约翰摩尔斯大学Liverpool John Moores University,70.1,77.6,84.4,76.7,13.0,4,146.0,7.0,55.0,免费评估
30,阿尔斯特大学University of Ulster,67.4,68.3,80.2,71.8,18.4,2,142.0,8.0,65.0,免费评估
31,Bucks New Uni,65.1,72.7,82.1,71.4,,9,137.0,5.0,,免费评估
32,格罗斯特大学University of Gloucestershire,64.6,85.2,87.4,77.8,19.9,5,134.0,,,免费评估
33,桑德兰大学University of Sunderland,63.6,76.0,80.4,67.7,11.5,6,,7.0,,免费评估
34,中央兰开夏大学University of Central Lancashire,63.5,82.0,83.5,78.0,13.8,4,129.0,7.0,57.0,免费评估
35,南安普顿索伦特大学Southampton Solent University,63.3,80.0,83.3,70.2,14.0,3,114.0,7.0,56.0,免费评估
36,米德塞斯大学Middlesex University,62.2,87.9,90.4,86.0,15.4,7,118.0,3.0,49.0,免费评估
37,剑桥安鲁大学Anglia Ruskin University,60.0,87.0,90.4,83.1,18.9,6,106.0,3.0,,免费评估
38,哈德斯菲尔德大学University of Huddersfield,58.2,83.0,86.0,78.2,20.1,4,131.0,6.0,60.0,免费评估
39,赫瑞瓦特大学Heriot Watt University,57.0,84.8,84.3,70.0,23.6,7,160.0,3.0,73.0,免费评估
40,利兹贝克特大学Leeds Beckett University,54.7,81.8,85.1,77.9,17.6,4,110.0,,,免费评估
41,伦敦都市大学London Metropolitan University,53.5,77.9,83.3,73.5,19.7,2,136.0,6.0,,免费评估
42,南安普顿大学University of Southampton,52.0,74.3,83.6,71.7,18.0,6,172.0,2.0,55.0,免费评估
43,巴斯斯巴大学Bath Spa University,49.2,79.0,81.8,70.7,17.3,5,130.0,2.0,55.0,免费评估
44,赫特福德大学University of Hertfordshire,47.1,82.0,88.6,80.1,21.2,7,115.0,2.0,,免费评估
45,格拉斯哥艺术学院Glasgow School of Art,45.2,73.0,77.2,63.6,16.2,6,172.0,4.0,52.0,免费评估
46,东伦敦大学University of East London,39.9,73.7,76.7,71.8,16.2,4,124.0,1.0,,免费评估
47,伯明翰城市大学Birmingham City University,36.5,77.8,82.3,71.5,20.6,6,144.0,2.0,54.0,免费评估
48,瑞文斯博学院Ravensbourne College,35.3,85.0,87.0,81.0,31.7,2,108.0,3.0,65.0,免费评估
49,南威尔士大学The University of South Wales,34.5,66.0,75.9,71.2,17.5,2,137.0,3.0,44.0,免费评估
