Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,东英吉利大学University of East Anglia,100.0,90.5,95.1,66.3,12.7,10,153.0,7.0,64.0,免费评估
2,埃塞克斯大学University of Essex,85.8,86.4,92.4,67.9,15.9,7,,10.0,,免费评估
3,萨塞克斯大学University of Sussex,82.9,84.8,89.5,63.4,14.4,7,143.0,5.0,84.0,免费评估
4,伯明翰大学University of Birmingham,80.4,73.0,90.7,67.4,12.3,9,152.0,7.0,,免费评估
5,温切斯特大学University of Winchester,74.8,89.8,93.4,83.1,15.6,3,121.0,,,免费评估
6,诺丁汉大学University of Nottingham,74.6,89.9,95.3,76.0,18.2,4,134.0,3.0,73.0,免费评估
7,赫尔大学The University of Hull,69.8,90.9,93.2,80.4,17.2,2,117.0,7.0,57.0,免费评估
8,斯旺西大学Swansea University,65.3,92.9,89.6,79.0,15.9,5,123.0,3.0,,免费评估
9,朴茨茅斯大学University of Portsmouth,60.4,91.0,93.4,82.2,17.2,5,100.0,2.0,,免费评估
10,莱斯特大学University of Leicester,52.8,80.5,87.6,61.1,20.6,5,121.0,7.0,63.0,免费评估
11,曼彻斯特大学The University of Manchester,50.0,90.7,90.2,72.6,26.4,5,153.0,4.0,,免费评估
12,基尔大学Keele University,48.8,81.2,85.4,74.0,12.7,4,115.0,5.0,,免费评估
13,肯特大学University of Kent,39.7,86.1,82.6,73.6,20.6,4,111.0,7.0,,免费评估
14,坎特伯雷大学Canterbury Christ Church University,32.7,85.9,96.7,82.1,15.4,4,107.0,3.0,35.0,免费评估
