Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,Leeds Arts,100.0,96.0,91.4,81.0,13.0,3,184.0,6.0,69.0,免费评估
2,金斯顿大学Kingston University,99.8,86.0,89.7,77.8,16.6,10,184.0,7.0,67.0,免费评估
3,伦敦大学金史密斯学院Goldsmiths University of London,99.3,89.0,90.3,63.1,13.2,7,175.0,8.0,74.0,免费评估
4,拉夫堡大学Loughborough University,98.3,85.1,89.3,69.0,14.3,8,185.0,7.0,82.0,免费评估
5,Lincoln,89.7,87.1,90.3,84.0,14.9,4,129.0,6.0,71.0,免费评估
6,Arts Uni Bournemouth,88.3,83.0,87.3,75.6,15.2,6,170.0,4.0,81.0,免费评估
7,斯塔福德郡大学Staffordshire University,86.3,86.3,87.4,81.2,17.1,8,126.0,6.0,74.0,免费评估
8,考文垂大学Coventry University,86.1,81.0,84.6,79.3,17.0,7,136.0,8.0,79.0,免费评估
8,诺丁汉特伦特大学Nottingham Trent University,86.1,87.9,86.2,78.1,11.5,5,152.0,3.0,83.0,免费评估
10,爱丁堡大学The University of Edinburgh,84.2,83.5,86.8,74.9,15.6,10,150.0,6.0,61.0,免费评估
11,圣大卫三一学院University of Wales Trinity Saint David,83.0,87.0,90.2,85.4,12.8,3,123.0,8.0,61.0,免费评估
12,利物浦霍普大学Liverpool Hope University,82.8,91.6,87.6,92.6,13.8,2,157.0,5.0,,免费评估
12,利物浦约翰摩尔斯大学Liverpool John Moores University,82.8,77.6,84.4,76.7,13.0,4,157.0,8.0,68.0,免费评估
14,德蒙福特大学De Montfort University,82.3,87.3,87.7,79.8,15.7,6,111.0,8.0,78.0,免费评估
15,布鲁内尔大学Brunel University,81.9,86.0,89.3,69.5,14.4,9,139.0,8.0,77.0,免费评估
16,Uni for the Creative Arts,81.1,79.6,82.8,77.3,12.1,10,145.0,6.0,71.0,免费评估
17,曼彻斯特城市大学Manchester Metropolitan University,79.8,86.0,85.7,75.0,13.9,3,176.0,3.0,75.0,免费评估
18,邓迪大学University of Dundee,78.5,85.0,83.4,75.8,14.6,8,165.0,9.0,63.0,免费评估
19,肯特大学University of Kent,78.3,75.8,80.1,66.9,20.1,8,138.0,10.0,90.0,免费评估
20,利兹大学University of Leeds,78.0,78.0,80.5,76.2,17.0,7,165.0,8.0,80.0,免费评估
21,诺桑比亚大学Northumbria University,77.9,85.3,86.4,74.9,14.7,6,157.0,8.0,65.0,免费评估
22,朴茨茅斯大学University of Portsmouth,77.4,84.0,88.6,76.9,17.8,8,131.0,7.0,,免费评估
23,雷丁大学University of Reading,76.8,86.9,86.3,76.0,15.5,7,145.0,5.0,79.0,免费评估
24,谢菲尔德哈莱姆大学Sheffield Hallam University,76.4,87.8,88.6,80.4,17.2,7,136.0,4.0,68.0,免费评估
25,普利茅斯大学University of Plymouth,75.6,88.0,89.0,76.8,15.8,6,151.0,8.0,52.0,免费评估
26,Suffolk,75.3,95.4,93.2,78.7,16.6,10,103.0,8.0,,免费评估
27,Norwich Uni of the Arts,75.2,83.0,85.7,83.1,17.1,3,150.0,4.0,71.0,免费评估
28,米德塞斯大学Middlesex University,75.1,87.9,90.4,86.0,15.4,7,114.0,5.0,71.0,免费评估
29,威斯敏斯特大学University of Westminster,74.9,82.0,81.0,74.9,14.8,7,121.0,9.0,72.0,免费评估
30,索尔福德大学University of Salford,70.3,85.4,88.1,85.7,16.8,5,129.0,7.0,59.0,免费评估
31,伦敦南岸大学London South Bank University,69.9,83.0,85.8,71.8,16.9,5,105.0,,74.0,免费评估
32,伯恩茅斯大学Bournemouth University,69.8,89.0,88.1,66.5,15.1,2,123.0,5.0,80.0,免费评估
33,法尔茅斯大学Falmouth University,69.6,89.0,92.0,80.5,20.1,3,130.0,5.0,73.0,免费评估
33,伍斯特大学University of Worcester,69.6,89.1,92.5,86.1,14.0,2,117.0,7.0,53.0,免费评估
35,卡迪夫都市大学Cardiff Metropolitan University,68.6,87.3,86.8,79.1,14.4,8,110.0,5.0,63.0,免费评估
36,哈德斯菲尔德大学University of Huddersfield,67.4,83.4,86.0,78.2,20.1,4,130.0,5.0,78.0,免费评估
37,格拉斯哥大学University of Glasgow,66.4,79.0,86.1,50.0,14.2,4,219.0,,,免费评估
38,布莱顿大学University of Brighton,65.0,84.7,88.1,78.2,17.3,5,134.0,5.0,59.0,免费评估
39,德比大学University of Derby,64.5,80.0,84.0,73.6,13.4,7,125.0,2.0,71.0,免费评估
40,罗伯特高登大学The Robert Gordon University,64.4,76.0,84.6,82.8,19.0,3,157.0,2.0,74.0,免费评估
41,中央兰开夏大学University of Central Lancashire,64.2,82.0,83.5,78.0,13.8,4,126.0,8.0,60.0,免费评估
42,赫特福德大学University of Hertfordshire,63.3,82.0,88.6,80.1,21.2,7,117.0,3.0,76.0,免费评估
43,格罗斯特大学University of Gloucestershire,63.2,85.2,87.4,77.8,19.9,6,123.0,8.0,54.0,免费评估
44,约克圣约翰大学York St John University,62.3,71.3,74.3,76.7,15.4,3,117.0,6.0,,免费评估
45,西英格兰大学University of the West of England,62.2,82.0,86.6,82.9,23.5,7,157.0,5.0,62.0,免费评估
46,龙比亚大学Napier University,61.7,79.2,84.2,73.3,20.4,4,168.0,8.0,61.0,免费评估
47,Plymouth College of Art,60.8,83.5,87.8,80.8,12.6,2,125.0,4.0,59.0,免费评估
48,南安普顿索伦特大学Southampton Solent University,59.7,80.0,83.3,70.2,14.0,3,117.0,6.0,60.0,免费评估
49,蒂赛德大学Teesside University,59.2,76.2,76.3,73.7,16.0,6,114.0,7.0,74.0,免费评估
50,格拉斯哥艺术学院Glasgow School of Art,57.2,76.5,79.8,67.5,16.2,6,165.0,1.0,83.0,免费评估
51,切斯特大学University of Chester,56.7,79.7,79.2,68.9,11.5,7,122.0,4.0,70.0,免费评估
52,南安普顿大学University of Southampton,55.8,74.3,83.6,71.7,18.0,6,167.0,3.0,65.0,免费评估
53,温切斯特大学University of Winchester,54.5,80.4,81.4,76.7,17.9,1,109.0,8.0,,免费评估
53,伍尔弗汉普顿大学University of Wolverhampton,54.5,84.0,87.0,80.5,15.7,8,102.0,2.0,57.0,免费评估
55,Uni of the Arts London,54.2,74.6,77.0,73.5,14.3,10,138.0,4.0,59.0,免费评估
56,桑德兰大学University of Sunderland,53.7,80.0,82.8,67.3,11.5,6,123.0,3.0,64.0,免费评估
57,牛津布鲁克斯大学Oxford Brookes University,52.2,70.3,70.3,72.6,14.6,8,,5.0,,免费评估
58,巴斯斯巴大学Bath Spa University,51.3,81.5,83.1,74.8,17.3,6,127.0,5.0,66.0,免费评估
59,东伦敦大学University of East London,50.4,73.7,76.7,71.8,16.2,4,123.0,6.0,59.0,免费评估
60,Bucks New Uni,50.3,72.7,82.1,71.4,,9,101.0,3.0,71.0,免费评估
61,剑桥安鲁大学Anglia Ruskin University,50.2,87.0,90.4,83.1,18.9,6,124.0,2.0,65.0,免费评估
62,南威尔士大学The University of South Wales,49.6,66.0,75.9,71.2,17.5,2,131.0,7.0,67.0,免费评估
63,阿尔斯特大学University of Ulster,49.1,69.0,79.6,74.0,18.4,2,124.0,6.0,58.0,免费评估
64,北安普顿大学The University of Northampton,48.1,80.8,90.3,85.7,16.8,7,103.0,3.0,51.0,免费评估
65,坎特伯雷大学Canterbury Christ Church University,47.0,75.6,85.7,77.5,26.4,5,,9.0,,免费评估
66,阿伯泰邓迪大学University of Abertay Dundee,46.5,82.0,83.1,72.0,26.9,2,159.0,10.0,62.0,免费评估
67,利兹贝克特大学Leeds Beckett University,45.1,81.8,85.1,77.9,17.6,4,117.0,4.0,58.0,免费评估
68,瑞文斯博学院Ravensbourne College,44.1,85.0,87.0,81.0,31.7,2,100.0,2.0,77.0,免费评估
69,格林多大学Glyndwr University,42.5,77.4,79.8,79.2,18.1,2,98.0,3.0,62.0,免费评估
70,格林威治大学The University of Greenwich,35.4,69.0,78.9,72.2,23.5,5,134.0,6.0,51.0,免费评估
