Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,利兹大学University of Leeds,100.0,93.9,93.5,86.7,19.9,9,176.0,8,87.0,免费评估
2,拉夫堡大学Loughborough University,91.2,89.4,88.2,70.3,17.2,7,157.0,7,97.0,免费评估
3,华威大学The University of Warwick,89.5,91.0,82.9,68.7,18.1,9,188.0,6,,免费评估
4,诺丁汉特伦特大学Nottingham Trent University,89.0,97.0,95.5,87.3,16.6,4,128.0,6,91.0,免费评估
5,巴斯大学University of Bath,88.0,83.0,84.0,75.2,19.0,9,173.0,8,87.0,免费评估
6,格拉斯哥大学University of Glasgow,87.7,86.5,81.9,70.6,19.5,7,220.0,7,83.0,免费评估
7,伦敦南岸大学London South Bank University,87.4,86.0,86.0,73.2,18.2,4,107.0,10,81.0,免费评估
8,德比大学University of Derby,85.2,99.8,96.0,85.1,13.4,6,107.0,5,85.0,免费评估
9,东英吉利大学University of East Anglia,84.9,93.8,84.2,80.6,15.9,3,143.0,7,89.0,免费评估
10,白金汉大学The University of Buckingham,83.7,98.2,93.4,83.9,,6,106.0,5,,免费评估
11,伯明翰大学University of Birmingham,80.1,89.0,82.8,75.5,18.0,9,145.0,4,91.0,免费评估
11,利物浦约翰摩尔斯大学Liverpool John Moores University,80.1,100.0,96.3,94.0,23.0,3,129.0,3,84.0,免费评估
13,杜伦大学Durham University,80.0,83.5,80.3,77.0,22.1,8,157.0,9,87.0,免费评估
14,埃克塞特大学University of Exeter,79.8,93.0,84.2,78.1,21.9,3,162.0,5,89.0,免费评估
15,思克莱德大学University of Strathclyde,78.9,79.9,80.3,59.6,24.7,6,214.0,9,91.0,免费评估
16,兰卡斯特大学Lancaster University,78.8,91.8,83.6,73.6,16.9,9,149.0,4,90.0,免费评估
17,萨塞克斯大学University of Sussex,77.4,88.8,80.1,75.1,16.3,10,141.0,3,,免费评估
17,伦敦大学学院University College London,77.4,88.0,85.0,69.0,21.7,10,190.0,7,,免费评估
19,谢菲尔德大学The University of Sheffield,77.3,87.4,84.1,74.6,17.8,6,147.0,7,88.0,免费评估
20,牛津布鲁克斯大学Oxford Brookes University,76.6,93.8,93.8,81.7,19.1,7,122.0,7,63.0,免费评估
21,英国女王大学Queen's University Belfast,76.2,87.2,88.7,71.6,22.6,4,159.0,7,94.0,免费评估
22,南威尔士大学The University of South Wales,76.1,98.0,94.8,91.3,18.9,3,116.0,6,60.0,免费评估
22,格林威治大学The University of Greenwich,76.1,88.4,89.0,84.0,22.3,3,129.0,9,70.0,免费评估
23,爱丁堡大学The University of Edinburgh,76.1,78.7,72.3,56.2,18.1,10,185.0,9,78.0,免费评估
25,斯旺西大学Swansea University,75.3,89.2,83.5,73.9,23.3,6,129.0,8,88.0,免费评估
26,纽卡斯尔大学Newcastle University,75.0,87.1,86.8,74.5,21.4,7,154.0,3,93.0,免费评估
27,阿斯顿大学Aston University,74.4,91.6,91.0,76.3,25.8,6,138.0,8,75.0,免费评估
28,朴茨茅斯大学University of Portsmouth,74.3,90.7,81.3,73.7,15.8,7,109.0,4,89.0,免费评估
29,中央兰开夏大学University of Central Lancashire,74.2,92.5,89.5,84.7,16.1,4,130.0,4,51.0,免费评估
29,阿尔斯特大学University of Ulster,74.2,89.4,86.0,81.6,26.4,3,125.0,9,88.0,免费评估
31,威斯敏斯特大学University of Westminster,73.8,87.9,84.3,75.2,23.2,5,140.0,8,81.0,免费评估
32,亚伯大学Aberystwyth University,73.7,86.7,86.8,86.4,17.6,3,105.0,6,,免费评估
33,雷丁大学University of Reading,72.8,80.9,81.4,76.4,19.5,6,136.0,6,84.0,免费评估
33,利物浦大学The University of Liverpool,72.8,87.3,84.8,81.1,26.5,6,157.0,6,87.0,免费评估
