Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,圣安德鲁斯大学University of St Andrews,100.0,96.5,95.7,85.7,11.8,6,203,8,83.0,免费评估
2,牛津大学University of Oxford,98.5,,,,13.2,10,210,7,85.0,免费评估
3,杜伦大学Durham University,92.9,92.9,93.6,78.4,13.4,6,193,7,87.0,免费评估
3,剑桥大学University of Cambridge,92.9,,,,10.1,10,207,6,84.0,免费评估
5,华威大学The University of Warwick,92.5,86.6,91.4,81.8,9.5,3,178,7,,免费评估
6,南威尔士大学The University of South Wales,86.3,96.3,95.7,91.1,10.5,3,110,9,,免费评估
7,兰卡斯特大学Lancaster University,86.1,91.7,87.8,73.5,11.2,9,157,6,91.0,免费评估
8,格拉斯哥大学University of Glasgow,85.8,93.5,96.1,77.6,12.7,6,185,7,81.0,免费评估
9,曼彻斯特大学The University of Manchester,85.6,93.7,94.4,84.0,16.9,6,160,7,81.0,免费评估
10,考文垂大学Coventry University,85.2,92.4,96.5,84.3,,8,123,4,75.0,免费评估
11,布里斯托大学University of Bristol,84.7,95.0,92.0,68.8,12.8,8,180,7,81.0,免费评估
12,阿尔斯特大学University of Ulster,81.4,94.0,93.2,83.1,14.8,3,112,9,66.0,免费评估
13,利物浦霍普大学Liverpool Hope University,80.0,89.8,92.9,87.4,10.1,2,108,4,,免费评估
14,诺丁汉特伦特大学Nottingham Trent University,79.5,91.8,94.1,87.9,12.3,4,112,3,81.0,免费评估
15,朴茨茅斯大学University of Portsmouth,79.4,92.3,92.8,86.8,15.8,4,113,7,79.0,免费评估
16,南安普顿大学University of Southampton,79.2,92.4,91.0,77.5,13.9,6,152,8,76.0,免费评估
16,埃克塞特大学University of Exeter,79.2,82.9,89.7,73.3,12.8,4,167,7,82.0,免费评估
18,拉夫堡大学Loughborough University,79.1,93.1,92.7,76.3,15.0,5,149,7,79.0,免费评估
19,格罗斯特大学University of Gloucestershire,78.9,98.2,94.2,84.1,10.7,7,112,7,,免费评估
20,利兹大学University of Leeds,78.2,90.7,91.3,66.2,13.2,6,164,7,84.0,免费评估
21,萨塞克斯大学University of Sussex,77.7,93.1,95.4,71.6,13.6,7,147,7,73.0,免费评估
22,西英格兰大学University of the West of England,77.3,93.2,96.1,82.1,10.5,6,114,8,60.0,免费评估
23,亚伯大学Aberystwyth University,77.2,97.7,95.9,89.8,15.7,3,117,4,83.0,免费评估
23,伯明翰大学University of Birmingham,77.2,90.6,91.3,67.7,14.9,6,157,8,87.0,免费评估
25,纽卡斯尔大学Newcastle University,75.8,91.2,91.8,74.4,16.6,4,161,8,85.0,免费评估
26,伦敦政治经济学院The London School of Economics and Political Science,75.6,77.5,83.6,59.6,9.0,5,179,6,80.0,免费评估
26,斯旺西大学Swansea University,75.6,94.8,90.8,75.0,14.9,5,125,7,86.0,免费评估
28,卡迪夫大学Cardiff University,75.0,86.0,84.7,74.5,12.7,4,153,7,74.0,免费评估
29,切斯特大学University of Chester,74.4,93.2,91.3,89.4,14.4,3,106,7,69.0,免费评估
30,诺桑比亚大学Northumbria University,73.7,91.0,88.0,76.2,11.3,3,131,7,73.0,免费评估
31,爱丁堡大学The University of Edinburgh,72.3,73.0,89.7,61.1,9.2,10,168,7,74.0,免费评估
32,雷丁大学University of Reading,71.7,89.4,86.9,69.6,10.9,9,125,8,68.0,免费评估
33,伦敦大学学院University College London,71.2,75.3,86.3,57.0,12.4,8,171,7,75.0,免费评估
34,伦敦大学皇家霍洛威学院Royal Holloway University of London,71.1,96.5,97.5,78.0,13.3,6,137,4,66.0,免费评估
34,邓迪大学University of Dundee,71.1,84.7,88.5,72.4,12.7,4,168,8,75.0,免费评估
36,诺丁汉大学University of Nottingham,70.8,85.6,89.2,71.3,16.6,6,154,7,80.0,免费评估
36,约克大学The University of York,70.8,83.2,83.7,78.8,17.5,5,151,6,85.0,免费评估
38,普利茅斯大学University of Plymouth,68.1,92.4,92.0,80.9,12.9,7,119,3,70.0,免费评估
39,布莱顿大学University of Brighton,67.4,86.1,88.3,78.3,11.3,9,104,9,55.0,免费评估
40,基尔大学Keele University,66.3,96.1,94.9,85.8,15.9,5,114,7,64.0,免费评估
41,利物浦大学The University of Liverpool,65.6,85.7,85.2,74.7,20.2,5,140,8,77.0,免费评估
42,斯特林大学University of Stirling,65.3,87.7,90.9,68.1,16.0,10,164,1,79.0,免费评估
43,伦敦大学玛丽女王学院Queen Mary University of London,65.2,80.1,86.7,75.3,14.9,4,129,5,77.0,免费评估
44,东英吉利大学University of East Anglia,64.6,86.6,88.1,72.6,16.9,3,145,8,70.0,免费评估
45,英国女王大学Queen's University Belfast,63.4,85.9,90.3,78.4,17.0,4,138,7,68.0,免费评估
46,金斯顿大学Kingston University,63.3,73.4,84.6,71.4,9.0,3,109,9,81.0,免费评估
47,伍斯特大学University of Worcester,62.5,91.2,92.1,86.9,14.5,3,106,6,55.0,免费评估
48,曼彻斯特城市大学Manchester Metropolitan University,61.9,95.0,92.7,80.8,12.0,4,112,5,65.0,免费评估
49,赫尔大学The University of Hull,61.0,91.5,91.6,77.9,20.8,3,117,7,73.0,免费评估
50,伦敦国王学院King's College London,60.8,72.5,84.2,63.2,13.5,5,154,6,67.0,免费评估
51,谢菲尔德大学The University of Sheffield,60.6,87.1,86.9,62.8,15.6,5,150,6,77.0,免费评估
52,利物浦约翰摩尔斯大学Liverpool John Moores University,60.3,89.2,88.4,84.1,18.4,3,125,5,69.0,免费评估
53,索尔福德大学University of Salford,60.1,85.0,92.6,80.4,,9,108,2,,免费评估
54,牛津布鲁克斯大学Oxford Brookes University,59.9,84.0,84.4,75.2,16.8,3,121,6,,免费评估
55,莱斯特大学University of Leicester,59.7,86.4,89.8,63.0,13.4,8,127,5,73.0,免费评估
