Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,华威大学The University of Warwick,100.0,89.5,94.5,78.8,8.5,8,162.0,8,,免费评估
2,圣安德鲁斯大学University of St Andrews,98.0,90.0,93.6,86.9,11.4,6,,9,,免费评估
3,南安普顿大学University of Southampton,93.8,88.0,92.7,78.9,13.4,4,147.0,8,,免费评估
4,埃克塞特大学University of Exeter,92.4,91.0,91.6,84.9,16.5,3,171.0,7,,免费评估
5,斯旺西大学Swansea University,90.5,93.0,87.7,80.4,14.3,5,138.0,7,91.0,免费评估
6,卡迪夫大学Cardiff University,89.8,88.9,86.6,78.5,15.9,7,146.0,9,79.0,免费评估
7,拉夫堡大学Loughborough University,87.6,89.1,81.2,74.7,,8,155.0,8,85.0,免费评估
7,纽卡斯尔大学Newcastle University,87.6,89.1,92.7,79.4,18.1,6,163.0,7,83.0,免费评估
9,利兹大学University of Leeds,85.2,86.6,90.8,71.1,17.1,8,161.0,8,76.0,免费评估
10,龙比亚大学Napier University,84.4,64.0,72.6,65.4,14.8,5,174.0,10,55.0,免费评估
11,约克大学The University of York,84.2,92.6,95.9,79.6,16.9,8,153.0,5,,免费评估
12,兰卡斯特大学Lancaster University,81.6,90.0,90.6,77.8,14.7,10,148.0,8,,免费评估
13,斯特林大学University of Stirling,80.6,87.0,87.6,68.2,14.6,4,182.0,9,51.0,免费评估
14,斯塔福德郡大学Staffordshire University,80.0,78.4,83.1,79.5,11.5,7,102.0,7,72.0,免费评估
15,金斯顿大学Kingston University,78.7,78.7,80.8,75.4,10.7,10,112.0,8,40.0,免费评估
16,伦敦大学皇家霍洛威学院Royal Holloway University of London,77.4,68.0,81.1,77.6,13.4,8,142.0,7,,免费评估
16,伦敦国王学院King's College London,77.4,77.0,87.6,72.1,11.0,7,157.0,5,,免费评估
18,利物浦约翰摩尔斯大学Liverpool John Moores University,76.7,81.2,83.0,75.3,14.8,6,139.0,5,69.0,免费评估
19,伦敦大学金史密斯学院Goldsmiths University of London,76.1,74.0,82.0,64.8,13.6,6,145.0,9,66.0,免费评估
20,西英格兰大学University of the West of England,75.4,80.2,90.7,86.6,11.9,9,119.0,7,,免费评估
20,奇切斯特大学University of Chichester,75.4,86.0,88.9,70.5,12.4,4,115.0,9,43.0,免费评估
22,亚伯大学Aberystwyth University,73.8,90.0,90.4,83.1,15.1,8,110.0,6,,免费评估
23,伦敦大学玛丽女王学院Queen Mary University of London,73.4,89.7,92.9,73.0,8.2,9,135.0,6,42.0,免费评估
24,肯特大学University of Kent,72.7,75.2,83.8,76.7,19.9,7,130.0,7,75.0,免费评估
25,德蒙福特大学De Montfort University,72.4,85.1,86.0,81.5,17.5,4,117.0,5,76.0,免费评估
26,约克圣约翰大学York St John University,71.8,87.3,88.5,82.8,17.8,3,108.0,9,57.0,免费评估
27,东英吉利大学University of East Anglia,71.1,75.2,81.7,70.9,13.2,4,142.0,6,57.0,免费评估
