Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:staff ratio,Spend per student,Average entry tariff,Value-added score,Career after 6 mths,Free
1,伦敦大学学院University College London,100.0,93.1,92.6,85.1,11.4,8,193.0,10,,免费评估
2,牛津大学University of Oxford,99.0,,,,12.1,10,238.0,8,,免费评估
3,纽卡斯尔大学Newcastle University,89.8,94.1,89.1,85.3,11.4,7,207.0,7,72.0,免费评估
4,伦敦大学金史密斯学院Goldsmiths University of London,87.3,84.2,90.6,74.2,13.1,7,199.0,8,60.0,免费评估
5,牛津布鲁克斯大学Oxford Brookes University,79.0,82.7,92.0,80.4,11.4,9,177.0,8,52.0,免费评估
6,兰卡斯特大学Lancaster University,76.2,82.3,83.9,74.0,12.4,10,164.0,8,,免费评估
7,伦敦都市大学London Metropolitan University,75.8,89.4,90.1,89.6,13.1,4,106.0,5,,免费评估
8,圣大卫三一学院University of Wales Trinity Saint David,75.2,79.0,86.3,75.8,12.9,4,119.0,8,81.0,免费评估
9,金斯顿大学Kingston University,74.8,86.8,91.4,91.5,14.6,9,177.0,5,35.0,免费评估
10,利物浦约翰摩尔斯大学Liverpool John Moores University,74.2,78.0,80.7,75.7,11.6,3,171.0,7,59.0,免费评估
11,Uni of the Arts London,74.0,73.0,78.3,74.6,14.2,10,168.0,9,60.0,免费评估
12,罗伯特高登大学The Robert Gordon University,73.9,100.0,94.7,92.0,18.7,3,148.0,3,73.0,免费评估
12,中央兰开夏大学University of Central Lancashire,73.9,75.2,86.0,79.5,14.2,4,148.0,8,65.0,免费评估
14,德比大学University of Derby,72.9,89.4,92.4,86.6,10.5,6,116.0,3,,免费评估
15,亚伯大学Aberystwyth University,72.4,88.9,89.5,82.1,17.7,3,132.0,6,85.0,免费评估
16,蒂赛德大学Teesside University,71.6,84.6,84.6,81.1,15.3,6,125.0,8,,免费评估
17,林肯大学University of Lincoln,71.2,81.1,85.6,73.4,14.9,3,147.0,5,87.0,免费评估
18,Uni for the Creative Arts,71.1,87.0,88.0,81.8,13.1,8,149.0,5,67.0,免费评估
19,巴斯斯巴大学Bath Spa University,69.1,79.5,85.1,86.2,17.5,6,174.0,6,76.0,免费评估
20,Arts Uni Bournemouth,68.5,75.0,82.3,75.8,14.8,6,165.0,3,77.0,免费评估
21,西英格兰大学University of the West of England,68.3,86.9,87.4,86.5,19.5,8,153.0,8,54.0,免费评估
22,曼彻斯特城市大学Manchester Metropolitan University,67.2,74.1,82.1,73.8,13.4,4,174.0,4,76.0,免费评估
23,格林多大学Glyndwr University,67.1,86.1,88.2,81.1,18.6,2,,10,,免费评估
23,阿尔斯特大学University of Ulster,67.1,76.0,94.7,80.0,21.7,3,157.0,9,65.0,免费评估
25,德蒙福特大学De Montfort University,66.8,91.1,96.0,88.8,15.4,5,113.0,7,72.0,免费评估
26,爱丁堡大学The University of Edinburgh,66.4,73.3,73.8,62.2,15.2,9,191.0,9,67.0,免费评估
27,哈德斯菲尔德大学University of Huddersfield,66.1,90.5,92.6,84.5,19.4,4,143.0,7,,免费评估
28,诺丁汉特伦特大学Nottingham Trent University,65.6,89.9,80.3,71.9,11.5,5,169.0,3,62.0,免费评估
29,威斯敏斯特大学University of Westminster,65.2,80.2,81.7,80.0,17.6,3,153.0,10,,免费评估
30,东伦敦大学University of East London,63.7,74.0,73.8,76.6,17.4,3,137.0,8,75.0,免费评估
31,利兹大学University of Leeds,62.7,82.4,85.0,77.2,18.3,7,183.0,7,58.0,免费评估
32,桑德兰大学University of Sunderland,62.4,85.2,87.9,81.3,10.9,5,99.0,6,53.0,免费评估
33,南安普顿大学University of Southampton,61.8,78.2,79.3,76.2,17.6,7,187.0,4,68.0,免费评估
34,Leeds Arts,61.4,82.0,82.4,77.6,12.3,3,170.0,7,39.0,免费评估
35,邓迪大学University of Dundee,60.4,84.4,82.9,74.8,14.0,8,171.0,5,42.0,免费评估
36,考文垂大学Coventry University,59.8,75.9,78.4,77.1,14.6,6,146.0,7,,免费评估
37,奇切斯特大学University of Chichester,59.1,81.3,82.6,73.3,18.6,4,138.0,6,,免费评估
38,拉夫堡大学Loughborough University,58.1,76.0,79.8,65.5,14.6,7,185.0,6,61.0,免费评估
39,伍尔弗汉普顿大学University of Wolverhampton,57.5,77.2,78.0,67.9,13.1,8,103.0,7,64.0,免费评估
40,南安普顿索伦特大学Southampton Solent University,56.7,74.2,81.4,82.5,14.6,3,108.0,5,,免费评估
